date,store_id,sku_id,opening_units,received_units,sold_units,wasted_units,closing_units,lost_demand_units,stockout_flag,ordered_units
2026-02-23,DS01,SKU0069,8,0,4,0,4,0,0,16
2026-04-07,DS01,SKU0069,10,0,2,0,8,0,0,0
2025-05-22,DS01,SKU0052,5,0,0,0,5,0,0,0
2026-05-22,DS01,SKU0184,11,0,0,0,11,0,0,0
2026-03-27,DS01,SKU0193,5,0,2,0,3,0,0,0
2025-12-01,DS01,SKU0174,10,0,1,0,9,0,0,14
2026-03-17,DS01,SKU0174,20,7,2,0,18,0,0,0
2026-06-29,DS01,SKU0082,9,0,3,0,6,0,0,7
2025-06-15,DS01,SKU0021,3,0,3,0,0,0,0,0
2025-11-18,DS01,SKU0021,0,0,0,0,0,0,0,0
2025-12-30,DS01,SKU0021,0,0,0,0,0,0,0,0
2025-01-05,DS01,SKU0129,14,14,0,0,14,0,0,0
2025-06-28,DS01,SKU0188,16,8,3,0,13,0,0,0
2025-09-02,DS01,SKU0188,13,0,2,0,11,0,0,0
2026-05-11,DS01,SKU0188,20,8,1,0,19,0,0,0
2026-05-26,DS01,SKU0188,14,0,2,0,12,0,0,0
2026-01-02,DS01,SKU0149,26,0,1,0,25,0,0,0
2025-01-05,DS01,SKU0180,0,0,0,0,0,1,1,0
2026-05-12,DS01,SKU0180,18,0,2,0,16,0,0,0
2025-03-29,DS01,SKU0008,5,0,1,0,4,0,0,0
2025-08-17,DS01,SKU0008,4,0,4,0,0,1,1,0
2025-06-22,DS01,SKU0232,5,0,3,0,2,0,0,0
2026-03-26,DS01,SKU0232,13,0,3,0,10,0,0,0
2025-05-27,DS01,SKU0045,4,0,1,0,3,0,0,0
2025-03-04,DS01,SKU0003,0,0,0,0,0,1,1,0
2025-10-10,DS01,SKU0003,5,0,1,0,4,0,0,0
2025-02-03,DS01,SKU0001,0,0,0,0,0,0,0,6
2025-08-24,DS01,SKU0001,2,0,0,0,2,0,0,0
2025-09-24,DS01,SKU0001,8,6,1,1,6,0,0,0
2025-07-27,DS01,SKU0162,22,11,2,0,20,0,0,0
2026-01-10,DS01,SKU0162,11,0,4,0,7,0,0,0
2026-01-23,DS01,SKU0072,6,0,1,0,5,0,0,0
2025-01-11,DS01,SKU0116,19,0,3,0,16,0,0,0
2025-12-04,DS01,SKU0116,20,0,2,0,18,0,0,0
2026-02-25,DS01,SKU0116,34,0,1,0,33,0,0,0
2025-10-05,DS01,SKU0005,3,0,1,0,2,0,0,0
2025-03-19,DS01,SKU0104,14,0,0,0,14,0,0,0
2025-06-26,DS01,SKU0034,12,0,1,0,11,0,0,0
2025-12-27,DS01,SKU0034,6,0,1,0,5,0,0,0
2025-03-07,DS01,SKU0042,17,0,2,0,15,0,0,0
2026-04-30,DS01,SKU0042,18,0,4,0,14,0,0,0
2025-05-17,DS01,SKU0053,16,0,2,0,14,0,0,0
2025-07-29,DS01,SKU0053,15,0,0,0,15,0,0,0
2025-08-08,DS01,SKU0053,23,15,1,0,22,0,0,0
2026-05-30,DS01,SKU0053,11,0,1,0,10,0,0,0
2025-04-03,DS01,SKU0009,9,0,2,0,7,0,0,0
2026-03-07,DS01,SKU0009,5,5,0,0,5,0,0,0
2026-05-24,DS01,SKU0009,7,0,0,0,7,0,0,0
2025-08-01,DS01,SKU0017,7,0,1,0,6,0,0,0
2026-02-05,DS01,SKU0017,5,0,1,0,4,0,0,0
2025-04-03,DS01,SKU0254,13,0,1,0,12,0,0,0
2025-07-25,DS01,SKU0254,7,0,0,0,7,0,0,0
2025-12-04,DS01,SKU0254,15,0,0,0,15,0,0,0
2025-10-02,DS01,SKU0054,6,0,0,0,6,0,0,0
2026-06-11,DS01,SKU0093,8,0,1,0,7,0,0,0
2025-10-02,DS01,SKU0136,12,0,0,0,12,0,0,0
2026-05-19,DS01,SKU0136,23,14,4,0,19,0,0,0
2025-07-29,DS01,SKU0100,10,10,1,0,9,0,0,0
2025-05-30,DS01,SKU0165,10,0,0,0,10,0,0,0
2025-11-27,DS01,SKU0165,12,0,1,0,11,0,0,0
2025-12-22,DS01,SKU0090,0,0,0,0,0,2,1,10
2026-04-11,DS01,SKU0090,0,0,0,0,0,2,1,0
2025-02-11,DS01,SKU0204,5,0,3,2,0,0,0,0
2025-05-25,DS01,SKU0183,7,0,0,0,7,0,0,0
2026-06-14,DS01,SKU0168,18,11,0,0,18,0,0,0
2025-10-23,DS01,SKU0186,12,0,4,0,8,0,0,0
2026-05-27,DS01,SKU0186,11,0,1,0,10,0,0,7
2025-09-09,DS01,SKU0158,7,0,0,0,7,0,0,0
2025-01-04,DS01,SKU0252,0,0,0,0,0,3,1,0
2025-05-12,DS01,SKU0252,18,9,0,0,18,0,0,0
2026-04-22,DS01,SKU0031,4,4,0,0,4,0,0,0
2025-12-03,DS01,SKU0089,10,0,0,0,10,0,0,0
2025-02-09,DS01,SKU0110,14,0,0,0,14,0,0,0
2025-06-21,DS01,SKU0110,16,0,0,0,16,0,0,0
2025-09-28,DS01,SKU0110,27,0,2,0,25,0,0,0
2026-06-08,DS01,SKU0110,24,0,3,0,21,0,0,0
2025-07-25,DS01,SKU0025,9,6,1,0,8,0,0,0
2026-05-29,DS01,SKU0025,4,0,2,0,2,0,0,0
2025-03-14,DS01,SKU0130,13,0,1,0,12,0,0,0
2026-06-25,DS01,SKU0130,16,0,0,0,16,0,0,0
2025-07-18,DS01,SKU0105,21,0,1,0,20,0,0,0
2025-05-12,DS01,SKU0111,12,0,2,0,10,0,0,0
2025-08-29,DS01,SKU0111,18,12,0,0,18,0,0,0
2025-10-14,DS01,SKU0111,10,0,2,0,8,0,0,0
2026-06-02,DS01,SKU0111,10,0,1,0,9,0,0,0
2025-02-18,DS01,SKU0160,2,0,1,0,1,0,0,0
2025-07-29,DS01,SKU0241,19,0,1,0,18,0,0,0
2026-01-27,DS01,SKU0241,16,0,0,0,16,0,0,0
2025-08-07,DS01,SKU0058,11,0,0,0,11,0,0,0
2026-05-28,DS01,SKU0083,5,0,0,0,5,0,0,0
2025-02-02,DS01,SKU0216,3,0,0,0,3,0,0,0
2025-07-29,DS01,SKU0216,4,4,2,0,2,0,0,0
2025-04-17,DS01,SKU0071,8,8,1,0,7,0,0,0
2025-07-05,DS01,SKU0071,7,0,3,0,4,0,0,0
2025-09-25,DS01,SKU0187,7,0,1,0,6,0,0,0
2026-02-22,DS01,SKU0187,6,0,1,0,5,0,0,0
2025-08-21,DS01,SKU0146,17,0,0,0,17,0,0,0
2025-11-29,DS01,SKU0146,3,0,2,0,1,0,0,0
2026-04-05,DS01,SKU0146,23,17,0,0,23,0,0,0
2025-06-15,DS01,SKU0258,0,0,0,0,0,1,1,0
2025-10-01,DS01,SKU0074,0,0,0,0,0,1,1,4
2025-03-29,DS01,SKU0173,8,0,2,0,6,0,0,0
2025-05-10,DS01,SKU0173,4,0,0,0,4,0,0,0
2025-10-31,DS01,SKU0173,6,0,2,0,4,0,0,0
2026-05-08,DS01,SKU0173,6,0,0,0,6,0,0,0
2026-01-15,DS01,SKU0224,8,0,0,0,8,0,0,0
2025-02-12,DS01,SKU0027,0,0,0,0,0,2,1,10
2025-03-10,DS01,SKU0027,6,0,2,0,4,0,0,0
2025-04-19,DS01,SKU0027,9,0,0,0,9,0,0,0
2025-06-04,DS01,SKU0027,0,0,0,0,0,2,1,10
2026-03-11,DS01,SKU0206,6,0,1,0,5,0,0,0
2025-12-29,DS01,SKU0155,6,0,2,0,4,0,0,21
2026-04-25,DS01,SKU0203,4,0,3,0,1,0,0,0
2025-03-17,DS01,SKU0148,6,0,2,0,4,0,0,0
2025-07-05,DS01,SKU0056,14,0,1,0,13,0,0,0
2026-01-07,DS01,SKU0056,6,0,0,0,6,0,0,0
2025-04-28,DS01,SKU0102,6,0,0,0,6,0,0,21
2025-07-23,DS01,SKU0102,12,0,0,0,12,0,0,0
2025-09-11,DS01,SKU0102,14,0,1,0,13,0,0,0
2026-06-18,DS01,SKU0102,6,0,1,0,5,0,0,0
2025-01-17,DS01,SKU0227,7,0,0,0,7,0,0,0
2025-11-08,DS01,SKU0227,11,0,1,0,10,0,0,0
2025-03-24,DS01,SKU0233,8,0,1,0,7,0,0,8
2025-04-04,DS01,SKU0233,8,0,0,0,8,0,0,0
2025-05-05,DS01,SKU0233,5,0,1,0,4,0,0,0
2025-01-04,DS01,SKU0199,0,0,0,0,0,1,1,0
2026-06-26,DS01,SKU0199,10,0,2,0,8,0,0,0
2026-04-14,DS01,SKU0098,7,7,0,0,7,0,0,0
2025-04-10,DS01,SKU0201,8,0,1,0,7,0,0,0
2025-05-28,DS01,SKU0201,5,0,0,0,5,0,0,0
2025-01-13,DS01,SKU0265,7,0,0,0,7,0,0,8
2025-09-12,DS01,SKU0265,4,0,1,0,3,0,0,0
2026-06-25,DS01,SKU0265,7,0,1,0,6,0,0,0
2025-12-15,DS01,SKU0075,2,0,0,0,2,0,0,4
2025-08-03,DS01,SKU0234,1,0,0,0,1,0,0,0
2025-02-05,DS01,SKU0178,12,0,0,0,12,0,0,0
2025-07-24,DS01,SKU0178,3,0,0,0,3,0,0,0
2026-02-09,DS01,SKU0007,9,0,0,0,9,0,0,0
2025-06-01,DS02,SKU0261,61,0,13,0,48,0,0,0
2025-10-29,DS02,SKU0176,100,0,11,0,89,0,0,24
2025-11-25,DS02,SKU0266,87,0,7,0,80,0,0,0
2025-07-08,DS02,SKU0122,61,0,8,0,53,0,0,0
2026-01-27,DS02,SKU0122,71,0,8,0,63,0,0,0
2026-01-28,DS02,SKU0122,63,0,14,0,49,0,0,18
2025-02-11,DS02,SKU0172,73,21,9,0,64,0,0,0
2025-06-24,DS02,SKU0172,74,35,12,0,62,0,0,0
2025-05-06,DS02,SKU0095,18,18,11,0,7,0,0,0
2025-04-23,DS02,SKU0094,25,0,4,0,21,0,0,8
2025-12-19,DS02,SKU0094,24,0,7,0,17,0,0,0
2026-03-20,DS02,SKU0094,32,0,15,0,17,0,0,0
2025-04-21,DS02,SKU0076,12,0,7,0,5,0,0,24
2025-12-15,DS02,SKU0076,0,0,0,0,0,6,1,32
2026-03-18,DS02,SKU0076,0,0,0,0,0,9,1,8
2026-06-01,DS02,SKU0076,9,0,6,0,3,0,0,32
2026-06-19,DS02,SKU0076,35,0,11,0,24,0,0,0
2025-01-15,DS02,SKU0127,31,0,7,0,24,0,0,0
2025-01-31,DS02,SKU0219,29,0,8,0,21,0,0,0
2026-06-20,DS02,SKU0219,55,0,10,0,45,0,0,0
2025-07-22,DS02,SKU0018,5,0,5,0,0,1,1,0
2026-01-30,DS02,SKU0018,30,14,9,0,21,0,0,0
2025-05-08,DS02,SKU0061,29,0,3,0,26,0,0,0
2025-06-30,DS02,SKU0061,19,0,2,0,17,0,0,24
2026-01-13,DS02,SKU0061,12,0,3,0,9,0,0,0
2026-05-14,DS02,SKU0061,41,0,6,0,35,0,0,0
2025-05-16,DS02,SKU0212,8,0,6,0,2,0,0,0
2026-04-07,DS02,SKU0012,4,0,4,0,0,2,1,0
2025-07-08,DS02,SKU0256,38,0,1,0,37,0,0,0
2025-04-24,DS02,SKU0085,17,6,3,0,14,0,0,0
2025-07-03,DS02,SKU0085,22,12,3,0,19,0,0,0
2026-02-01,DS02,SKU0013,14,0,1,0,13,0,0,0
2025-02-09,DS02,SKU0169,29,14,3,0,26,0,0,0
2025-05-07,DS02,SKU0132,23,0,4,0,19,0,0,0
2026-02-05,DS02,SKU0132,14,0,3,0,11,0,0,0
2025-08-19,DS02,SKU0218,32,0,5,0,27,0,0,0
2026-02-09,DS02,SKU0218,31,16,2,0,29,0,0,16
2025-05-28,DS02,SKU0043,29,15,3,0,26,0,0,15
2025-12-25,DS02,SKU0043,26,0,3,0,23,0,0,0
2025-02-15,DS02,SKU0113,33,0,5,0,28,0,0,0
2025-10-27,DS02,SKU0113,35,0,3,0,32,0,0,17
2026-01-06,DS02,SKU0134,30,0,6,0,24,0,0,0
2025-06-16,DS02,SKU0259,30,10,5,0,25,0,0,20
2025-11-15,DS02,SKU0209,0,0,0,0,0,7,1,0
2026-01-22,DS02,SKU0209,14,8,3,0,11,0,0,0
2025-09-15,DS02,SKU0181,42,0,5,0,37,0,0,9
2025-12-31,DS02,SKU0181,29,0,3,0,26,0,0,9
2025-05-28,DS02,SKU0016,16,16,3,0,13,0,0,8
2025-10-26,DS02,SKU0016,9,0,3,0,6,0,0,0
2025-10-29,DS02,SKU0016,21,16,1,4,16,0,0,8
2025-08-13,DS02,SKU0081,4,0,4,0,0,0,0,4
2026-03-15,DS02,SKU0081,2,0,2,0,0,2,1,0
2026-05-19,DS02,SKU0257,48,0,2,0,46,0,0,0
2026-06-19,DS02,SKU0257,31,0,3,0,28,0,0,0
2026-03-30,DS02,SKU0195,33,9,5,0,28,0,0,9
2026-05-08,DS02,SKU0236,32,0,0,0,32,0,0,0
2025-07-06,DS02,SKU0242,29,0,4,0,25,0,0,0
2025-10-05,DS02,SKU0251,11,0,2,0,9,0,0,0
2025-09-22,DS02,SKU0230,29,11,4,0,25,0,0,22
2025-11-18,DS02,SKU0046,15,0,1,0,14,0,0,0
2026-03-09,DS02,SKU0046,21,0,5,0,16,0,0,22
2026-04-07,DS02,SKU0046,7,0,4,0,3,0,0,0
2025-09-22,DS02,SKU0092,0,0,0,0,0,4,1,8
2026-04-01,DS02,SKU0092,7,0,2,0,5,0,0,8
2026-04-29,DS02,SKU0092,8,0,1,0,7,0,0,0
2025-02-01,DS02,SKU0260,13,0,1,0,12,0,0,0
2025-09-11,DS02,SKU0260,25,0,3,0,22,0,0,0
2025-06-09,DS02,SKU0226,24,12,1,0,23,0,0,0
2025-11-06,DS02,SKU0156,28,0,4,0,24,0,0,0
2025-11-19,DS02,SKU0156,31,0,1,0,30,0,0,0
2025-10-19,DS02,SKU0086,4,0,4,0,0,0,0,0
2025-02-25,DS02,SKU0198,13,0,3,0,10,0,0,0
2026-01-31,DS02,SKU0198,19,0,3,0,16,0,0,0
2026-03-18,DS02,SKU0198,11,0,4,0,7,0,0,11
2026-02-12,DS02,SKU0121,27,0,1,0,26,0,0,0
2025-05-26,DS02,SKU0145,21,0,0,0,21,0,0,17
2025-09-01,DS02,SKU0145,27,0,4,0,23,0,0,17
2026-04-13,DS02,SKU0145,29,0,2,0,27,0,0,17
2025-08-05,DS02,SKU0128,14,0,4,0,10,0,0,0
2025-01-24,DS02,SKU0087,6,0,1,0,5,0,0,0
2025-07-29,DS02,SKU0087,6,6,0,0,6,0,0,0
2025-12-14,DS02,SKU0087,1,0,1,0,0,0,0,0
2026-01-30,DS02,SKU0035,21,0,3,0,18,0,0,0
2026-05-21,DS02,SKU0059,16,0,2,0,14,0,0,0
2026-05-23,DS02,SKU0059,12,0,4,0,8,0,0,0
2025-10-23,DS02,SKU0011,6,0,2,0,4,0,0,0
2026-06-19,DS02,SKU0011,19,10,5,0,14,0,0,0
2025-12-23,DS02,SKU0037,8,0,2,0,6,0,0,0
2026-04-15,DS02,SKU0037,18,17,2,0,16,0,0,0
2025-01-21,DS02,SKU0179,15,0,1,0,14,0,0,0
2026-05-28,DS02,SKU0179,18,0,1,0,17,0,0,0
2025-08-11,DS02,SKU0210,0,0,0,0,0,4,1,6
2025-06-01,DS02,SKU0002,12,0,3,0,9,0,0,0
2026-05-30,DS02,SKU0096,10,0,2,0,8,0,0,0
2026-02-09,DS02,SKU0207,0,0,0,0,0,1,1,6
2025-03-02,DS02,SKU0091,0,0,0,0,0,3,1,0
2025-11-19,DS02,SKU0213,4,0,2,0,2,0,0,6
2025-12-15,DS02,SKU0047,15,0,0,0,15,0,0,0
2026-02-05,DS02,SKU0047,12,0,4,0,8,0,0,0
2025-04-14,DS02,SKU0068,4,0,0,0,4,0,0,8
2025-04-27,DS02,SKU0068,0,0,0,0,0,1,1,0
2025-12-19,DS02,SKU0068,3,0,3,0,0,0,0,0
2026-05-07,DS02,SKU0068,7,7,2,0,5,0,0,0
2026-05-18,DS02,SKU0068,0,0,0,0,0,2,1,8
2026-05-28,DS02,SKU0068,8,8,1,0,7,0,0,0
2026-05-30,DS02,SKU0215,7,0,2,0,5,0,0,0
2026-03-07,DS02,SKU0197,18,0,3,0,15,0,0,0
2026-04-07,DS02,SKU0191,16,0,3,0,13,0,0,0
2025-03-31,DS02,SKU0238,21,7,2,0,19,0,0,14
2025-09-30,DS02,SKU0238,11,0,1,0,10,0,0,0
2025-04-20,DS02,SKU0222,14,0,2,0,12,0,0,0
2025-07-10,DS02,SKU0205,9,5,3,0,6,0,0,0
2026-06-28,DS02,SKU0205,6,0,3,0,3,0,0,0
2025-06-02,DS02,SKU0114,15,0,1,0,14,0,0,20
2026-01-04,DS02,SKU0114,19,0,0,0,19,0,0,0
2025-11-07,DS02,SKU0131,24,0,1,0,23,0,0,0
2026-01-28,DS02,SKU0115,15,0,1,0,14,0,0,16
2025-01-19,DS02,SKU0190,9,0,1,0,8,0,0,0
2025-05-16,DS02,SKU0010,7,0,0,0,7,0,0,0
2025-05-22,DS02,SKU0010,10,0,1,0,9,0,0,0
2025-02-14,DS02,SKU0069,7,0,0,0,7,0,0,0
2025-08-11,DS02,SKU0069,10,0,0,0,10,0,0,4
2026-03-22,DS02,SKU0028,4,0,2,0,2,0,0,0
2025-07-16,DS02,SKU0184,12,0,2,0,10,0,0,0
2025-09-07,DS02,SKU0193,10,0,3,0,7,0,0,0
2025-11-03,DS02,SKU0193,13,0,0,0,13,0,0,0
2025-01-29,DS02,SKU0044,11,0,1,0,10,0,0,0
2025-05-24,DS02,SKU0044,13,0,2,0,11,0,0,0
2025-07-01,DS02,SKU0044,11,0,0,0,11,0,0,0
2025-08-12,DS02,SKU0044,10,0,1,0,9,0,0,0
2026-06-12,DS02,SKU0044,21,13,2,0,19,0,0,0
2025-05-18,DS02,SKU0174,16,7,0,0,16,0,0,0
2026-01-21,DS02,SKU0174,7,0,0,0,7,0,0,7
2026-04-01,DS02,SKU0174,12,0,2,0,10,0,0,7
2025-07-16,DS02,SKU0026,8,8,2,0,6,0,0,0
2025-09-17,DS02,SKU0021,7,7,1,0,6,0,0,0
2026-02-12,DS02,SKU0144,10,0,0,0,10,0,0,0
2025-01-25,DS02,SKU0129,20,0,0,0,20,0,0,0
2025-11-12,DS02,SKU0129,19,0,2,0,17,0,0,0
2025-09-17,DS02,SKU0149,12,0,2,0,10,0,0,0
2025-06-05,DS02,SKU0099,8,0,3,0,5,0,0,0
