date,store_id,active_captains,orders_placed,orders_delivered,avg_delivery_min,capacity_orders,utilisation_pct,fleet_cost_aed
2025-01-13,DS02,4,71,69,19.3,72,98.6,618.0
2025-01-13,DS07,3,79,68,32.9,54,146.3,496.0
2025-01-13,DS08,3,46,46,19.9,54,85.2,452.0
2025-01-14,DS01,6,86,84,19.6,108,79.6,888.0
2025-01-14,DS03,7,107,105,19.7,126,84.9,1050.0
2025-01-14,DS04,5,71,71,20.2,90,78.9,742.0
2025-01-14,DS05,4,59,59,20.6,72,81.9,598.0
2025-01-14,DS06,3,34,34,20.6,54,63.0,428.0
2025-01-14,DS07,4,81,76,33.7,72,112.5,632.0
2025-01-15,DS05,4,62,58,20.3,72,86.1,596.0
2025-01-15,DS06,3,38,37,22.6,54,70.4,434.0
2025-01-15,DS07,3,90,82,31.6,54,166.7,524.0
2025-01-15,DS08,4,59,55,20.5,72,81.9,590.0
2025-01-16,DS04,6,88,85,19.8,108,81.5,890.0
2025-01-16,DS06,3,50,49,20.3,54,92.6,458.0
2025-01-16,DS07,4,94,83,32.4,72,130.6,646.0
2025-01-17,DS02,8,107,102,19.4,144,74.3,1164.0
2025-01-17,DS05,5,72,69,20.4,90,80.0,738.0
2025-01-17,DS06,4,58,58,22.0,72,80.6,596.0
2025-01-17,DS08,6,77,72,21.0,108,71.3,864.0
2025-01-18,DS04,6,92,88,19.4,108,85.2,896.0
2025-01-18,DS05,6,81,77,19.3,108,75.0,874.0
2025-01-18,DS07,5,121,111,31.5,90,134.4,822.0
2025-01-19,DS01,7,108,104,19.9,126,85.7,1048.0
2025-01-19,DS05,4,58,58,19.8,72,80.6,596.0
2025-01-19,DS06,3,43,39,20.0,54,79.6,438.0
2025-01-19,DS07,4,90,82,30.5,72,125.0,644.0
2025-01-20,DS04,4,65,63,18.8,72,90.3,606.0
2025-01-20,DS07,3,74,68,32.9,54,137.0,496.0
2025-01-20,DS08,4,58,57,21.2,72,80.6,594.0
2025-01-21,DS05,3,49,47,20.1,54,90.7,454.0
2025-01-21,DS06,3,44,43,21.2,54,81.5,446.0
2025-01-21,DS07,3,76,72,32.1,54,140.7,504.0
2025-01-22,DS02,6,84,83,20.1,108,77.8,886.0
2025-01-22,DS03,9,128,123,18.3,162,79.0,1326.0
2025-01-22,DS07,4,96,90,31.6,72,133.3,660.0
2025-01-23,DS03,9,139,134,19.0,162,85.8,1348.0
2025-01-23,DS05,4,60,60,20.5,72,83.3,600.0
2025-01-23,DS06,4,51,50,21.5,72,70.8,580.0
2025-01-24,DS03,11,161,156,19.7,198,81.3,1632.0
2025-01-24,DS04,7,92,91,20.7,126,73.0,1022.0
2025-01-24,DS05,5,79,77,20.1,90,87.8,754.0
2025-01-24,DS06,4,62,61,19.2,72,86.1,602.0
2025-01-24,DS08,6,76,74,20.5,108,70.4,868.0
2025-01-25,DS01,11,139,135,20.9,198,70.2,1590.0
2025-01-25,DS02,8,117,115,19.5,144,81.2,1190.0
2025-01-25,DS03,11,158,155,19.0,198,79.8,1630.0
2025-01-25,DS04,7,94,92,21.4,126,74.6,1024.0
2025-01-25,DS05,5,78,74,19.3,90,86.7,748.0
2025-01-25,DS06,4,54,53,22.6,72,75.0,586.0
2025-01-25,DS07,5,116,105,31.8,90,128.9,810.0
2025-01-25,DS08,6,76,75,21.3,108,70.4,870.0
2025-01-26,DS01,8,112,108,19.7,144,77.8,1176.0
2025-01-26,DS02,6,86,83,18.4,108,79.6,886.0
2025-01-26,DS03,10,138,136,19.6,180,76.7,1472.0
2025-01-26,DS04,5,72,69,20.1,90,80.0,738.0
2025-01-26,DS05,4,67,66,20.3,72,93.1,612.0
2025-01-27,DS01,5,89,88,19.0,90,98.9,776.0
2025-01-27,DS04,4,64,64,20.7,72,88.9,608.0
2025-01-27,DS07,3,76,71,30.2,54,140.7,502.0
2025-01-27,DS08,3,44,41,19.6,54,81.5,442.0
2025-01-28,DS03,9,119,114,18.8,162,73.5,1308.0
2025-01-28,DS05,4,54,53,21.1,72,75.0,586.0
2025-01-28,DS06,3,46,45,21.6,54,85.2,450.0
2025-01-28,DS07,4,82,79,31.8,72,113.9,638.0
2025-01-29,DS02,6,84,82,19.9,108,77.8,884.0
2025-01-29,DS04,5,74,69,21.3,90,82.2,738.0
2025-01-30,DS01,8,113,108,19.8,144,78.5,1176.0
2025-01-30,DS03,9,143,138,19.0,162,88.3,1356.0
2025-01-30,DS04,5,77,73,20.4,90,85.6,746.0
2025-01-30,DS06,3,42,42,19.6,54,77.8,444.0
2025-01-30,DS08,4,61,59,22.3,72,84.7,598.0
2025-01-31,DS06,4,57,56,19.3,72,79.2,592.0
2025-02-01,DS01,9,133,128,19.0,162,82.1,1336.0
2025-02-01,DS02,8,119,119,20.2,144,82.6,1198.0
2025-02-01,DS04,7,96,89,21.1,126,76.2,1018.0
2025-02-01,DS05,4,79,77,20.1,72,109.7,634.0
2025-02-01,DS08,5,75,72,20.3,90,83.3,744.0
2025-02-02,DS05,4,65,65,21.2,72,90.3,610.0
2025-02-02,DS06,4,51,51,23.3,72,70.8,582.0
2025-02-02,DS08,4,60,59,20.5,72,83.3,598.0
2025-02-03,DS04,5,60,57,20.5,90,66.7,714.0
2025-02-03,DS07,4,86,80,29.0,72,119.4,640.0
2025-02-03,DS08,3,47,45,21.6,54,87.0,450.0
2025-02-04,DS03,8,123,121,19.0,144,85.4,1202.0
2025-02-04,DS04,5,71,69,20.7,90,78.9,738.0
2025-02-04,DS05,4,51,51,20.0,72,70.8,582.0
2025-02-04,DS07,4,82,76,32.0,72,113.9,632.0
2025-02-05,DS04,5,71,65,21.0,90,78.9,730.0
2025-02-05,DS05,4,61,58,20.8,72,84.7,596.0
2025-02-05,DS07,4,92,88,32.6,72,127.8,656.0
2025-02-05,DS08,5,60,60,21.1,90,66.7,720.0
2025-02-06,DS01,8,115,111,19.4,144,79.9,1182.0
2025-02-06,DS02,7,99,97,18.7,126,78.6,1034.0
2025-02-06,DS04,7,91,90,21.1,126,72.2,1020.0
2025-02-06,DS05,5,66,64,20.0,90,73.3,728.0
2025-02-07,DS02,8,114,108,19.7,144,79.2,1176.0
2025-02-07,DS04,6,96,93,19.6,108,88.9,906.0
2025-02-07,DS08,6,80,77,21.2,108,74.1,874.0
2025-02-08,DS01,9,142,138,19.6,162,87.7,1356.0
2025-02-08,DS03,11,173,168,19.0,198,87.4,1656.0
2025-02-08,DS05,6,80,79,20.5,108,74.1,878.0
2025-02-08,DS06,4,52,51,21.5,72,72.2,582.0
2025-02-09,DS02,5,79,79,20.4,90,87.8,758.0
2025-02-09,DS06,3,39,38,21.0,54,72.2,436.0
2025-02-10,DS02,4,71,71,19.1,72,98.6,622.0
2025-02-10,DS03,7,104,102,18.3,126,82.5,1044.0
2025-02-10,DS04,5,67,65,20.2,90,74.4,730.0
2025-02-10,DS06,3,39,39,21.5,54,72.2,438.0
2025-02-10,DS07,4,83,76,33.5,72,115.3,632.0
2025-02-11,DS01,6,97,94,19.2,108,89.8,908.0
2025-02-11,DS05,5,62,60,19.8,90,68.9,720.0
2025-02-11,DS06,3,48,46,22.0,54,88.9,452.0
2025-02-11,DS07,3,79,73,33.6,54,146.3,506.0
2025-02-12,DS01,7,98,95,20.2,126,77.8,1030.0
2025-02-13,DS01,8,117,114,20.4,144,81.2,1188.0
2025-02-13,DS03,10,144,139,19.4,180,80.0,1478.0
2025-02-13,DS04,5,79,75,19.6,90,87.8,750.0
2025-02-13,DS05,4,63,61,20.0,72,87.5,602.0
2025-02-13,DS06,4,49,46,21.8,72,68.1,572.0
2025-02-13,DS07,4,97,90,30.4,72,134.7,660.0
2025-02-14,DS02,7,111,108,20.0,126,88.1,1056.0
2025-02-14,DS03,10,173,166,19.2,180,96.1,1532.0
2025-02-15,DS03,12,173,170,18.4,216,80.1,1780.0
2025-02-15,DS05,6,80,76,20.2,108,74.1,872.0
2025-02-15,DS07,5,111,100,32.7,90,123.3,800.0
2025-02-15,DS08,6,80,79,20.7,108,74.1,878.0
2025-02-16,DS01,9,127,127,19.8,162,78.4,1334.0
2025-02-16,DS02,5,92,91,18.9,90,102.2,782.0
2025-02-16,DS03,9,135,134,18.6,162,83.3,1348.0
2025-02-16,DS04,5,76,74,21.7,90,84.4,748.0
2025-02-16,DS06,3,45,43,20.7,54,83.3,446.0
2025-02-16,DS08,4,59,56,21.1,72,81.9,592.0
2025-02-17,DS02,4,70,69,20.2,72,97.2,618.0
2025-02-17,DS03,7,107,103,19.9,126,84.9,1046.0
2025-02-17,DS05,4,54,54,20.4,72,75.0,588.0
2025-02-17,DS07,4,81,74,32.6,72,112.5,628.0
2025-02-17,DS08,3,50,50,20.2,54,92.6,460.0
2025-02-18,DS01,6,89,86,19.8,108,82.4,892.0
2025-02-18,DS02,5,75,75,20.5,90,83.3,750.0
2025-02-18,DS03,7,117,116,18.7,126,92.9,1072.0
2025-02-18,DS06,3,35,33,22.4,54,64.8,426.0
2025-02-19,DS03,10,143,143,19.0,180,79.4,1486.0
2025-02-19,DS04,6,89,89,20.6,108,82.4,898.0
2025-02-19,DS06,3,49,49,20.6,54,90.7,458.0
2025-02-20,DS01,9,121,120,19.5,162,74.7,1320.0
2025-02-20,DS02,7,102,101,19.9,126,81.0,1042.0
2025-02-20,DS04,6,90,86,19.7,108,83.3,892.0
2025-02-20,DS06,4,54,51,21.9,72,75.0,582.0
2025-02-20,DS07,4,110,102,31.0,72,152.8,684.0
2025-02-21,DS01,10,141,139,20.1,180,78.3,1478.0
2025-02-21,DS06,4,62,57,19.6,72,86.1,594.0
2025-02-21,DS08,6,81,78,20.7,108,75.0,876.0
2025-02-22,DS03,14,183,181,19.3,252,72.6,2042.0
2025-02-22,DS05,6,79,75,19.1,108,73.1,870.0
2025-02-22,DS07,6,129,122,32.8,108,119.4,964.0
2025-02-22,DS08,5,76,76,20.0,90,84.4,752.0
2025-02-23,DS01,7,110,106,20.2,126,87.3,1052.0
2025-02-23,DS04,6,78,76,19.7,108,72.2,872.0
2025-02-23,DS05,4,62,60,20.6,72,86.1,600.0
2025-02-23,DS08,4,59,57,21.9,72,81.9,594.0
2025-02-24,DS03,8,117,113,18.2,144,81.2,1186.0
2025-02-24,DS04,5,65,63,21.5,90,72.2,726.0
2025-02-24,DS06,3,41,39,20.5,54,75.9,438.0
2025-02-24,DS07,3,75,70,31.2,54,138.9,500.0
2025-02-24,DS08,4,54,52,19.8,72,75.0,584.0
2025-02-25,DS01,7,102,100,19.3,126,81.0,1040.0
2025-02-25,DS02,7,89,88,20.6,126,70.6,1016.0
2025-02-25,DS07,4,94,89,31.2,72,130.6,658.0
2025-02-25,DS08,4,56,55,20.3,72,77.8,590.0
2025-02-26,DS01,8,120,119,18.8,144,83.3,1198.0
2025-02-26,DS02,7,97,96,19.6,126,77.0,1032.0
2025-02-26,DS03,9,133,128,18.3,162,82.1,1336.0
2025-02-26,DS05,5,66,65,19.4,90,73.3,730.0
2025-02-26,DS06,3,45,45,21.0,54,83.3,450.0
2025-02-26,DS07,4,93,88,30.1,72,129.2,656.0
2025-02-27,DS01,7,117,114,19.8,126,92.9,1068.0
2025-02-27,DS02,6,94,91,19.6,108,87.0,902.0
2025-02-27,DS03,10,146,141,17.8,180,81.1,1482.0
2025-02-27,DS04,6,88,87,21.2,108,81.5,894.0
2025-02-27,DS05,5,72,70,19.1,90,80.0,740.0
2025-02-27,DS06,3,51,49,21.0,54,94.4,458.0
2025-02-27,DS07,5,99,90,34.0,90,110.0,780.0
2025-02-27,DS08,4,66,62,20.7,72,91.7,604.0
2025-02-28,DS01,10,148,144,20.6,180,82.2,1488.0
2025-02-28,DS03,13,181,179,18.9,234,77.4,1918.0
2025-02-28,DS04,8,108,105,21.1,144,75.0,1170.0
2025-02-28,DS05,6,83,79,19.5,108,76.9,878.0
2025-02-28,DS06,5,67,63,21.6,90,74.4,726.0
2025-03-01,DS05,7,114,109,19.5,126,90.5,1058.0
2025-03-01,DS07,7,171,158,31.0,126,135.7,1156.0
2025-03-02,DS03,12,166,163,18.6,216,76.9,1766.0
2025-03-02,DS05,6,86,84,21.6,108,79.6,888.0
2025-03-02,DS08,6,84,83,20.9,108,77.8,886.0
2025-03-03,DS05,5,69,68,19.9,90,76.7,736.0
2025-03-03,DS06,5,63,60,21.9,90,70.0,720.0
2025-03-03,DS07,4,99,92,33.1,72,137.5,664.0
2025-03-03,DS08,5,77,77,20.6,90,85.6,754.0
2025-03-04,DS01,8,115,115,20.0,144,79.9,1190.0
2025-03-04,DS03,10,146,141,19.0,180,81.1,1482.0
2025-03-04,DS05,5,74,73,19.0,90,82.2,746.0
2025-03-04,DS08,5,69,68,20.5,90,76.7,736.0
2025-03-05,DS03,13,187,186,19.5,234,79.9,1932.0
2025-03-05,DS05,6,96,92,19.4,108,88.9,904.0
2025-03-05,DS07,5,126,108,30.5,90,140.0,816.0
2025-03-05,DS08,6,80,75,21.2,108,74.1,870.0
2025-03-06,DS01,10,155,153,19.1,180,86.1,1506.0
2025-03-06,DS04,7,106,100,21.6,126,84.1,1040.0
2025-03-06,DS08,7,98,95,21.4,126,77.8,1030.0
2025-03-07,DS01,13,206,202,20.0,234,88.0,1964.0
2025-03-07,DS02,9,156,154,19.8,162,96.3,1388.0
2025-03-07,DS03,16,225,222,19.8,288,78.1,2364.0
2025-03-07,DS05,8,123,121,20.4,144,85.4,1202.0
2025-03-07,DS06,6,76,74,20.8,108,70.4,868.0
2025-03-08,DS04,9,138,133,20.7,162,85.2,1346.0
2025-03-08,DS05,8,114,108,19.9,144,79.2,1176.0
2025-03-08,DS07,7,153,143,32.5,126,121.4,1126.0
2025-03-08,DS08,6,99,96,19.6,108,91.7,912.0
2025-03-09,DS04,8,119,117,21.5,144,82.6,1194.0
2025-03-09,DS05,6,92,89,20.6,108,85.2,898.0
2025-03-09,DS06,5,64,64,19.6,90,71.1,728.0
2025-03-10,DS01,8,122,118,19.8,144,84.7,1196.0
2025-03-10,DS04,7,98,98,20.4,126,77.8,1036.0
2025-03-10,DS05,5,71,70,20.6,90,78.9,740.0
2025-03-10,DS06,4,53,51,20.6,72,73.6,582.0
2025-03-11,DS01,9,134,133,20.1,162,82.7,1346.0
2025-03-11,DS02,7,101,99,21.0,126,80.2,1038.0
2025-03-11,DS03,13,172,166,19.1,234,73.5,1892.0
2025-03-11,DS04,7,96,94,21.2,126,76.2,1028.0
2025-03-11,DS07,5,113,101,29.9,90,125.6,802.0
2025-03-12,DS02,8,129,126,19.1,144,89.6,1212.0
2025-03-13,DS02,9,134,131,20.2,162,82.7,1342.0
2025-03-13,DS03,15,218,215,19.5,270,80.7,2230.0
2025-03-13,DS05,6,89,86,20.1,108,82.4,892.0
2025-03-13,DS06,5,74,72,21.0,90,82.2,744.0
2025-03-14,DS01,12,200,198,20.0,216,92.6,1836.0
2025-03-14,DS02,12,182,179,19.7,216,84.3,1798.0
2025-03-14,DS04,11,159,155,20.9,198,80.3,1630.0
2025-03-14,DS05,8,119,117,20.0,144,82.6,1194.0
2025-03-15,DS02,10,160,156,19.9,180,88.9,1512.0
2025-03-15,DS03,17,246,241,19.0,306,80.4,2522.0
2025-03-15,DS05,8,108,107,21.4,144,75.0,1174.0
2025-03-15,DS07,8,176,164,32.3,144,122.2,1288.0
2025-03-16,DS01,12,166,163,20.2,216,76.9,1766.0
2025-03-16,DS04,7,114,111,20.4,126,90.5,1062.0
2025-03-16,DS05,7,86,85,20.1,126,68.3,1010.0
2025-03-16,DS07,6,134,124,31.1,108,124.1,968.0
2025-03-17,DS01,8,126,123,20.7,144,87.5,1206.0
2025-03-17,DS03,11,169,166,19.2,198,85.4,1652.0
2025-03-17,DS05,6,82,79,20.0,108,75.9,878.0
2025-03-18,DS01,11,138,134,19.3,198,69.7,1588.0
2025-03-18,DS03,12,164,160,19.2,216,75.9,1760.0
2025-03-18,DS04,6,97,94,20.0,108,89.8,908.0
2025-03-19,DS02,9,126,124,19.7,162,77.8,1328.0
2025-03-19,DS05,6,89,87,21.2,108,82.4,894.0
2025-03-19,DS08,6,79,77,21.2,108,73.1,874.0
2025-03-20,DS01,10,165,162,19.0,180,91.7,1524.0
2025-03-20,DS04,8,114,111,19.8,144,79.2,1182.0
2025-03-20,DS05,7,101,100,20.1,126,80.2,1040.0
2025-03-20,DS07,6,140,124,33.4,108,129.6,968.0
2025-03-21,DS03,18,256,249,18.6,324,79.0,2658.0
2025-03-21,DS07,9,177,160,32.5,162,109.3,1400.0
2025-03-21,DS08,8,119,117,21.9,144,82.6,1194.0
2025-03-22,DS01,15,221,216,19.2,270,81.9,2232.0
2025-03-22,DS04,11,148,146,20.5,198,74.7,1612.0
2025-03-22,DS05,9,124,121,20.4,162,76.5,1322.0
2025-03-22,DS06,5,77,76,19.8,90,85.6,752.0
2025-03-22,DS07,9,189,176,31.0,162,116.7,1432.0
2025-03-23,DS01,11,156,154,19.6,198,78.8,1628.0
2025-03-23,DS04,9,120,115,20.9,162,74.1,1310.0
2025-03-23,DS05,7,96,91,20.0,126,76.2,1022.0
2025-03-24,DS01,8,124,122,19.4,144,86.1,1204.0
2025-03-24,DS02,7,97,94,19.7,126,77.0,1028.0
2025-03-24,DS04,6,93,91,21.5,108,86.1,902.0
2025-03-24,DS05,5,80,80,20.8,90,88.9,760.0
2025-03-24,DS06,4,59,56,20.7,72,81.9,592.0
2025-03-25,DS03,12,174,170,18.7,216,80.6,1780.0
2025-03-25,DS06,5,64,63,23.2,90,71.1,726.0
2025-03-25,DS07,5,116,107,31.3,90,128.9,814.0
2025-03-26,DS01,11,168,162,20.5,198,84.8,1644.0
2025-03-26,DS03,12,188,184,19.6,216,87.0,1808.0
2025-03-26,DS04,8,116,112,21.0,144,80.6,1184.0
2025-03-26,DS05,7,90,85,21.0,126,71.4,1010.0
2025-03-26,DS06,5,63,60,20.8,90,70.0,720.0
2025-03-26,DS07,6,131,117,32.3,108,121.3,954.0
2025-03-27,DS01,12,174,172,20.6,216,80.6,1784.0
2025-03-27,DS03,15,225,221,18.9,270,83.3,2242.0
2025-03-27,DS05,7,94,91,18.5,126,74.6,1022.0
2025-03-27,DS07,8,160,148,31.3,144,111.1,1256.0
2025-03-28,DS02,11,177,173,20.5,198,89.4,1666.0
2025-03-28,DS05,8,130,127,21.0,144,90.3,1214.0
2025-03-28,DS08,8,117,116,21.7,144,81.2,1192.0
2025-03-29,DS03,19,252,248,19.1,342,73.7,2776.0
2025-03-29,DS04,10,160,158,21.3,180,88.9,1516.0
2025-03-29,DS07,8,171,156,31.5,144,118.8,1272.0
2025-03-29,DS08,8,115,108,20.7,144,79.9,1176.0
2025-03-30,DS04,8,114,109,19.9,144,79.2,1178.0
2025-03-30,DS05,7,96,91,20.4,126,76.2,1022.0
2025-03-30,DS06,4,63,61,19.0,72,87.5,602.0
2025-03-31,DS01,10,144,143,19.2,180,80.0,1486.0
2025-03-31,DS02,6,95,93,20.6,108,88.0,906.0
2025-03-31,DS04,8,102,101,20.2,144,70.8,1162.0
2025-04-01,DS02,8,107,105,20.3,144,74.3,1170.0
2025-04-01,DS05,4,74,72,18.8,72,102.8,624.0
2025-04-01,DS06,4,63,63,22.7,72,87.5,606.0
2025-04-01,DS07,5,107,97,29.2,90,118.9,794.0
2025-04-01,DS08,6,83,82,20.7,108,76.9,884.0
2025-04-02,DS01,8,116,113,19.3,144,80.6,1186.0
2025-04-02,DS02,6,101,98,20.9,108,93.5,916.0
2025-04-02,DS03,10,148,144,18.5,180,82.2,1488.0
2025-04-02,DS04,6,78,77,20.1,108,72.2,874.0
2025-04-02,DS08,4,66,65,22.4,72,91.7,610.0
2025-04-03,DS02,7,101,99,20.1,126,80.2,1038.0
2025-04-03,DS03,10,155,150,19.0,180,86.1,1500.0
2025-04-03,DS05,6,83,81,19.8,108,76.9,882.0
2025-04-03,DS07,5,100,92,29.9,90,111.1,784.0
2025-04-03,DS08,4,64,60,20.1,72,88.9,600.0
2025-04-04,DS01,10,161,158,20.3,180,89.4,1516.0
2025-04-04,DS02,9,129,125,21.0,162,79.6,1330.0
2025-04-04,DS03,15,200,196,19.2,270,74.1,2192.0
2025-04-04,DS04,7,109,107,20.3,126,86.5,1054.0
2025-04-04,DS05,6,81,76,20.5,108,75.0,872.0
2025-04-04,DS07,6,137,121,33.6,108,126.9,962.0
2025-04-05,DS01,13,174,167,20.3,234,74.4,1894.0
2025-04-05,DS02,8,126,123,20.3,144,87.5,1206.0
2025-04-05,DS03,14,194,190,18.7,252,77.0,2060.0
2025-04-05,DS05,6,96,92,19.7,108,88.9,904.0
2025-04-05,DS06,4,64,60,21.6,72,88.9,600.0
2025-04-05,DS07,6,131,122,32.1,108,121.3,964.0
2025-04-05,DS08,6,90,88,20.5,108,83.3,896.0
2025-04-06,DS01,9,125,121,20.1,162,77.2,1322.0
2025-04-06,DS03,10,149,146,19.3,180,82.8,1492.0
2025-04-06,DS06,4,52,52,22.8,72,72.2,584.0
2025-04-06,DS08,6,77,75,20.4,108,71.3,870.0
2025-04-07,DS01,7,92,89,20.0,126,73.0,1018.0
2025-04-07,DS03,9,122,118,19.7,162,75.3,1316.0
2025-04-07,DS08,3,48,45,21.5,54,88.9,450.0
2025-04-08,DS01,8,106,102,20.6,144,73.6,1164.0
2025-04-08,DS02,6,84,80,18.6,108,77.8,880.0
2025-04-08,DS03,8,125,122,18.7,144,86.8,1204.0
2025-04-08,DS06,3,39,38,23.5,54,72.2,436.0
2025-04-08,DS07,4,97,88,32.9,72,134.7,656.0
2025-04-09,DS03,10,141,138,19.3,180,78.3,1476.0
2025-04-09,DS05,4,66,66,21.1,72,91.7,612.0
2025-04-10,DS02,7,101,99,19.9,126,80.2,1038.0
2025-04-10,DS03,11,157,157,20.2,198,79.3,1634.0
2025-04-10,DS05,5,67,66,20.3,90,74.4,732.0
2025-04-10,DS06,4,55,54,20.7,72,76.4,588.0
2025-04-11,DS04,8,115,114,20.1,144,79.9,1188.0
2025-04-11,DS07,5,150,136,30.3,90,166.7,872.0
2025-04-12,DS01,10,169,168,20.0,180,93.9,1536.0
2025-04-12,DS02,8,126,124,19.2,144,87.5,1208.0
2025-04-12,DS03,12,193,191,19.4,216,89.4,1822.0
2025-04-12,DS04,8,107,105,20.8,144,74.3,1170.0
2025-04-12,DS05,6,88,84,20.0,108,81.5,888.0
2025-04-12,DS06,5,78,74,21.6,90,86.7,748.0
2025-04-12,DS08,6,86,86,21.2,108,79.6,892.0
2025-04-13,DS07,5,104,93,32.1,90,115.6,786.0
2025-04-14,DS04,5,71,69,21.7,90,78.9,738.0
2025-04-14,DS05,4,59,56,20.5,72,81.9,592.0
2025-04-14,DS06,3,49,47,21.4,54,90.7,454.0
2025-04-15,DS01,8,117,113,18.7,144,81.2,1186.0
2025-04-15,DS04,6,73,72,17.9,108,67.6,864.0
2025-04-15,DS05,4,61,60,20.3,72,84.7,600.0
2025-04-16,DS01,8,125,122,18.5,144,86.8,1204.0
2025-04-16,DS02,6,101,101,20.8,108,93.5,922.0
2025-04-16,DS05,5,78,76,20.6,90,86.7,752.0
2025-04-16,DS07,4,101,91,31.0,72,140.3,662.0
2025-04-17,DS01,10,139,136,20.7,180,77.2,1472.0
2025-04-17,DS02,7,104,102,18.4,126,82.5,1044.0
2025-04-17,DS03,11,160,159,18.6,198,80.8,1638.0
2025-04-17,DS06,4,56,55,20.8,72,77.8,590.0
2025-04-17,DS08,5,73,71,22.3,90,81.1,742.0
2025-04-18,DS01,12,165,160,20.7,216,76.4,1760.0
2025-04-18,DS05,6,90,88,19.9,108,83.3,896.0
2025-04-18,DS07,7,136,129,32.1,126,107.9,1098.0
2025-04-18,DS08,7,96,94,21.7,126,76.2,1028.0
2025-04-19,DS03,12,193,192,19.3,216,89.4,1824.0
2025-04-19,DS05,7,107,105,20.3,126,84.9,1050.0
2025-04-19,DS07,6,149,132,33.1,108,138.0,984.0
2025-04-19,DS08,5,84,82,19.4,90,93.3,764.0
2025-04-20,DS01,10,132,128,19.8,180,73.3,1456.0
2025-04-20,DS05,4,69,68,21.4,72,95.8,616.0
2025-04-20,DS08,5,72,70,21.3,90,80.0,740.0
2025-04-21,DS05,4,55,53,20.2,72,76.4,586.0
2025-04-21,DS08,4,55,53,19.5,72,76.4,586.0
2025-04-22,DS02,6,95,91,20.2,108,88.0,902.0
2025-04-22,DS04,5,75,72,20.8,90,83.3,744.0
2025-04-22,DS05,4,61,59,19.7,72,84.7,598.0
2025-04-22,DS08,4,61,60,19.8,72,84.7,600.0
2025-04-23,DS02,7,97,97,20.6,126,77.0,1034.0
2025-04-23,DS03,11,154,150,18.9,198,77.8,1620.0
2025-04-23,DS05,5,73,72,20.9,90,81.1,744.0
2025-04-23,DS08,5,69,68,21.3,90,76.7,736.0
2025-04-24,DS01,10,147,143,20.2,180,81.7,1486.0
2025-04-24,DS02,8,115,115,19.8,144,79.9,1190.0
2025-04-24,DS03,12,170,166,19.5,216,78.7,1772.0
2025-04-24,DS08,6,83,82,20.2,108,76.9,884.0
2025-04-25,DS01,12,173,170,20.4,216,80.1,1780.0
2025-04-25,DS02,9,131,128,19.8,162,80.9,1336.0
2025-04-25,DS06,4,65,62,21.1,72,90.3,604.0
2025-04-25,DS07,6,136,124,31.2,108,125.9,968.0
2025-04-26,DS04,7,104,101,21.0,126,82.5,1042.0
2025-04-27,DS01,8,129,127,19.6,144,89.6,1214.0
2025-04-27,DS02,6,93,91,19.4,108,86.1,902.0
2025-04-27,DS08,5,70,68,21.4,90,77.8,736.0
2025-04-28,DS01,7,101,98,20.1,126,80.2,1036.0
