order_id,sku_id,qty,unit_price_aed,line_value_aed,unfulfilled
ORD0016951,SKU0049,1,6.02,6.02,0
ORD0016998,SKU0018,1,12.52,12.52,1
ORD0017064,SKU0046,1,6.75,6.75,0
ORD0017282,SKU0117,1,9.15,9.15,0
ORD0017460,SKU0028,1,7.24,7.24,0
ORD0017462,SKU0180,1,56.07,56.07,0
ORD0017935,SKU0043,1,31.63,31.63,0
ORD0018002,SKU0037,1,22.48,22.48,0
ORD0018017,SKU0106,1,18.54,18.54,0
ORD0018034,SKU0266,1,71.05,71.05,0
ORD0018100,SKU0052,1,15.15,15.15,0
ORD0018887,SKU0023,1,9.17,9.17,1
ORD0019029,SKU0044,1,14.55,14.55,0
ORD0019321,SKU0197,1,33.28,33.28,0
ORD0019533,SKU0254,1,11.92,11.92,0
ORD0019686,SKU0180,1,56.07,56.07,0
ORD0019693,SKU0094,1,20.54,20.54,1
ORD0019727,SKU0136,1,29.6,29.6,0
ORD0019878,SKU0032,1,25.5,25.5,0
ORD0019879,SKU0147,1,11.65,11.65,0
ORD0020449,SKU0028,1,7.24,7.24,0
ORD0020879,SKU0261,1,12.53,12.53,0
ORD0021145,SKU0095,1,20.31,20.31,0
ORD0021178,SKU0122,1,19.13,19.13,0
ORD0021270,SKU0035,1,20.86,20.86,0
ORD0021472,SKU0257,1,40.39,40.39,0
ORD0022269,SKU0022,1,15.62,15.62,0
ORD0022404,SKU0206,1,23.08,23.08,0
ORD0022787,SKU0132,1,3.24,3.24,0
ORD0023074,SKU0002,1,15.74,15.74,0
ORD0023492,SKU0205,1,37.16,37.16,0
ORD0023698,SKU0209,1,19.61,19.61,0
ORD0023846,SKU0061,1,9.32,9.32,0
ORD0024486,SKU0218,1,40.37,40.37,0
ORD0025145,SKU0242,1,18.51,18.51,0
ORD0025280,SKU0092,1,20.36,20.36,0
ORD0025612,SKU0074,1,58.83,58.83,0
ORD0025965,SKU0172,1,56.41,56.41,0
ORD0026598,SKU0041,1,5.75,5.75,0
ORD0026703,SKU0264,1,50.01,50.01,0
ORD0026715,SKU0161,1,9.34,9.34,0
ORD0026972,SKU0012,1,18.24,18.24,1
ORD0027311,SKU0134,1,4.96,4.96,0
ORD0027461,SKU0094,1,20.54,20.54,0
ORD0027606,SKU0091,1,19.26,19.26,0
ORD0028031,SKU0261,1,12.53,12.53,0
ORD0028089,SKU0159,1,48.84,48.84,0
ORD0028341,SKU0012,1,18.24,18.24,0
ORD0028897,SKU0147,1,11.65,11.65,0
ORD0028904,SKU0076,1,14.84,14.84,0
ORD0028959,SKU0259,1,39.71,39.71,0
ORD0029386,SKU0143,1,13.42,13.42,0
ORD0029607,SKU0030,1,3.91,3.91,0
ORD0029825,SKU0212,2,22.78,45.56,0
ORD0030471,SKU0029,1,27.88,27.88,0
ORD0030785,SKU0253,1,21.15,21.15,0
ORD0031283,SKU0174,1,55.01,55.01,0
ORD0031450,SKU0106,2,18.54,37.08,0
ORD0031611,SKU0264,1,50.01,50.01,0
ORD0031699,SKU0198,1,22.7,22.7,0
ORD0031707,SKU0176,1,25.64,25.64,0
ORD0031816,SKU0050,1,18.79,18.79,0
ORD0031834,SKU0242,1,18.51,18.51,0
ORD0032089,SKU0012,1,18.24,18.24,0
ORD0032136,SKU0266,1,71.05,71.05,0
ORD0032190,SKU0091,1,19.26,19.26,1
ORD0032217,SKU0205,1,37.16,37.16,0
ORD0032846,SKU0156,1,10.8,10.8,0
ORD0033315,SKU0212,1,22.78,22.78,0
ORD0033359,SKU0094,1,20.54,20.54,0
ORD0033461,SKU0195,1,14.17,14.17,0
ORD0033470,SKU0215,1,36.32,36.32,0
ORD0033543,SKU0259,1,39.71,39.71,0
ORD0034227,SKU0253,1,21.15,21.15,0
ORD0034331,SKU0047,1,21.12,21.12,0
ORD0034532,SKU0095,1,20.31,20.31,0
ORD0034781,SKU0240,1,10.18,10.18,0
ORD0034911,SKU0176,1,25.64,25.64,0
ORD0034936,SKU0012,1,18.24,18.24,0
ORD0035023,SKU0050,1,18.79,18.79,0
ORD0035483,SKU0212,1,22.78,22.78,0
ORD0035715,SKU0106,2,18.54,37.08,0
ORD0035856,SKU0143,1,13.42,13.42,0
ORD0036280,SKU0113,1,31.57,31.57,0
ORD0036624,SKU0018,1,12.52,12.52,0
ORD0036691,SKU0236,1,11.16,11.16,0
ORD0036980,SKU0076,1,14.84,14.84,0
ORD0037020,SKU0185,1,12.72,12.72,0
ORD0037237,SKU0085,1,17.61,17.61,1
ORD0037504,SKU0261,1,12.53,12.53,0
ORD0037609,SKU0242,1,18.51,18.51,0
ORD0038181,SKU0251,1,15.63,15.63,0
ORD0038915,SKU0092,1,20.36,20.36,1
ORD0038972,SKU0212,1,22.78,22.78,0
ORD0039233,SKU0200,1,52.16,52.16,0
ORD0039527,SKU0113,1,31.57,31.57,0
ORD0039781,SKU0181,1,13.82,13.82,0
ORD0039819,SKU0209,1,19.61,19.61,1
ORD0039839,SKU0168,1,42.03,42.03,0
ORD0039910,SKU0136,1,29.6,29.6,0
ORD0039921,SKU0251,1,15.63,15.63,0
ORD0040007,SKU0122,2,19.13,38.26,0
ORD0040078,SKU0047,1,21.12,21.12,0
ORD0040418,SKU0012,1,18.24,18.24,0
ORD0040432,SKU0095,1,20.31,20.31,0
ORD0040720,SKU0054,1,19.75,19.75,0
ORD0040923,SKU0188,1,54.08,54.08,0
ORD0041020,SKU0200,1,52.16,52.16,0
ORD0041167,SKU0052,1,15.15,15.15,0
ORD0041289,SKU0261,1,12.53,12.53,0
ORD0041807,SKU0044,1,14.55,14.55,0
ORD0041820,SKU0266,1,71.05,71.05,0
ORD0041854,SKU0210,1,41.76,41.76,0
ORD0041919,SKU0127,1,24.74,24.74,0
ORD0042643,SKU0054,1,19.75,19.75,0
ORD0042771,SKU0130,1,9.97,9.97,0
ORD0042892,SKU0114,1,30.24,30.24,0
ORD0044015,SKU0032,1,25.5,25.5,1
ORD0044036,SKU0199,2,44.72,89.44,0
ORD0044119,SKU0044,1,14.55,14.55,0
ORD0045627,SKU0136,1,29.6,29.6,0
ORD0045644,SKU0067,1,51.91,51.91,0
ORD0046034,SKU0095,1,20.31,20.31,0
ORD0046049,SKU0266,1,71.05,71.05,0
ORD0046365,SKU0002,1,15.74,15.74,0
ORD0046443,SKU0143,1,13.42,13.42,0
ORD0046489,SKU0087,1,5.09,5.09,0
ORD0046501,SKU0260,1,50.74,50.74,0
ORD0046758,SKU0172,1,56.41,56.41,0
ORD0046860,SKU0002,1,15.74,15.74,0
ORD0047133,SKU0047,1,21.12,21.12,0
ORD0047239,SKU0032,1,25.5,25.5,0
ORD0047286,SKU0122,1,19.13,19.13,0
ORD0047717,SKU0161,1,9.34,9.34,0
ORD0047871,SKU0219,1,35.96,35.96,0
ORD0048181,SKU0264,1,50.01,50.01,0
ORD0048574,SKU0161,1,9.34,9.34,0
ORD0048663,SKU0049,1,6.02,6.02,0
ORD0048714,SKU0066,1,32.55,32.55,0
ORD0049232,SKU0095,1,20.31,20.31,1
ORD0049627,SKU0209,1,19.61,19.61,0
ORD0049665,SKU0018,1,12.52,12.52,0
ORD0049867,SKU0251,1,15.63,15.63,0
ORD0050162,SKU0212,1,22.78,22.78,0
ORD0050580,SKU0236,1,11.16,11.16,0
ORD0050585,SKU0113,1,31.57,31.57,0
ORD0051334,SKU0176,1,25.64,25.64,0
ORD0051352,SKU0161,1,9.34,9.34,0
ORD0051473,SKU0172,1,56.41,56.41,0
ORD0051621,SKU0095,1,20.31,20.31,0
ORD0051775,SKU0012,1,18.24,18.24,0
ORD0052213,SKU0047,1,21.12,21.12,0
ORD0052287,SKU0172,1,56.41,56.41,0
ORD0052475,SKU0219,1,35.96,35.96,0
ORD0053234,SKU0257,1,40.39,40.39,0
ORD0053409,SKU0233,1,40.81,40.81,0
ORD0053557,SKU0032,1,25.5,25.5,0
ORD0053584,SKU0199,1,44.72,44.72,0
ORD0053759,SKU0028,1,7.24,7.24,0
ORD0053991,SKU0061,1,9.32,9.32,0
ORD0054570,SKU0134,1,4.96,4.96,0
ORD0054761,SKU0085,1,17.61,17.61,0
ORD0054822,SKU0132,1,3.24,3.24,0
ORD0054984,SKU0021,1,23.97,23.97,0
ORD0054998,SKU0236,1,11.16,11.16,0
ORD0055248,SKU0009,1,6.16,6.16,0
ORD0055344,SKU0013,1,8.3,8.3,0
ORD0056080,SKU0054,1,19.75,19.75,0
ORD0056158,SKU0176,1,25.64,25.64,0
ORD0056239,SKU0156,1,10.8,10.8,0
ORD0056276,SKU0172,1,56.41,56.41,0
ORD0056414,SKU0184,1,34.4,34.4,0
ORD0056613,SKU0117,1,9.15,9.15,0
ORD0056996,SKU0032,1,25.5,25.5,0
ORD0057935,SKU0225,1,24.7,24.7,0
ORD0058127,SKU0023,1,9.17,9.17,1
ORD0058452,SKU0032,1,25.5,25.5,0
ORD0058544,SKU0156,1,10.8,10.8,0
ORD0058930,SKU0251,1,15.63,15.63,0
ORD0058979,SKU0092,1,20.36,20.36,0
ORD0059051,SKU0052,1,15.15,15.15,0
ORD0059057,SKU0121,1,24.71,24.71,0
ORD0059130,SKU0095,1,20.31,20.31,0
ORD0059794,SKU0197,1,33.28,33.28,0
ORD0059834,SKU0161,1,9.34,9.34,0
ORD0059976,SKU0261,1,12.53,12.53,0
ORD0060277,SKU0205,1,37.16,37.16,0
ORD0060303,SKU0203,1,25.88,25.88,0
ORD0060682,SKU0225,1,24.7,24.7,0
ORD0061172,SKU0047,1,21.12,21.12,0
ORD0061627,SKU0156,1,10.8,10.8,0
ORD0061656,SKU0018,1,12.52,12.52,0
ORD0061958,SKU0161,1,9.34,9.34,0
ORD0062414,SKU0049,1,6.02,6.02,0
ORD0063064,SKU0181,1,13.82,13.82,0
ORD0063269,SKU0018,1,12.52,12.52,0
ORD0063765,SKU0261,1,12.53,12.53,0
ORD0064037,SKU0128,1,27.56,27.56,0
ORD0064213,SKU0148,1,26.25,26.25,0
ORD0064849,SKU0261,1,12.53,12.53,0
ORD0065728,SKU0172,1,56.41,56.41,0
ORD0065920,SKU0242,1,18.51,18.51,0
ORD0066386,SKU0256,1,28.09,28.09,0
ORD0066424,SKU0259,1,39.71,39.71,0
ORD0066566,SKU0117,1,9.15,9.15,0
ORD0066968,SKU0186,1,48.62,48.62,0
ORD0066995,SKU0005,1,7.42,7.42,0
ORD0067089,SKU0076,1,14.84,14.84,0
ORD0067195,SKU0018,1,12.52,12.52,0
ORD0067214,SKU0156,1,10.8,10.8,0
ORD0067360,SKU0143,1,13.42,13.42,0
ORD0067703,SKU0022,1,15.62,15.62,1
ORD0067992,SKU0261,1,12.53,12.53,0
ORD0068409,SKU0143,1,13.42,13.42,0
ORD0068451,SKU0094,1,20.54,20.54,0
ORD0068527,SKU0173,1,52.63,52.63,0
ORD0069388,SKU0195,1,14.17,14.17,0
ORD0069742,SKU0018,1,12.52,12.52,0
ORD0070432,SKU0095,1,20.31,20.31,0
ORD0070544,SKU0122,1,19.13,19.13,0
ORD0071022,SKU0266,2,71.05,142.1,0
ORD0071333,SKU0046,1,6.75,6.75,0
ORD0071376,SKU0054,1,19.75,19.75,0
ORD0071380,SKU0095,1,20.31,20.31,0
ORD0071608,SKU0029,1,27.88,27.88,0
ORD0071919,SKU0116,1,4.0,4.0,0
ORD0072050,SKU0058,1,23.76,23.76,0
ORD0072312,SKU0103,1,19.38,19.38,0
ORD0072334,SKU0266,1,71.05,71.05,0
ORD0072451,SKU0176,2,25.64,51.28,0
ORD0072826,SKU0193,1,41.08,41.08,0
ORD0072852,SKU0020,1,9.29,9.29,0
ORD0072939,SKU0122,1,19.13,19.13,0
ORD0073584,SKU0226,1,27.93,27.93,0
ORD0073786,SKU0127,1,24.74,24.74,0
ORD0075083,SKU0012,1,18.24,18.24,0
ORD0075128,SKU0052,1,15.15,15.15,0
ORD0075141,SKU0034,1,12.45,12.45,0
ORD0075146,SKU0205,1,37.16,37.16,0
ORD0076476,SKU0225,1,24.7,24.7,0
ORD0076516,SKU0068,1,71.63,71.63,0
ORD0076783,SKU0049,1,6.02,6.02,0
ORD0076911,SKU0261,1,12.53,12.53,0
ORD0076940,SKU0106,1,18.54,18.54,0
ORD0077257,SKU0085,1,17.61,17.61,0
ORD0077534,SKU0225,1,24.7,24.7,0
ORD0077895,SKU0266,2,71.05,142.1,0
ORD0078194,SKU0076,1,14.84,14.84,1
ORD0078219,SKU0076,1,14.84,14.84,1
ORD0078259,SKU0212,1,22.78,22.78,0
ORD0078495,SKU0105,1,25.21,25.21,0
ORD0079159,SKU0058,1,23.76,23.76,0
ORD0079334,SKU0161,1,9.34,9.34,0
ORD0079364,SKU0184,1,34.4,34.4,0
ORD0080045,SKU0198,1,22.7,22.7,0
ORD0080143,SKU0030,1,3.91,3.91,0
ORD0080220,SKU0261,2,12.53,25.06,0
ORD0080305,SKU0122,1,19.13,19.13,0
ORD0080358,SKU0190,1,35.71,35.71,0
ORD0080756,SKU0012,1,18.24,18.24,0
ORD0080849,SKU0138,1,19.97,19.97,0
ORD0081265,SKU0003,1,14.69,14.69,0
ORD0082155,SKU0032,1,25.5,25.5,0
ORD0082317,SKU0250,1,10.33,10.33,0
ORD0082582,SKU0032,1,25.5,25.5,0
ORD0082982,SKU0095,1,20.31,20.31,0
ORD0083050,SKU0251,1,15.63,15.63,0
ORD0083123,SKU0156,1,10.8,10.8,0
ORD0083125,SKU0095,2,20.31,40.62,0
ORD0083159,SKU0209,1,19.61,19.61,0
ORD0083701,SKU0095,1,20.31,20.31,0
ORD0083999,SKU0181,1,13.82,13.82,0
ORD0084579,SKU0127,1,24.74,24.74,0
ORD0084631,SKU0176,1,25.64,25.64,0
ORD0084922,SKU0161,1,9.34,9.34,0
ORD0085130,SKU0005,1,7.42,7.42,0
ORD0085171,SKU0143,1,13.42,13.42,0
ORD0085274,SKU0071,1,32.42,32.42,0
ORD0085283,SKU0161,1,9.34,9.34,0
ORD0085443,SKU0122,1,19.13,19.13,0
ORD0086476,SKU0104,1,18.19,18.19,0
ORD0086655,SKU0212,1,22.78,22.78,0
ORD0086877,SKU0043,1,31.63,31.63,0
ORD0086909,SKU0136,1,29.6,29.6,0
ORD0087259,SKU0219,1,35.96,35.96,0
ORD0087283,SKU0167,1,31.79,31.79,0
ORD0087373,SKU0122,1,19.13,19.13,0
ORD0087735,SKU0219,1,35.96,35.96,0
ORD0087812,SKU0161,1,9.34,9.34,0
ORD0087867,SKU0218,1,40.37,40.37,0
ORD0087949,SKU0169,1,7.65,7.65,0
ORD0088813,SKU0236,1,11.16,11.16,0
ORD0089469,SKU0043,1,31.63,31.63,0
ORD0089777,SKU0061,1,9.32,9.32,0
ORD0089826,SKU0210,1,41.76,41.76,0
ORD0090158,SKU0230,1,36.57,36.57,0
ORD0090308,SKU0049,1,6.02,6.02,0
ORD0090427,SKU0058,1,23.76,23.76,0
ORD0090600,SKU0091,1,19.26,19.26,0
ORD0091029,SKU0181,1,13.82,13.82,0
ORD0091099,SKU0257,1,40.39,40.39,0
ORD0091123,SKU0251,1,15.63,15.63,0
ORD0091230,SKU0212,1,22.78,22.78,0
ORD0091663,SKU0076,1,14.84,14.84,0
ORD0092271,SKU0191,1,40.43,40.43,0
ORD0092622,SKU0094,1,20.54,20.54,0
ORD0092625,SKU0176,2,25.64,51.28,0
ORD0092909,SKU0094,1,20.54,20.54,0
ORD0093092,SKU0068,1,71.63,71.63,0
ORD0093563,SKU0134,1,4.96,4.96,0
ORD0093723,SKU0076,1,14.84,14.84,0
ORD0093883,SKU0103,1,19.38,19.38,0
ORD0093943,SKU0047,1,21.12,21.12,0
ORD0094025,SKU0117,1,9.15,9.15,0
ORD0094046,SKU0076,1,14.84,14.84,0
ORD0094425,SKU0070,1,23.41,23.41,0
ORD0095195,SKU0117,1,9.15,9.15,0
ORD0095343,SKU0266,1,71.05,71.05,0
ORD0095559,SKU0104,1,18.19,18.19,0
ORD0095610,SKU0127,1,24.74,24.74,0
ORD0095789,SKU0035,1,20.86,20.86,0
ORD0096049,SKU0257,1,40.39,40.39,0
ORD0096129,SKU0134,1,4.96,4.96,0
ORD0096146,SKU0035,1,20.86,20.86,0
ORD0096165,SKU0252,1,16.35,16.35,0
ORD0096244,SKU0181,1,13.82,13.82,0
ORD0096351,SKU0147,1,11.65,11.65,0
ORD0096957,SKU0114,1,30.24,30.24,0
ORD0097060,SKU0127,1,24.74,24.74,0
ORD0097282,SKU0161,1,9.34,9.34,0
ORD0097479,SKU0066,1,32.55,32.55,0
ORD0097587,SKU0066,1,32.55,32.55,0
ORD0098490,SKU0032,1,25.5,25.5,1
ORD0098521,SKU0212,1,22.78,22.78,1
ORD0099027,SKU0236,1,11.16,11.16,0
ORD0099434,SKU0061,1,9.32,9.32,0
ORD0099557,SKU0198,1,22.7,22.7,0
ORD0100498,SKU0219,1,35.96,35.96,0
ORD0100817,SKU0264,1,50.01,50.01,0
ORD0101383,SKU0127,1,24.74,24.74,0
ORD0101737,SKU0240,1,10.18,10.18,0
ORD0101829,SKU0200,1,52.16,52.16,0
ORD0101970,SKU0143,1,13.42,13.42,0
ORD0102226,SKU0172,1,56.41,56.41,0
ORD0102257,SKU0198,1,22.7,22.7,0
ORD0102651,SKU0006,1,20.69,20.69,0
ORD0103003,SKU0198,1,22.7,22.7,0
ORD0103023,SKU0169,1,7.65,7.65,0
ORD0103290,SKU0117,1,9.15,9.15,0
ORD0103341,SKU0128,1,27.56,27.56,0
ORD0103419,SKU0066,1,32.55,32.55,0
ORD0103562,SKU0200,1,52.16,52.16,0
ORD0103610,SKU0016,1,25.15,25.15,1
ORD0103725,SKU0059,1,28.76,28.76,0
ORD0104069,SKU0087,1,5.09,5.09,0
ORD0105088,SKU0117,1,9.15,9.15,0
ORD0105698,SKU0035,1,20.86,20.86,0
ORD0105714,SKU0076,1,14.84,14.84,0
ORD0105805,SKU0122,1,19.13,19.13,0
ORD0106068,SKU0156,1,10.8,10.8,0
ORD0106257,SKU0013,1,8.3,8.3,0
ORD0106458,SKU0016,1,25.15,25.15,0
ORD0106481,SKU0194,1,48.89,48.89,0
ORD0106499,SKU0023,1,9.17,9.17,0
ORD0106665,SKU0086,1,19.26,19.26,0
ORD0107024,SKU0200,1,52.16,52.16,0
ORD0107196,SKU0198,1,22.7,22.7,0
ORD0107409,SKU0043,1,31.63,31.63,0
ORD0107424,SKU0094,1,20.54,20.54,0
ORD0107695,SKU0049,1,6.02,6.02,0
ORD0107868,SKU0261,1,12.53,12.53,0
ORD0108085,SKU0106,1,18.54,18.54,0
ORD0108369,SKU0103,1,19.38,19.38,0
ORD0108602,SKU0023,1,9.17,9.17,1
ORD0108713,SKU0061,1,9.32,9.32,0
ORD0108734,SKU0122,1,19.13,19.13,0
ORD0108846,SKU0037,1,22.48,22.48,0
ORD0109211,SKU0198,1,22.7,22.7,0
ORD0109638,SKU0161,1,9.34,9.34,0
ORD0110216,SKU0117,2,9.15,18.3,0
ORD0110283,SKU0176,1,25.64,25.64,0
ORD0110325,SKU0173,1,52.63,52.63,0
ORD0110530,SKU0113,1,31.57,31.57,0
ORD0110811,SKU0067,1,51.91,51.91,0
ORD0110930,SKU0254,1,11.92,11.92,0
ORD0111114,SKU0127,1,24.74,24.74,0
ORD0111606,SKU0261,1,12.53,12.53,0
ORD0112015,SKU0257,1,40.39,40.39,0
ORD0112151,SKU0053,1,23.79,23.79,0
ORD0112252,SKU0095,1,20.31,20.31,0
ORD0112595,SKU0122,1,19.13,19.13,0
ORD0112790,SKU0266,1,71.05,71.05,0
ORD0113832,SKU0092,1,20.36,20.36,0
ORD0113977,SKU0006,1,20.69,20.69,0
ORD0114469,SKU0117,1,9.15,9.15,0
ORD0114714,SKU0061,1,9.32,9.32,0
ORD0114864,SKU0230,2,36.57,73.14,0
ORD0115024,SKU0156,1,10.8,10.8,0
ORD0115708,SKU0061,1,9.32,9.32,0
ORD0116069,SKU0076,1,14.84,14.84,0
ORD0116138,SKU0257,1,40.39,40.39,0
ORD0116655,SKU0032,1,25.5,25.5,0
ORD0117645,SKU0018,1,12.52,12.52,0
ORD0118443,SKU0149,1,5.61,5.61,0
ORD0118527,SKU0038,1,23.38,23.38,0
ORD0118635,SKU0132,1,3.24,3.24,0
ORD0118990,SKU0117,1,9.15,9.15,0
ORD0119816,SKU0077,1,17.99,17.99,1
ORD0120122,SKU0145,1,22.29,22.29,0
ORD0120247,SKU0059,1,28.76,28.76,0
ORD0120290,SKU0046,1,6.75,6.75,0
ORD0120411,SKU0176,1,25.64,25.64,0
ORD0120540,SKU0099,1,16.26,16.26,0
ORD0120667,SKU0061,1,9.32,9.32,0
ORD0120761,SKU0261,1,12.53,12.53,0
ORD0120867,SKU0021,1,23.97,23.97,0
ORD0121671,SKU0006,1,20.69,20.69,0
ORD0122076,SKU0106,1,18.54,18.54,0
ORD0122770,SKU0160,1,42.55,42.55,0
ORD0122948,SKU0043,1,31.63,31.63,0
ORD0123041,SKU0049,1,6.02,6.02,0
ORD0123048,SKU0147,1,11.65,11.65,0
ORD0123678,SKU0212,1,22.78,22.78,0
ORD0123693,SKU0117,1,9.15,9.15,0
ORD0123884,SKU0167,1,31.79,31.79,0
ORD0123929,SKU0145,1,22.29,22.29,0
ORD0124403,SKU0143,1,13.42,13.42,0
ORD0124416,SKU0135,1,21.67,21.67,0
ORD0124913,SKU0254,1,11.92,11.92,0
ORD0125387,SKU0231,1,17.79,17.79,0
ORD0125432,SKU0158,1,7.19,7.19,0
ORD0125543,SKU0010,1,13.39,13.39,0
ORD0125663,SKU0018,1,12.52,12.52,0
ORD0125797,SKU0061,1,9.32,9.32,0
ORD0125870,SKU0172,1,56.41,56.41,0
ORD0126064,SKU0002,1,15.74,15.74,0
ORD0126099,SKU0145,1,22.29,22.29,0
ORD0126464,SKU0240,1,10.18,10.18,0
ORD0126495,SKU0191,1,40.43,40.43,0
ORD0126680,SKU0012,1,18.24,18.24,0
ORD0126955,SKU0005,1,7.42,7.42,0
ORD0127004,SKU0006,1,20.69,20.69,0
ORD0127155,SKU0219,2,35.96,71.92,0
ORD0127311,SKU0181,1,13.82,13.82,0
ORD0127877,SKU0168,1,42.03,42.03,0
ORD0128072,SKU0184,1,34.4,34.4,0
ORD0128440,SKU0266,1,71.05,71.05,0
ORD0128986,SKU0016,1,25.15,25.15,1
ORD0129021,SKU0010,1,13.39,13.39,0
ORD0129082,SKU0242,1,18.51,18.51,0
ORD0129235,SKU0198,1,22.7,22.7,0
ORD0129430,SKU0257,1,40.39,40.39,0
ORD0129552,SKU0261,1,12.53,12.53,0
ORD0129888,SKU0127,1,24.74,24.74,0
ORD0130359,SKU0219,1,35.96,35.96,0
ORD0130559,SKU0127,1,24.74,24.74,0
ORD0130888,SKU0081,1,72.8,72.8,0
ORD0130966,SKU0226,1,27.93,27.93,0
ORD0130997,SKU0122,1,19.13,19.13,0
ORD0131641,SKU0031,1,22.33,22.33,0
ORD0131701,SKU0179,1,29.61,29.61,0
ORD0131882,SKU0143,1,13.42,13.42,0
ORD0132082,SKU0261,1,12.53,12.53,0
ORD0132818,SKU0256,1,28.09,28.09,0
ORD0132931,SKU0106,2,18.54,37.08,0
ORD0133061,SKU0169,1,7.65,7.65,0
ORD0133113,SKU0008,1,5.98,5.98,0
ORD0133137,SKU0049,1,6.02,6.02,0
ORD0133227,SKU0174,1,55.01,55.01,0
ORD0133487,SKU0256,1,28.09,28.09,0
ORD0133693,SKU0122,1,19.13,19.13,0
ORD0133911,SKU0252,1,16.35,16.35,0
ORD0134152,SKU0106,1,18.54,18.54,0
ORD0134623,SKU0261,1,12.53,12.53,0
ORD0134894,SKU0068,1,71.63,71.63,0
ORD0135916,SKU0236,1,11.16,11.16,0
ORD0136252,SKU0113,1,31.57,31.57,0
ORD0136364,SKU0122,1,19.13,19.13,0
ORD0136391,SKU0257,1,40.39,40.39,0
ORD0136401,SKU0172,1,56.41,56.41,0
ORD0136829,SKU0076,1,14.84,14.84,0
ORD0137215,SKU0117,1,9.15,9.15,0
ORD0137310,SKU0018,1,12.52,12.52,1
ORD0137317,SKU0251,1,15.63,15.63,0
ORD0137409,SKU0087,1,5.09,5.09,0
ORD0137486,SKU0095,1,20.31,20.31,0
ORD0137535,SKU0043,1,31.63,31.63,0
ORD0137786,SKU0059,1,28.76,28.76,0
ORD0137799,SKU0176,2,25.64,51.28,0
ORD0138491,SKU0261,1,12.53,12.53,0
ORD0139889,SKU0261,1,12.53,12.53,0
ORD0139920,SKU0138,1,19.97,19.97,0
