po_id,supplier_id,store_id,sku_id,order_date,promised_date,received_date,qty_ordered,qty_received,unit_cost_aed,po_value_aed
PO0003857,SUP02,DS01,SKU0043,2025-09-03,2025-09-05,2025-09-05,15,15,23.87,358.05
PO0003861,SUP02,DS01,SKU0043,2025-09-22,2025-09-24,2025-09-24,15,15,23.87,358.05
PO0003969,SUP03,DS01,SKU0066,2025-05-28,2025-05-31,2025-05-31,14,14,24.41,341.74
PO0004003,SUP03,DS01,SKU0066,2025-10-01,2025-10-04,2025-10-04,7,7,24.41,170.87
PO0004055,SUP03,DS01,SKU0066,2026-04-06,2026-04-09,2026-04-09,21,18,24.41,512.61
PO0004056,SUP03,DS01,SKU0066,2026-04-08,2026-04-11,2026-04-11,14,14,24.41,341.74
PO0004327,SUP06,DS01,SKU0134,2025-01-08,2025-01-14,2025-01-14,23,23,3.22,74.06
PO0004351,SUP06,DS01,SKU0134,2025-06-02,2025-06-08,2025-06-08,23,23,3.22,74.06
PO0004415,SUP06,DS01,SKU0134,2026-05-25,2026-05-31,2026-05-31,23,23,3.22,74.06
PO0004508,SUP08,DS01,SKU0259,2025-11-19,2025-11-26,2025-11-26,10,10,28.05,280.5
PO0004542,SUP08,DS01,SKU0259,2026-03-23,2026-03-30,2026-04-01,30,30,28.05,841.5
PO0004615,SUP04,DS01,SKU0209,2025-06-11,2025-06-12,2025-06-12,8,8,11.93,95.44
PO0004646,SUP04,DS01,SKU0209,2025-09-29,2025-09-30,2025-09-30,16,16,11.93,190.88
PO0004677,SUP04,DS01,SKU0209,2026-01-14,2026-01-15,2026-01-15,8,8,11.93,95.44
PO0004757,SUP02,DS01,SKU0050,2025-05-26,2025-05-28,2025-05-28,24,24,14.51,348.24
PO0004824,SUP02,DS01,SKU0050,2026-03-02,2026-03-04,2026-03-04,36,36,14.51,522.36
PO0004891,SUP06,DS01,SKU0181,2025-05-19,2025-05-25,2025-05-25,18,18,9.21,165.78
PO0004969,SUP06,DS01,SKU0181,2026-02-18,2026-02-24,2026-02-24,45,45,9.21,414.45
PO0005057,SUP06,DS01,SKU0135,2025-08-25,2025-08-31,2025-08-31,32,32,13.81,441.92
PO0005151,SUP01,DS01,SKU0016,2025-04-30,2025-05-02,2025-05-02,8,8,20.09,160.72
PO0005218,SUP01,DS01,SKU0016,2026-02-02,2026-02-04,2026-02-04,24,24,20.09,482.16
PO0005272,SUP03,DS01,SKU0081,2025-03-31,2025-04-03,2025-04-03,16,16,56.35,901.6
PO0005292,SUP03,DS01,SKU0081,2025-07-02,2025-07-05,2025-07-05,4,4,56.35,225.4
PO0005368,SUP03,DS01,SKU0081,2026-06-29,2026-07-02,2026-07-02,24,21,56.35,1352.4
PO0005471,SUP08,DS01,SKU0257,2026-03-02,2026-03-09,2026-03-09,33,33,30.99,1022.67
PO0005542,SUP07,DS01,SKU0195,2025-06-09,2025-06-14,2025-06-14,9,9,10.67,96.03
PO0005608,SUP07,DS01,SKU0195,2026-02-16,2026-02-21,2026-02-21,18,18,10.67,192.06
PO0005638,SUP07,DS01,SKU0195,2026-06-01,2026-06-06,2026-06-06,36,36,10.67,384.12
PO0005714,SUP02,DS01,SKU0049,2025-10-27,2025-10-29,2025-10-29,15,15,4.82,72.3
PO0005833,SUP01,DS01,SKU0030,2025-10-29,2025-10-31,2025-10-31,8,8,2.77,22.16
PO0005959,SUP08,DS01,SKU0236,2025-09-01,2025-09-08,2025-09-08,18,18,7.43,133.74
PO0006020,SUP08,DS01,SKU0236,2026-04-01,2026-04-08,2026-04-08,6,6,7.43,44.58
PO0006034,SUP08,DS01,SKU0236,2026-05-20,2026-05-27,2026-05-27,12,12,7.43,89.16
PO0006185,SUP08,DS01,SKU0242,2026-05-25,2026-06-01,2026-06-01,18,18,11.11,199.98
PO0006191,SUP08,DS01,SKU0242,2026-06-15,2026-06-22,2026-06-22,18,18,11.11,199.98
PO0006210,SUP08,DS01,SKU0251,2025-03-03,2025-03-10,2025-03-10,24,24,9.4,225.6
PO0006255,SUP08,DS01,SKU0251,2025-08-11,2025-08-18,2025-08-19,12,12,9.4,112.8
PO0006271,SUP08,DS01,SKU0251,2025-10-06,2025-10-13,2025-10-13,12,12,9.4,112.8
PO0006319,SUP08,DS01,SKU0251,2026-03-30,2026-04-06,2026-04-06,24,24,9.4,225.6
PO0006394,SUP06,DS01,SKU0147,2025-08-04,2025-08-10,2025-08-10,12,12,7.48,89.76
PO0006512,SUP08,DS01,SKU0230,2025-06-23,2025-06-30,2025-06-30,11,11,25.78,283.58
PO0006557,SUP08,DS01,SKU0230,2025-12-24,2025-12-31,2025-12-31,11,11,25.78,283.58
PO0006572,SUP08,DS01,SKU0230,2026-02-25,2026-03-04,2026-03-04,11,11,25.78,283.58
PO0006778,SUP08,DS01,SKU0225,2025-07-02,2025-07-09,2025-07-09,8,8,15.57,124.56
PO0006860,SUP08,DS01,SKU0225,2026-05-11,2026-05-18,2026-05-18,16,16,15.57,249.12
PO0006888,SUP02,DS01,SKU0046,2025-03-10,2025-03-12,2025-03-12,11,11,5.49,60.39
PO0006934,SUP02,DS01,SKU0046,2025-10-01,2025-10-03,2025-10-03,11,11,5.49,60.39
PO0007022,SUP04,DS01,SKU0092,2025-04-14,2025-04-15,2025-04-15,8,8,13.24,105.92
PO0007060,SUP04,DS01,SKU0092,2025-08-27,2025-08-28,2025-08-28,8,8,13.24,105.92
PO0007224,SUP08,DS01,SKU0240,2025-10-15,2025-10-22,2025-10-22,6,6,6.79,40.74
PO0007348,SUP08,DS01,SKU0260,2025-08-27,2025-09-03,2025-09-03,10,10,37.49,374.9
PO0007369,SUP08,DS01,SKU0260,2025-12-01,2025-12-08,2025-12-08,20,20,37.49,749.8
PO0007371,SUP08,DS01,SKU0260,2025-12-10,2025-12-17,2025-12-17,10,10,37.49,374.9
PO0007383,SUP08,DS01,SKU0260,2026-02-09,2026-02-16,2026-02-16,20,20,37.49,749.8
PO0007577,SUP08,DS01,SKU0226,2025-08-25,2025-09-01,2025-09-01,12,12,19.38,232.56
PO0007628,SUP08,DS01,SKU0226,2026-04-22,2026-04-29,2026-04-29,12,12,19.38,232.56
PO0007650,SUP06,DS01,SKU0156,2025-02-17,2025-02-23,2025-02-23,24,24,6.97,167.28
PO0007707,SUP06,DS01,SKU0156,2026-05-13,2026-05-19,2026-05-19,24,24,6.97,167.28
PO0007782,SUP04,DS01,SKU0086,2025-10-22,2025-10-23,2025-10-23,7,7,12.37,86.59
PO0007832,SUP04,DS01,SKU0086,2026-04-29,2026-04-30,2026-04-30,7,7,12.37,86.59
PO0007911,SUP01,DS01,SKU0022,2025-10-08,2025-10-10,2025-10-10,9,9,11.52,103.68
PO0007960,SUP01,DS01,SKU0022,2026-06-10,2026-06-12,2026-06-13,9,7,11.52,103.68
PO0007972,SUP07,DS01,SKU0198,2025-02-03,2025-02-08,2025-02-08,11,11,16.38,180.18
PO0007983,SUP07,DS01,SKU0198,2025-03-31,2025-04-05,2025-04-05,22,22,16.38,360.36
PO0008020,SUP07,DS01,SKU0198,2025-09-22,2025-09-27,2025-09-29,11,11,16.38,180.18
PO0008022,SUP07,DS01,SKU0198,2025-09-29,2025-10-04,2025-10-04,11,11,16.38,180.18
PO0008096,SUP06,DS01,SKU0138,2025-05-14,2025-05-20,2025-05-20,16,16,14.33,229.28
PO0008231,SUP07,DS01,SKU0194,2025-10-13,2025-10-18,2025-10-18,7,6,33.9,237.3
PO0008239,SUP07,DS01,SKU0194,2025-11-17,2025-11-22,2025-11-22,14,14,33.9,474.6
PO0008252,SUP07,DS01,SKU0194,2026-01-12,2026-01-17,2026-01-17,7,7,33.9,237.3
PO0008302,SUP05,DS01,SKU0121,2025-03-03,2025-03-07,2025-03-07,23,23,18.9,434.7
PO0008353,SUP05,DS01,SKU0121,2026-04-27,2026-05-01,2026-05-01,23,23,18.9,434.7
PO0008361,SUP05,DS01,SKU0121,2026-06-29,2026-07-03,2026-07-03,23,23,18.9,434.7
PO0008382,SUP06,DS01,SKU0145,2025-05-28,2025-06-03,2025-06-05,17,17,15.51,263.67
PO0008387,SUP06,DS01,SKU0145,2025-06-25,2025-07-01,2025-07-01,17,17,15.51,263.67
PO0008430,SUP06,DS01,SKU0145,2026-04-06,2026-04-12,2026-04-12,17,17,15.51,263.67
PO0008488,SUP05,DS01,SKU0128,2025-09-24,2025-09-28,2025-09-28,16,16,19.75,316.0
PO0008507,SUP05,DS01,SKU0128,2026-01-26,2026-01-30,2026-01-30,16,16,19.75,316.0
PO0008510,SUP05,DS01,SKU0128,2026-02-16,2026-02-20,2026-02-20,16,16,19.75,316.0
PO0008743,SUP02,DS01,SKU0035,2025-12-29,2025-12-31,2025-12-31,11,11,16.75,184.25
PO0008803,SUP02,DS01,SKU0059,2025-04-28,2025-04-30,2025-04-30,10,10,22.04,220.4
PO0008845,SUP02,DS01,SKU0059,2025-11-19,2025-11-21,2025-11-21,10,10,22.04,220.4
PO0008858,SUP02,DS01,SKU0059,2026-01-12,2026-01-14,2026-01-14,10,10,22.04,220.4
PO0008956,SUP03,DS01,SKU0079,2025-10-06,2025-10-09,2025-10-09,8,8,33.15,265.2
PO0008976,SUP03,DS01,SKU0079,2026-01-12,2026-01-15,2026-01-15,8,8,33.15,265.2
PO0009016,SUP01,DS01,SKU0011,2025-01-13,2025-01-15,2025-01-15,10,10,16.51,165.1
PO0009103,SUP01,DS01,SKU0011,2026-03-18,2026-03-20,2026-03-20,10,10,16.51,165.1
PO0009279,SUP06,DS01,SKU0179,2025-11-05,2025-11-11,2025-11-11,7,6,19.74,138.18
PO0009307,SUP06,DS01,SKU0179,2026-03-04,2026-03-10,2026-03-10,7,7,19.74,138.18
PO0009357,SUP04,DS01,SKU0210,2025-03-24,2025-03-25,2025-03-25,6,6,24.59,147.54
PO0009362,SUP04,DS01,SKU0210,2025-04-09,2025-04-10,2025-04-10,6,6,24.59,147.54
PO0009538,SUP03,DS01,SKU0063,2025-11-05,2025-11-08,2025-11-08,5,5,41.59,207.95
PO0009572,SUP03,DS01,SKU0063,2026-05-13,2026-05-16,2026-05-16,5,5,41.59,207.95
PO0009641,SUP01,DS01,SKU0002,2025-11-03,2025-11-05,2025-11-05,12,12,11.62,139.44
PO0009674,SUP01,DS01,SKU0002,2026-05-18,2026-05-20,2026-05-21,12,10,11.62,139.44
PO0009695,SUP04,DS01,SKU0207,2025-02-10,2025-02-11,2025-02-11,6,6,14.97,89.82
PO0009725,SUP04,DS01,SKU0207,2025-06-04,2025-06-05,2025-06-05,6,6,14.97,89.82
PO0009906,SUP04,DS01,SKU0091,2026-02-09,2026-02-10,2026-02-10,9,9,11.99,107.91
PO0009918,SUP04,DS01,SKU0091,2026-03-25,2026-03-26,2026-03-26,9,9,11.99,107.91
PO0010021,SUP04,DS01,SKU0213,2025-10-29,2025-10-30,2025-10-30,6,6,12.99,77.94
PO0010056,SUP04,DS01,SKU0213,2026-03-09,2026-03-10,2026-03-10,6,6,12.99,77.94
PO0010058,SUP04,DS01,SKU0213,2026-03-16,2026-03-17,2026-03-17,6,6,12.99,77.94
PO0010112,SUP02,DS01,SKU0047,2025-05-07,2025-05-09,2025-05-09,12,12,15.74,188.88
PO0010144,SUP02,DS01,SKU0047,2025-11-19,2025-11-21,2025-11-21,12,12,15.74,188.88
PO0010224,SUP03,DS01,SKU0068,2025-08-18,2025-08-21,2025-08-21,8,8,50.9,407.2
PO0010409,SUP06,DS01,SKU0167,2025-06-25,2025-07-01,2025-07-01,10,10,24.32,243.2
PO0010451,SUP06,DS01,SKU0167,2026-01-28,2026-02-03,2026-02-03,10,10,24.32,243.2
PO0010463,SUP06,DS01,SKU0167,2026-04-06,2026-04-12,2026-04-12,10,10,24.32,243.2
PO0010475,SUP06,DS01,SKU0167,2026-06-15,2026-06-21,2026-06-21,10,10,24.32,243.2
PO0010496,SUP04,DS01,SKU0215,2025-03-05,2025-03-06,2025-03-06,7,7,23.43,164.01
PO0010520,SUP04,DS01,SKU0215,2025-07-09,2025-07-10,2025-07-11,7,7,23.43,164.01
PO0010607,SUP07,DS01,SKU0197,2025-04-21,2025-04-26,2025-04-26,12,12,22.89,274.68
PO0010628,SUP07,DS01,SKU0197,2025-08-13,2025-08-18,2025-08-18,12,12,22.89,274.68
PO0010693,SUP08,DS01,SKU0238,2025-03-10,2025-03-17,2025-03-17,14,14,29.64,414.96
PO0010726,SUP08,DS01,SKU0238,2025-08-04,2025-08-11,2025-08-11,14,14,29.64,414.96
PO0010731,SUP08,DS01,SKU0238,2025-08-25,2025-09-01,2025-09-01,7,7,29.64,207.48
PO0010766,SUP08,DS01,SKU0238,2026-02-11,2026-02-18,2026-02-18,7,7,29.64,207.48
PO0010801,SUP08,DS01,SKU0222,2025-01-15,2025-01-22,2025-01-22,8,8,29.64,237.12
PO0010843,SUP08,DS01,SKU0222,2025-09-08,2025-09-15,2025-09-15,8,8,29.64,237.12
PO0010847,SUP08,DS01,SKU0222,2025-09-24,2025-10-01,2025-10-01,8,8,29.64,237.12
PO0010861,SUP08,DS01,SKU0222,2025-12-01,2025-12-08,2025-12-08,8,8,29.64,237.12
PO0010905,SUP08,DS01,SKU0222,2026-06-10,2026-06-17,2026-06-17,8,8,29.64,237.12
PO0010907,SUP08,DS01,SKU0222,2026-06-22,2026-06-29,2026-06-29,8,8,29.64,237.12
PO0010924,SUP02,DS01,SKU0051,2025-05-05,2025-05-07,2025-05-07,17,17,19.57,332.69
PO0010949,SUP02,DS01,SKU0051,2025-12-15,2025-12-17,2025-12-17,17,17,19.57,332.69
PO0011002,SUP04,DS01,SKU0205,2025-04-28,2025-04-29,2025-04-29,10,10,23.96,239.6
PO0011175,SUP06,DS01,SKU0131,2025-06-16,2025-06-22,2025-06-22,19,19,17.2,326.8
PO0011197,SUP06,DS01,SKU0131,2026-01-28,2026-02-03,2026-02-04,19,19,17.2,326.8
PO0011229,SUP05,DS01,SKU0115,2025-05-19,2025-05-23,2025-05-23,16,16,2.42,38.72
PO0011247,SUP05,DS01,SKU0115,2025-11-03,2025-11-07,2025-11-07,16,16,2.42,38.72
PO0011469,SUP01,DS01,SKU0010,2026-01-05,2026-01-07,2026-01-07,10,10,9.44,94.4
PO0011521,SUP03,DS01,SKU0069,2025-03-31,2025-04-03,2025-04-03,12,12,47.96,575.52
PO0011569,SUP03,DS01,SKU0069,2025-10-06,2025-10-09,2025-10-09,4,4,47.96,191.84
PO0011572,SUP03,DS01,SKU0069,2025-10-15,2025-10-18,2025-10-18,4,4,47.96,191.84
PO0011581,SUP03,DS01,SKU0069,2025-12-01,2025-12-04,2025-12-04,8,8,47.96,383.68
PO0011587,SUP03,DS01,SKU0069,2025-12-29,2026-01-01,2026-01-01,8,8,47.96,383.68
PO0011668,SUP02,DS01,SKU0052,2025-09-01,2025-09-03,2025-09-03,10,7,12.38,123.8
PO0011829,SUP07,DS01,SKU0184,2025-03-12,2025-03-17,2025-03-17,12,12,25.34,304.08
PO0011866,SUP07,DS01,SKU0184,2026-01-05,2026-01-10,2026-01-10,12,12,25.34,304.08
PO0011910,SUP07,DS01,SKU0193,2025-04-30,2025-05-05,2025-05-05,8,8,27.14,217.12
PO0011938,SUP07,DS01,SKU0193,2025-10-20,2025-10-25,2025-10-27,8,8,27.14,217.12
PO0012002,SUP01,DS01,SKU0029,2025-04-21,2025-04-23,2025-04-23,8,8,21.46,171.68
PO0012032,SUP01,DS01,SKU0029,2025-09-22,2025-09-24,2025-09-24,8,8,21.46,171.68
PO0012075,SUP01,DS01,SKU0029,2026-04-13,2026-04-15,2026-04-17,8,8,21.46,171.68
PO0012078,SUP01,DS01,SKU0029,2026-04-27,2026-04-29,2026-05-01,8,7,21.46,171.68
PO0012081,SUP01,DS01,SKU0029,2026-05-18,2026-05-20,2026-05-22,8,8,21.46,171.68
PO0012139,SUP01,DS01,SKU0006,2025-11-10,2025-11-12,2025-11-12,10,10,15.7,157.0
PO0012338,SUP06,DS01,SKU0174,2026-06-15,2026-06-21,2026-06-21,7,7,37.74,264.18
PO0012340,SUP06,DS01,SKU0174,2026-06-22,2026-06-28,2026-06-28,7,7,37.74,264.18
PO0012426,SUP03,DS01,SKU0082,2026-06-24,2026-06-27,2026-06-27,7,7,26.06,182.42
PO0012443,SUP01,DS01,SKU0026,2025-04-02,2025-04-04,2025-04-04,8,8,4.22,33.76
PO0012540,SUP01,DS01,SKU0021,2025-06-30,2025-07-02,2025-07-02,7,7,18.1,126.7
PO0012547,SUP01,DS01,SKU0021,2025-08-04,2025-08-06,2025-08-06,7,7,18.1,126.7
PO0012549,SUP01,DS01,SKU0021,2025-08-11,2025-08-13,2025-08-14,7,7,18.1,126.7
PO0012677,SUP07,DS01,SKU0188,2025-04-30,2025-05-05,2025-05-05,8,6,38.92,311.36
PO0012828,SUP04,DS01,SKU0099,2025-09-15,2025-09-16,2025-09-16,10,10,10.45,104.5
PO0012861,SUP04,DS01,SKU0099,2026-04-27,2026-04-28,2026-04-28,10,10,10.45,104.5
PO0012941,SUP06,DS01,SKU0180,2026-05-25,2026-05-31,2026-06-02,9,9,40.74,366.66
PO0012964,SUP01,DS01,SKU0008,2025-04-28,2025-04-30,2025-04-30,12,12,4.5,54.0
PO0012998,SUP01,DS01,SKU0008,2025-12-22,2025-12-24,2025-12-24,12,12,4.5,54.0
PO0013042,SUP08,DS01,SKU0232,2025-06-09,2025-06-16,2025-06-18,10,10,28.23,282.3
PO0013096,SUP08,DS01,SKU0232,2026-06-29,2026-07-06,2026-07-06,20,20,28.23,564.6
PO0013113,SUP02,DS01,SKU0045,2025-06-04,2025-06-06,2025-06-06,12,12,8.17,98.04
PO0013218,SUP01,DS01,SKU0003,2026-01-05,2026-01-07,2026-01-07,7,7,10.36,72.52
PO0013225,SUP01,DS01,SKU0003,2026-02-18,2026-02-20,2026-02-20,7,7,10.36,72.52
PO0013235,SUP01,DS01,SKU0003,2026-04-20,2026-04-22,2026-04-22,7,5,10.36,72.52
PO0013242,SUP01,DS01,SKU0003,2026-06-01,2026-06-03,2026-06-03,7,7,10.36,72.52
PO0013250,SUP01,DS01,SKU0001,2025-01-20,2025-01-22,2025-01-22,6,6,4.07,24.42
PO0013283,SUP01,DS01,SKU0001,2025-07-14,2025-07-16,2025-07-16,6,6,4.07,24.42
PO0013369,SUP06,DS01,SKU0162,2025-04-28,2025-05-04,2025-05-04,11,11,12.83,141.13
PO0013371,SUP06,DS01,SKU0162,2025-05-14,2025-05-20,2025-05-20,11,11,12.83,141.13
PO0013528,SUP03,DS01,SKU0072,2025-05-19,2025-05-22,2025-05-22,6,6,47.33,283.98
PO0013589,SUP03,DS01,SKU0072,2026-06-03,2026-06-06,2026-06-08,6,6,47.33,283.98
PO0013725,SUP01,DS01,SKU0015,2025-11-24,2025-11-26,2025-11-26,11,11,18.01,198.11
PO0013756,SUP01,DS01,SKU0005,2025-01-01,2025-01-03,2025-01-03,9,9,5.4,48.6
PO0013777,SUP01,DS01,SKU0005,2025-05-26,2025-05-28,2025-05-28,9,9,5.4,48.6
PO0013793,SUP01,DS01,SKU0005,2025-09-15,2025-09-17,2025-09-17,9,9,5.4,48.6
PO0013827,SUP01,DS01,SKU0005,2026-04-22,2026-04-24,2026-04-24,9,9,5.4,48.6
PO0013880,SUP01,DS01,SKU0034,2025-02-17,2025-02-19,2025-02-19,10,10,9.2,92.0
PO0014041,SUP02,DS01,SKU0053,2026-05-18,2026-05-20,2026-05-20,15,15,18.78,281.7
PO0014098,SUP07,DS01,SKU0185,2026-04-22,2026-04-27,2026-04-27,11,11,9.44,103.84
PO0014116,SUP08,DS01,SKU0250,2025-03-17,2025-03-24,2025-03-24,7,7,6.1,42.7
PO0014139,SUP08,DS01,SKU0250,2025-08-04,2025-08-11,2025-08-11,7,7,6.1,42.7
PO0014337,SUP01,DS01,SKU0017,2026-02-18,2026-02-20,2026-02-20,9,9,15.78,142.02
PO0014353,SUP01,DS01,SKU0017,2026-06-17,2026-06-19,2026-06-20,9,9,15.78,142.02
PO0014389,SUP08,DS01,SKU0254,2025-12-31,2026-01-07,2026-01-07,11,11,6.75,74.25
PO0014632,SUP06,DS01,SKU0136,2025-01-08,2025-01-14,2025-01-16,14,14,20.16,282.24
PO0014684,SUP04,DS01,SKU0100,2025-02-24,2025-02-25,2025-02-25,10,10,4.5,45.0
PO0014788,SUP06,DS01,SKU0165,2026-01-05,2026-01-11,2026-01-11,12,12,11.14,133.68
PO0014800,SUP06,DS01,SKU0165,2026-05-06,2026-05-12,2026-05-12,12,12,11.14,133.68
PO0014920,SUP04,DS01,SKU0204,2025-07-28,2025-07-29,2025-07-29,7,7,17.64,123.48
PO0014949,SUP04,DS01,SKU0204,2026-01-19,2026-01-20,2026-01-20,7,7,17.64,123.48
PO0015057,SUP06,DS01,SKU0168,2025-02-19,2025-02-25,2025-02-25,11,11,31.15,342.65
PO0015115,SUP07,DS01,SKU0186,2025-03-10,2025-03-15,2025-03-15,7,7,36.09,252.63
PO0015132,SUP07,DS01,SKU0186,2025-06-30,2025-07-05,2025-07-05,7,7,36.09,252.63
PO0015251,SUP06,DS01,SKU0158,2026-03-04,2026-03-10,2026-03-10,6,6,4.87,29.22
PO0015310,SUP03,DS01,SKU0077,2025-09-08,2025-09-11,2025-09-11,6,6,13.69,82.14
PO0015328,SUP03,DS01,SKU0077,2026-01-12,2026-01-15,2026-01-15,6,6,13.69,82.14
PO0015342,SUP03,DS01,SKU0077,2026-03-23,2026-03-26,2026-03-26,6,6,13.69,82.14
PO0015410,SUP08,DS01,SKU0252,2026-06-01,2026-06-08,2026-06-08,9,9,9.75,87.75
PO0015438,SUP01,DS01,SKU0031,2025-06-16,2025-06-18,2025-06-18,7,7,16.56,115.92
PO0015440,SUP01,DS01,SKU0031,2025-06-30,2025-07-02,2025-07-02,7,7,16.56,115.92
PO0015494,SUP04,DS01,SKU0089,2025-01-08,2025-01-09,2025-01-09,10,10,12.75,127.5
PO0015513,SUP04,DS01,SKU0089,2025-05-19,2025-05-20,2025-05-20,10,10,12.75,127.5
PO0015548,SUP04,DS01,SKU0089,2026-01-12,2026-01-13,2026-01-13,10,10,12.75,127.5
