captain_id,city_id,joined_date,vehicle_class,first_week_trips,status,churn_date
CPT00073,DXB,2025-10-12,Business,23,active,
CPT00074,DXB,2025-12-28,Go,15,active,
CPT00075,AUH,2025-11-23,Business,38,active,
CPT00076,SHJ,2025-10-02,Business,19,active,
CPT00079,SHJ,2026-01-13,Go,15,active,
CPT00080,SHJ,2026-01-23,Go Plus,10,active,
CPT00081,DXB,2025-07-25,Go Plus,17,active,
CPT00082,SHJ,2025-09-25,Go,15,active,
CPT00084,DXB,2026-01-31,Go,14,active,
CPT00087,SHJ,2025-11-26,Business,13,active,
CPT00088,DXB,2025-09-09,Go,29,active,
CPT00089,AUH,2025-09-12,Go,18,churned,2025-09-22
CPT00090,DXB,2025-08-21,Go Plus,41,active,
CPT00095,DXB,2025-12-07,Go,22,active,
CPT00096,DXB,2025-11-12,Go,14,active,
CPT00097,SHJ,2025-08-12,Go,29,active,
CPT00098,AUH,2025-11-19,Go,15,active,
CPT00099,AUH,2026-01-01,Business,12,active,
CPT00100,DXB,2025-12-18,Go Plus,33,active,
CPT00101,SHJ,2025-12-31,Go,7,churned,2026-01-18
CPT00102,DXB,2025-11-30,Business,11,active,
CPT00103,DXB,2025-10-11,Business,37,active,
CPT00104,DXB,2025-08-10,Go Plus,20,active,
CPT00106,AUH,2025-12-07,Go,2,active,
CPT00108,DXB,2025-12-17,Business,29,active,
CPT00109,AUH,2025-10-10,Business,15,active,
CPT00110,DXB,2026-01-13,Max,10,churned,2026-01-20
CPT00111,DXB,2026-02-25,Go Plus,28,active,
CPT00112,DXB,2025-08-17,Max,3,active,
CPT00113,DXB,2025-09-10,Go,36,active,
CPT00114,DXB,2025-11-11,Go,43,active,
CPT00116,SHJ,2026-01-05,Go,28,active,
CPT00117,AUH,2026-03-10,Go Plus,11,active,
CPT00118,AUH,2026-02-20,Go Plus,26,active,
CPT00119,DXB,2025-08-30,Go,44,active,
CPT00122,SHJ,2026-01-20,Max,14,churned,2026-02-06
CPT00123,DXB,2025-11-06,Go Plus,28,active,
CPT00124,SHJ,2025-10-27,Business,11,active,
CPT00126,DXB,2025-10-27,Go,29,active,
CPT00127,SHJ,2025-08-20,Max,11,active,
CPT00128,DXB,2026-03-22,Business,10,churned,2026-04-13
CPT00129,DXB,2025-08-09,Go,19,churned,2025-08-25
CPT00130,DXB,2025-10-10,Go,2,active,
CPT00131,DXB,2025-12-29,Go,31,active,
CPT00132,DXB,2025-09-11,Business,10,churned,2025-10-06
CPT00133,AUH,2026-01-06,Business,48,active,
CPT00135,DXB,2025-10-23,Go Plus,15,active,
CPT00136,SHJ,2026-02-23,Go Plus,29,active,
CPT00137,DXB,2025-11-05,Go,18,active,
CPT00138,DXB,2025-09-02,Go Plus,23,churned,2025-09-26
CPT00139,DXB,2025-09-30,Go,16,active,
CPT00140,SHJ,2026-01-08,Business,48,active,
CPT00141,DXB,2025-08-07,Business,26,active,
CPT00142,AUH,2026-02-08,Go,13,churned,2026-02-15
CPT00143,DXB,2025-11-20,Go,20,churned,2025-12-18
CPT00144,SHJ,2025-11-16,Go Plus,12,active,
CPT00147,AUH,2025-10-25,Go Plus,19,active,
CPT00148,SHJ,2025-09-15,Go,23,active,
CPT00149,DXB,2025-08-28,Go Plus,11,active,
CPT00151,DXB,2025-08-28,Go Plus,42,active,
CPT00152,DXB,2025-07-24,Go,18,churned,2025-08-08
CPT00153,SHJ,2025-11-09,Business,20,active,
CPT00154,DXB,2025-09-15,Go,22,active,
CPT00158,AUH,2025-10-19,Go,4,active,
CPT00159,DXB,2025-10-10,Go,31,active,
CPT00160,DXB,2025-09-28,Go,25,active,
CPT00161,AUH,2025-10-24,Go,8,active,
CPT00163,DXB,2025-08-14,Go Plus,25,active,
CPT00164,AUH,2025-12-22,Go,19,active,
CPT00165,DXB,2025-09-16,Max,5,active,
CPT00167,DXB,2025-08-31,Go Plus,18,churned,2025-09-11
CPT00168,DXB,2025-07-18,Go,35,churned,2025-07-27
CPT00169,SHJ,2025-08-20,Go,22,active,
CPT00171,AUH,2025-08-22,Go,8,active,
CPT00172,DXB,2026-03-22,Go,18,active,
CPT00173,DXB,2025-08-13,Go,26,active,
CPT00174,DXB,2025-08-10,Go Plus,11,churned,2025-08-23
CPT00178,AUH,2026-04-06,Business,15,active,
CPT00179,AUH,2025-12-13,Go,12,active,
CPT00180,DXB,2026-01-10,Go,57,active,
CPT00181,DXB,2025-10-09,Go Plus,24,active,
CPT00182,DXB,2025-10-07,Go Plus,8,active,
CPT00186,SHJ,2025-09-08,Go Plus,19,active,
CPT00187,SHJ,2025-08-03,Go,2,churned,2025-08-24
CPT00188,AUH,2026-03-07,Go,32,active,
CPT00189,AUH,2026-01-29,Go,24,active,
CPT00190,SHJ,2026-01-21,Go,20,active,
CPT00191,DXB,2025-12-01,Go Plus,19,active,
CPT00192,DXB,2025-09-20,Go,5,active,
CPT00193,DXB,2026-03-01,Business,18,active,
CPT00194,DXB,2026-01-03,Go,13,churned,2026-01-24
CPT00195,DXB,2025-09-09,Max,9,active,
CPT00196,SHJ,2025-07-21,Go,44,active,
CPT00197,DXB,2025-11-19,Go,19,active,
CPT00199,DXB,2026-02-07,Go,27,active,
CPT00200,AUH,2025-09-16,Go Plus,15,active,
CPT00201,DXB,2026-01-09,Go,15,churned,2026-02-05
CPT00202,SHJ,2025-10-20,Business,9,active,
CPT00203,DXB,2025-07-24,Go,9,active,
CPT00205,DXB,2025-10-24,Go Plus,15,active,
CPT00206,DXB,2025-09-17,Go Plus,10,active,
CPT00207,AUH,2025-12-03,Business,19,active,
CPT00208,AUH,2026-03-01,Business,44,active,
CPT00209,SHJ,2025-08-28,Go Plus,6,active,
CPT00210,DXB,2025-10-20,Go,13,churned,2025-11-02
CPT00211,AUH,2025-07-22,Business,31,churned,2025-08-14
CPT00214,DXB,2025-08-12,Go,39,churned,2025-08-19
CPT00215,DXB,2025-08-18,Go,12,active,
CPT00216,DXB,2025-11-20,Go,8,active,
CPT00217,DXB,2025-12-02,Go,50,active,
CPT00218,SHJ,2025-08-16,Go Plus,22,active,
CPT00220,DXB,2025-12-29,Go,17,active,
CPT00221,SHJ,2025-11-07,Go Plus,20,active,
CPT00222,DXB,2025-09-15,Go Plus,14,active,
CPT00223,AUH,2025-09-06,Business,21,active,
CPT00225,DXB,2025-08-31,Go,1,active,
CPT00226,DXB,2025-08-04,Go Plus,19,churned,2025-08-28
CPT00227,DXB,2025-11-25,Go,38,active,
CPT00228,SHJ,2025-09-26,Go,13,churned,2025-10-09
CPT00229,DXB,2025-11-12,Go,17,active,
CPT00230,AUH,2026-04-07,Business,7,active,
CPT00232,SHJ,2025-09-15,Go Plus,9,active,
CPT00233,AUH,2025-09-23,Business,32,active,
CPT00238,AUH,2025-09-12,Go Plus,13,active,
CPT00241,SHJ,2026-01-06,Go Plus,31,active,
CPT00242,SHJ,2025-08-12,Go,11,active,
CPT00243,DXB,2025-09-24,Go Plus,11,active,
CPT00244,DXB,2026-03-13,Go,11,active,
CPT00245,DXB,2025-12-10,Go,4,active,
CPT00247,SHJ,2025-12-02,Go Plus,12,active,
CPT00250,SHJ,2026-02-07,Go,20,active,
CPT00251,DXB,2025-07-10,Business,3,churned,2025-07-19
CPT00252,SHJ,2025-10-01,Go Plus,10,active,
CPT00253,SHJ,2025-08-02,Go,20,active,
CPT00254,DXB,2025-11-20,Go,17,active,
CPT00256,DXB,2025-09-12,Business,6,active,
CPT00257,DXB,2025-11-12,Go,27,churned,2025-12-11
CPT00259,DXB,2025-11-06,Go,24,active,
CPT00260,DXB,2026-04-26,Go Plus,27,active,
CPT00262,DXB,2026-02-15,Max,45,active,
CPT00263,AUH,2025-12-07,Go,16,active,
CPT00264,AUH,2026-03-26,Go,5,active,
CPT00265,DXB,2025-11-11,Business,8,active,
CPT00267,DXB,2025-07-25,Go Plus,18,active,
CPT00268,DXB,2025-10-28,Go,33,churned,2025-11-10
CPT00269,DXB,2026-02-02,Go,41,churned,2026-02-18
CPT00271,DXB,2026-01-26,Business,2,churned,2026-02-17
CPT00272,DXB,2025-12-01,Go Plus,31,active,
CPT00273,SHJ,2025-11-19,Go,26,active,
CPT00275,DXB,2025-08-07,Go,27,churned,2025-09-04
CPT00276,DXB,2025-12-06,Go Plus,7,active,
CPT00278,SHJ,2025-07-20,Go,36,active,
CPT00279,DXB,2025-08-24,Go,3,churned,2025-09-07
CPT00280,DXB,2026-02-28,Go,15,active,
CPT00281,SHJ,2026-02-27,Business,8,churned,2026-03-28
CPT00282,SHJ,2026-03-09,Go,10,active,
CPT00283,DXB,2025-10-08,Business,18,active,
CPT00284,SHJ,2025-10-16,Go Plus,80,active,
CPT00285,DXB,2026-02-10,Business,35,active,
CPT00286,DXB,2025-08-15,Go,37,active,
CPT00287,SHJ,2026-01-15,Max,13,active,
CPT00288,DXB,2026-01-25,Go Plus,20,active,
CPT00290,DXB,2025-11-12,Go,73,active,
CPT00292,DXB,2025-10-18,Go,16,churned,2025-11-02
CPT00294,AUH,2025-09-02,Go Plus,14,active,
CPT00295,DXB,2025-10-21,Max,19,churned,2025-11-08
CPT00296,AUH,2026-02-10,Go,58,active,
CPT00297,AUH,2025-07-16,Go,80,active,
CPT00298,SHJ,2025-11-02,Go Plus,8,active,
CPT00299,DXB,2025-08-12,Go,9,active,
CPT00300,DXB,2025-10-11,Go,7,active,
CPT00301,DXB,2026-02-20,Go Plus,15,active,
CPT00302,DXB,2025-10-22,Go,28,active,
CPT00303,DXB,2025-10-12,Go,69,active,
CPT00304,DXB,2025-11-28,Go,13,active,
CPT00305,DXB,2025-08-16,Go,21,active,
CPT00306,SHJ,2025-11-09,Go Plus,33,active,
CPT00307,SHJ,2025-07-10,Go Plus,11,active,
CPT00308,DXB,2025-10-27,Go Plus,23,active,
CPT00309,AUH,2025-12-18,Max,31,active,
CPT00312,DXB,2025-12-16,Max,41,active,
CPT00314,SHJ,2025-10-19,Go Plus,10,active,
CPT00315,SHJ,2026-02-04,Go Plus,27,active,
CPT00316,DXB,2025-11-20,Go Plus,23,active,
CPT00317,DXB,2026-04-06,Go,20,active,
CPT00318,SHJ,2025-10-17,Go,17,active,
CPT00319,DXB,2025-10-09,Go Plus,42,active,
CPT00320,DXB,2025-11-26,Go Plus,35,active,
CPT00321,DXB,2025-10-21,Max,18,active,
CPT00322,DXB,2026-01-04,Go,4,churned,2026-01-26
CPT00325,DXB,2026-02-06,Go Plus,6,active,
CPT00326,DXB,2025-10-26,Go Plus,8,active,
CPT00327,AUH,2025-12-14,Go,3,active,
CPT00328,DXB,2025-07-27,Max,4,churned,2025-08-07
CPT00329,DXB,2025-09-20,Business,32,active,
CPT00330,AUH,2025-08-02,Go,8,active,
CPT00331,DXB,2025-08-23,Go,6,active,
CPT00333,DXB,2026-01-28,Go,12,churned,2026-02-20
CPT00334,SHJ,2026-05-18,Go Plus,27,active,
CPT00335,DXB,2025-11-03,Go,31,active,
CPT00336,SHJ,2026-03-25,Go,16,active,
CPT00337,SHJ,2025-09-27,Go,9,active,
CPT00339,AUH,2025-11-04,Business,45,active,
CPT00340,DXB,2025-10-05,Max,44,active,
CPT00341,DXB,2025-08-20,Go,6,active,
CPT00342,SHJ,2025-12-21,Go,22,active,
CPT00345,SHJ,2026-04-04,Go Plus,18,active,
CPT00347,AUH,2025-07-31,Go,13,active,
CPT00348,DXB,2025-09-02,Go,33,active,
CPT00349,DXB,2026-02-07,Go,46,active,
CPT00351,DXB,2025-10-22,Go Plus,15,churned,2025-11-02
CPT00352,DXB,2025-10-23,Go Plus,7,active,
CPT00353,DXB,2026-03-12,Go,59,churned,2026-04-02
CPT00354,DXB,2025-09-24,Go,46,active,
CPT00355,SHJ,2026-02-18,Go,25,active,
CPT00356,SHJ,2025-10-07,Go Plus,30,active,
CPT00357,DXB,2025-10-12,Go,16,churned,2025-11-05
CPT00358,DXB,2025-11-20,Business,23,active,
CPT00359,DXB,2026-01-25,Go,7,churned,2026-02-23
CPT00360,DXB,2025-08-17,Business,21,active,
CPT00361,DXB,2025-10-06,Go,24,active,
CPT00362,DXB,2025-08-24,Go Plus,6,active,
CPT00363,AUH,2025-10-08,Go Plus,20,active,
CPT00364,SHJ,2026-01-03,Go,26,active,
CPT00365,AUH,2025-07-31,Go Plus,4,active,
CPT00366,DXB,2025-11-12,Go,5,churned,2025-12-12
CPT00368,DXB,2025-12-07,Go Plus,29,active,
CPT00369,DXB,2026-01-08,Business,23,churned,2026-01-24
CPT00370,AUH,2026-01-06,Go Plus,15,churned,2026-01-14
CPT00371,AUH,2025-11-23,Business,37,active,
CPT00373,AUH,2026-01-23,Go,17,active,
CPT00375,AUH,2025-11-18,Go,16,active,
CPT00376,DXB,2025-09-23,Go,16,active,
CPT00377,AUH,2025-11-10,Go,52,active,
CPT00378,DXB,2025-10-25,Go,7,active,
CPT00379,SHJ,2025-07-22,Go,11,active,
CPT00380,DXB,2025-08-07,Go Plus,12,active,
CPT00381,SHJ,2025-08-15,Go,16,active,
CPT00382,AUH,2025-08-29,Go,12,active,
CPT00383,SHJ,2025-12-27,Go,54,active,
CPT00384,DXB,2026-01-26,Business,8,active,
CPT00385,SHJ,2026-02-15,Go Plus,21,active,
CPT00386,DXB,2025-11-13,Go,23,active,
CPT00387,DXB,2025-10-22,Go,1,active,
CPT00388,SHJ,2025-11-09,Max,21,active,
CPT00390,AUH,2026-01-16,Business,12,active,
CPT00393,SHJ,2025-10-27,Go,24,active,
CPT00395,AUH,2026-01-06,Go,4,churned,2026-01-23
CPT00396,DXB,2026-01-16,Go,7,churned,2026-01-24
CPT00397,DXB,2025-10-27,Go Plus,17,churned,2025-11-09
CPT00398,DXB,2025-07-31,Go,22,active,
CPT00399,AUH,2025-07-23,Go,30,active,
CPT00400,DXB,2025-09-29,Business,17,active,
CPT00401,DXB,2025-12-01,Go Plus,11,active,
CPT00404,DXB,2025-08-19,Business,39,active,
CPT00405,AUH,2026-01-16,Business,8,active,
CPT00408,SHJ,2025-07-17,Business,19,active,
CPT00409,DXB,2025-07-24,Go Plus,18,active,
CPT00410,DXB,2025-11-13,Go,28,active,
CPT00411,AUH,2025-10-10,Go,4,active,
CPT00412,DXB,2025-11-28,Go,23,active,
CPT00413,AUH,2025-10-09,Go,9,active,
CPT00415,AUH,2025-08-14,Go,36,active,
CPT00416,DXB,2026-02-22,Go,18,active,
CPT00417,AUH,2025-10-30,Go Plus,17,active,
CPT00419,DXB,2026-01-08,Go Plus,30,active,
CPT00420,AUH,2026-03-24,Go Plus,2,churned,2026-04-10
CPT00421,AUH,2025-12-03,Go Plus,13,active,
CPT00422,DXB,2025-09-30,Go Plus,2,active,
CPT00423,SHJ,2025-12-10,Go,6,churned,2025-12-21
CPT00424,SHJ,2025-09-24,Go Plus,9,active,
CPT00426,DXB,2026-03-04,Go,11,active,
CPT00427,DXB,2025-12-24,Go Plus,32,active,
CPT00428,DXB,2025-09-17,Business,28,active,
CPT00429,DXB,2026-01-28,Go Plus,18,churned,2026-02-18
CPT00430,AUH,2025-10-26,Business,28,active,
CPT00431,AUH,2025-09-21,Go,4,active,
CPT00432,DXB,2026-02-15,Go Plus,27,active,
CPT00433,DXB,2025-09-12,Go,38,active,
CPT00434,DXB,2026-02-02,Business,21,active,
CPT00436,SHJ,2025-08-26,Go,3,active,
CPT00437,DXB,2025-08-26,Business,18,active,
CPT00439,SHJ,2026-02-03,Max,12,active,
CPT00440,DXB,2026-03-06,Go Plus,16,active,
CPT00441,DXB,2025-11-04,Go,5,churned,2025-11-21
CPT00442,DXB,2026-01-10,Go,2,active,
CPT00443,SHJ,2025-09-20,Go Plus,42,active,
CPT00445,DXB,2025-11-26,Go,23,churned,2025-12-21
CPT00446,AUH,2025-09-11,Go Plus,13,active,
CPT00447,DXB,2026-01-07,Go Plus,6,active,
CPT00448,DXB,2026-01-25,Go Plus,19,active,
CPT00449,AUH,2025-08-26,Go,19,churned,2025-09-19
CPT00450,DXB,2025-08-10,Go Plus,29,active,
CPT00451,AUH,2026-01-05,Go Plus,52,active,
CPT00452,DXB,2026-03-04,Go,11,active,
CPT00453,AUH,2025-09-08,Go,10,active,
CPT00454,DXB,2025-11-03,Business,12,active,
CPT00455,DXB,2025-08-27,Go,0,active,
CPT00456,DXB,2025-10-14,Go,20,active,
CPT00457,DXB,2025-12-11,Go,31,active,
CPT00458,DXB,2025-11-11,Business,16,active,
CPT00459,SHJ,2026-01-18,Go Plus,19,churned,2026-02-13
CPT00460,DXB,2025-12-23,Max,16,active,
CPT00463,SHJ,2026-02-11,Max,15,active,
CPT00464,DXB,2026-02-22,Go,19,active,
CPT00465,DXB,2025-07-31,Go,19,active,
CPT00466,AUH,2025-08-30,Go Plus,41,active,
CPT00467,DXB,2025-09-27,Go Plus,7,active,
CPT00468,SHJ,2025-08-24,Go Plus,4,churned,2025-09-03
CPT00469,SHJ,2026-03-26,Go,30,active,
CPT00471,AUH,2026-03-09,Business,26,active,
CPT00472,DXB,2025-11-03,Go,37,active,
CPT00473,AUH,2025-09-07,Go Plus,12,active,
CPT00474,SHJ,2026-01-28,Go,7,churned,2026-02-26
CPT00475,DXB,2025-08-26,Go Plus,14,churned,2025-09-02
CPT00477,DXB,2026-01-17,Go,23,churned,2026-01-27
CPT00478,AUH,2026-01-16,Go Plus,24,active,
CPT00479,DXB,2025-10-12,Go Plus,11,churned,2025-11-01
CPT00480,SHJ,2025-09-25,Go Plus,20,active,
CPT00484,DXB,2025-10-17,Go,23,active,
CPT00485,DXB,2025-11-10,Business,18,active,
CPT00486,AUH,2025-08-17,Go,2,active,
CPT00488,AUH,2026-02-26,Go,18,active,
CPT00489,AUH,2025-12-07,Go,21,churned,2026-01-02
CPT00490,DXB,2026-02-12,Go Plus,12,active,
CPT00491,AUH,2025-10-27,Go,35,active,
CPT00493,SHJ,2025-08-02,Go Plus,38,active,
CPT00494,DXB,2025-07-29,Go Plus,29,active,
CPT00498,DXB,2025-09-25,Go Plus,24,active,
CPT00499,SHJ,2025-08-13,Go,49,active,
CPT00501,DXB,2026-01-16,Go,13,active,
CPT00502,SHJ,2026-01-09,Go,29,active,
CPT00503,SHJ,2025-09-07,Business,33,active,
CPT00504,DXB,2025-11-13,Go,10,active,
CPT00505,DXB,2025-07-15,Go,19,active,
CPT00506,AUH,2025-07-21,Go,27,active,
CPT00507,DXB,2025-09-11,Max,25,active,
CPT00508,AUH,2026-04-06,Go,14,churned,2026-04-25
CPT00509,AUH,2026-02-06,Go Plus,10,churned,2026-02-17
CPT00510,SHJ,2026-01-27,Go,24,active,
CPT00511,AUH,2025-12-02,Go,6,active,
CPT00512,DXB,2025-12-03,Go,24,active,
CPT00513,DXB,2026-01-12,Go Plus,11,active,
CPT00514,SHJ,2025-09-24,Go,14,churned,2025-10-19
CPT00515,DXB,2025-11-28,Go Plus,18,active,
CPT00516,DXB,2025-10-08,Business,20,active,
CPT00517,SHJ,2025-11-19,Go,5,active,
CPT00518,SHJ,2025-10-14,Go Plus,18,active,
CPT00519,DXB,2026-01-21,Go,20,active,
CPT00520,DXB,2025-11-03,Go,48,active,
CPT00522,SHJ,2025-10-23,Go Plus,16,active,
CPT00523,DXB,2026-02-21,Go Plus,18,active,
CPT00524,SHJ,2025-10-16,Business,11,churned,2025-11-09
CPT00525,AUH,2025-12-24,Go Plus,21,active,
CPT00526,DXB,2025-10-16,Go,44,active,
CPT00527,DXB,2025-10-07,Go Plus,7,active,
CPT00528,DXB,2025-10-05,Go,38,active,
CPT00529,DXB,2025-10-29,Go Plus,26,active,
CPT00531,DXB,2026-02-20,Go Plus,10,churned,2026-03-08
CPT00532,DXB,2026-02-14,Go,19,active,
CPT00533,SHJ,2025-08-24,Go Plus,24,active,
CPT00534,SHJ,2025-08-25,Go,7,active,
CPT00535,DXB,2026-02-26,Go,10,churned,2026-03-16
CPT00537,AUH,2026-02-26,Go Plus,19,active,
CPT00539,DXB,2025-10-11,Go,30,active,
CPT00540,DXB,2025-09-11,Business,17,active,
CPT00541,SHJ,2025-10-17,Go,6,active,
CPT00542,DXB,2025-12-26,Go Plus,41,active,
CPT00544,DXB,2025-11-02,Go Plus,27,active,
CPT00545,SHJ,2025-07-22,Go,7,active,
CPT00547,AUH,2026-02-11,Go Plus,10,active,
CPT00548,DXB,2025-11-14,Go,7,active,
CPT00549,AUH,2025-11-10,Go,11,active,
CPT00550,AUH,2025-12-28,Go,31,active,
CPT00551,AUH,2026-02-11,Go,6,active,
CPT00552,DXB,2026-03-07,Go,1,churned,2026-03-23
CPT00554,AUH,2025-11-09,Go Plus,23,active,
CPT00557,AUH,2025-09-18,Go Plus,14,active,
CPT00558,SHJ,2025-08-16,Go,13,active,
CPT00559,DXB,2025-12-27,Max,56,active,
CPT00562,DXB,2025-11-04,Go,15,churned,2025-11-27
CPT00563,DXB,2025-12-08,Max,59,churned,2026-01-06
CPT00564,AUH,2025-09-08,Go,23,active,
CPT00565,AUH,2025-10-12,Business,30,active,
CPT00566,DXB,2025-12-29,Go,28,active,
CPT00569,DXB,2025-10-27,Go Plus,5,active,
CPT00570,DXB,2025-10-02,Go Plus,32,active,
CPT00571,AUH,2025-09-10,Go,25,active,
CPT00572,DXB,2026-01-23,Go Plus,26,active,
CPT00573,AUH,2025-11-24,Go Plus,5,active,
CPT00574,DXB,2025-11-10,Go,3,active,
CPT00575,DXB,2025-10-07,Business,13,active,
CPT00577,DXB,2025-08-19,Go,15,active,
CPT00578,DXB,2025-08-22,Go,20,active,
CPT00579,DXB,2025-11-03,Go Plus,28,churned,2025-11-12
CPT00580,DXB,2025-09-10,Go,9,active,
CPT00581,DXB,2025-10-20,Go,7,active,
CPT00582,SHJ,2025-09-18,Business,8,active,
CPT00583,SHJ,2025-10-25,Go,46,active,
CPT00584,AUH,2025-09-29,Go Plus,21,active,
CPT00585,DXB,2025-08-12,Business,5,active,
CPT00586,DXB,2025-07-21,Go,43,active,
CPT00587,SHJ,2025-10-14,Go,16,active,
CPT00588,AUH,2025-10-26,Go,10,active,
CPT00589,AUH,2025-10-18,Go,7,active,
CPT00590,DXB,2026-02-12,Go,10,active,
CPT00591,DXB,2025-08-01,Go Plus,15,churned,2025-08-11
CPT00593,DXB,2025-10-01,Go Plus,42,churned,2025-10-09
CPT00594,SHJ,2025-09-01,Go,11,active,
CPT00595,DXB,2025-11-29,Go,19,churned,2025-12-15
CPT00596,SHJ,2025-12-27,Go Plus,23,active,
CPT00597,DXB,2026-03-09,Go Plus,8,active,
CPT00598,DXB,2025-08-05,Go,16,churned,2025-08-19
CPT00599,DXB,2025-11-14,Go,19,active,
CPT00600,DXB,2025-09-24,Business,2,active,
CPT00601,DXB,2025-09-24,Max,14,active,
CPT00602,AUH,2026-01-08,Go Plus,18,active,
CPT00603,DXB,2025-11-16,Go Plus,10,active,
CPT00604,AUH,2025-11-30,Go,20,active,
CPT00605,DXB,2025-11-11,Go,16,active,
CPT00607,SHJ,2025-09-10,Go,18,churned,2025-09-23
CPT00610,DXB,2025-09-03,Business,6,churned,2025-09-27
CPT00611,DXB,2025-08-29,Go,24,active,
CPT00612,DXB,2025-11-26,Business,4,active,
CPT00613,SHJ,2025-07-27,Go Plus,27,active,
CPT00616,SHJ,2026-02-22,Go,19,churned,2026-03-08
CPT00617,DXB,2026-01-02,Go,8,active,
CPT00618,SHJ,2026-02-07,Go Plus,14,active,
CPT00619,SHJ,2025-10-31,Max,17,active,
CPT00620,DXB,2025-10-17,Go,6,active,
CPT00621,SHJ,2025-11-01,Go,17,active,
CPT00622,DXB,2025-12-07,Go,53,active,
CPT00624,DXB,2025-12-24,Go,23,active,
CPT00627,DXB,2025-07-14,Go,13,churned,2025-08-08
CPT00630,DXB,2025-11-29,Go,17,active,
CPT00631,DXB,2026-02-07,Go Plus,16,active,
CPT00632,DXB,2025-09-25,Go,33,active,
CPT00634,AUH,2025-08-22,Business,18,active,
CPT00636,SHJ,2025-08-21,Go Plus,10,churned,2025-09-12
CPT00638,SHJ,2025-09-29,Go Plus,9,active,
CPT00639,DXB,2025-08-29,Go Plus,10,active,
CPT00640,SHJ,2026-02-14,Go,16,active,
CPT00641,AUH,2026-01-27,Business,31,active,
CPT00642,DXB,2025-08-29,Go,2,churned,2025-09-27
CPT00643,AUH,2026-03-03,Go,18,active,
CPT00644,SHJ,2025-09-09,Go,28,active,
CPT00645,SHJ,2026-03-01,Go,38,active,
CPT00649,DXB,2025-07-27,Business,9,active,
CPT00650,DXB,2025-08-15,Go,14,active,
CPT00651,DXB,2025-09-30,Business,6,active,
CPT00652,DXB,2025-08-27,Go Plus,21,active,
CPT00653,DXB,2025-08-07,Go,27,active,
CPT00654,AUH,2025-09-03,Go Plus,4,active,
CPT00656,SHJ,2025-11-05,Go Plus,16,active,
CPT00657,DXB,2025-11-23,Go,51,active,
CPT00658,DXB,2025-07-10,Go,18,active,
CPT00659,AUH,2025-08-06,Business,6,active,
