datetime,zone_id,requests,completed,unfulfilled,active_captains,avg_eta_promised_min,avg_eta_actual_min,avg_surge
2025-11-24 21:00:00,Z01,3,3,0,1,7.7,7.0,1.0
2025-12-02 00:00:00,Z01,3,3,0,1,7.2,7.2,1.01
2025-12-04 11:00:00,Z01,1,1,0,1,7.6,6.4,1.01
2025-12-04 17:00:00,Z01,7,7,0,2,7.5,8.1,1.0
2025-12-04 23:00:00,Z01,6,6,0,2,7.9,8.5,0.99
2025-12-05 07:00:00,Z01,20,10,10,4,7.4,10.3,1.74
2025-12-05 22:00:00,Z01,6,5,1,2,7.5,8.5,1.14
2025-12-08 20:00:00,Z01,3,3,0,1,7.2,7.1,1.02
2025-12-11 00:00:00,Z01,2,1,1,1,8.1,10.9,1.71
2025-12-11 12:00:00,Z01,3,2,1,1,7.2,10.5,1.35
2025-12-12 07:00:00,Z01,8,4,4,1,7.9,11.5,1.68
2025-12-13 10:00:00,Z01,11,11,0,4,7.6,8.3,0.99
2025-12-20 21:00:00,Z01,12,11,1,4,7.4,7.7,1.04
2025-12-24 02:00:00,Z01,1,1,0,1,7.7,7.4,1.02
2026-01-01 17:00:00,Z01,5,5,0,2,7.6,8.1,1.0
2026-01-02 20:00:00,Z01,19,19,0,7,7.5,7.0,1.01
2026-01-07 08:00:00,Z01,9,4,5,1,7.0,10.8,1.85
2026-01-09 06:00:00,Z01,11,6,5,2,7.7,10.5,1.67
2026-01-11 02:00:00,Z01,3,3,0,1,8.0,7.2,1.0
2026-01-13 11:00:00,Z01,5,5,0,2,7.4,7.8,1.04
2026-01-13 16:00:00,Z01,3,3,0,1,7.5,7.5,1.03
2026-01-14 19:00:00,Z01,7,7,0,2,7.6,7.6,1.0
2026-01-19 06:00:00,Z01,5,2,3,1,7.6,13.5,2.14
2026-01-20 18:00:00,Z01,6,5,1,2,7.8,7.8,1.15
2026-01-24 03:00:00,Z01,4,3,1,1,7.4,9.6,1.26
2026-01-24 08:00:00,Z01,9,5,4,2,7.7,11.0,1.58
2026-01-26 03:00:00,Z01,2,1,1,1,7.5,10.5,1.7
2026-01-27 08:00:00,Z01,15,8,7,3,7.4,9.6,1.7
2026-02-03 09:00:00,Z01,6,5,1,2,7.4,8.1,1.11
2026-02-05 14:00:00,Z01,7,6,1,2,7.5,6.8,1.09
2026-02-07 13:00:00,Z01,4,4,0,1,7.7,7.2,0.99
2026-02-09 04:00:00,Z01,1,1,0,1,7.1,7.6,0.99
2026-02-11 05:00:00,Z01,5,4,1,1,7.1,9.2,1.15
2026-02-15 08:00:00,Z01,14,7,7,2,8.0,9.5,1.7
2026-02-15 12:00:00,Z01,6,5,1,2,7.9,9.2,1.14
2026-02-16 12:00:00,Z01,8,7,1,2,7.8,8.0,1.09
2026-02-17 04:00:00,Z01,1,1,0,1,7.8,6.8,0.98
2026-02-20 21:00:00,Z01,13,13,0,6,7.3,6.9,1.01
2026-02-22 06:00:00,Z01,13,6,7,2,7.1,12.0,1.84
2026-02-23 22:00:00,Z01,5,4,1,1,7.4,9.1,1.19
2026-02-24 01:00:00,Z01,5,4,1,1,7.6,8.7,1.19
2026-02-26 14:00:00,Z01,4,4,0,1,7.3,7.7,1.02
2026-02-27 05:00:00,Z01,9,7,2,2,7.5,9.0,1.19
2026-03-03 20:00:00,Z01,8,6,2,2,7.7,8.1,1.27
2026-03-05 01:00:00,Z01,5,5,0,2,7.4,7.2,0.99
2026-03-06 06:00:00,Z01,13,6,7,2,7.4,11.5,1.85
2026-03-07 04:00:00,Z01,3,3,0,1,7.6,7.6,1.03
2026-03-09 11:00:00,Z01,2,2,0,1,7.3,6.5,0.98
2026-03-12 08:00:00,Z01,8,4,4,1,7.1,10.9,1.68
2026-03-21 04:00:00,Z01,4,4,0,1,7.8,6.8,0.99
2026-03-26 16:00:00,Z01,3,2,1,1,7.6,8.5,1.38
2026-03-27 02:00:00,Z01,3,3,0,1,7.3,8.5,1.01
2026-03-28 12:00:00,Z01,9,8,1,3,8.0,7.6,1.13
2026-04-01 13:00:00,Z01,5,5,0,2,7.4,7.9,0.95
2026-04-03 10:00:00,Z01,6,6,0,2,7.4,7.8,0.98
2026-04-05 10:00:00,Z01,8,8,0,3,7.7,8.3,1.01
2026-04-09 06:00:00,Z01,10,5,5,2,7.7,12.1,1.71
2026-04-12 15:00:00,Z01,8,8,0,3,7.1,6.4,0.97
2026-04-13 06:00:00,Z01,9,4,5,1,7.2,11.6,1.97
2026-04-14 13:00:00,Z01,4,3,1,1,7.2,7.8,1.23
2026-04-19 13:00:00,Z01,5,5,0,2,7.8,8.2,1.01
2026-04-23 17:00:00,Z01,9,7,2,2,7.6,9.6,1.24
2026-04-26 20:00:00,Z01,12,11,1,4,7.6,7.1,1.11
2026-04-29 00:00:00,Z01,7,7,0,2,7.3,7.8,1.04
2026-05-04 00:00:00,Z01,6,6,0,2,7.5,7.5,0.98
2026-05-14 21:00:00,Z01,8,6,2,2,7.2,7.5,1.2
2026-05-15 04:00:00,Z01,6,5,1,2,7.5,8.5,1.18
2026-05-15 23:00:00,Z01,11,11,0,4,7.4,7.3,1.02
2026-05-16 00:00:00,Z01,4,4,0,1,7.4,7.8,0.99
2026-05-16 21:00:00,Z01,14,14,0,6,7.7,7.8,1.01
2026-05-26 03:00:00,Z01,2,2,0,1,7.8,7.1,0.97
2026-06-02 01:00:00,Z01,2,1,1,1,7.3,10.6,1.69
2026-06-02 10:00:00,Z01,7,6,1,2,7.3,9.0,1.12
2026-06-05 16:00:00,Z01,15,15,0,6,7.2,7.0,1.01
2026-06-06 18:00:00,Z01,7,6,1,2,7.3,8.5,1.07
2026-06-08 10:00:00,Z01,11,10,1,4,7.7,6.7,1.1
2026-06-11 07:00:00,Z01,12,7,5,2,7.2,10.8,1.53
2026-06-18 02:00:00,Z01,0,0,0,1,8.0,5.4,0.96
2026-06-21 04:00:00,Z01,2,2,0,1,7.6,8.0,0.99
2026-06-21 18:00:00,Z01,11,11,0,4,7.7,7.7,0.99
2026-06-26 01:00:00,Z01,4,4,0,1,7.0,7.6,0.98
2026-06-28 13:00:00,Z01,9,8,1,3,7.9,7.9,1.09
2026-06-30 06:00:00,Z01,12,7,5,2,7.9,10.1,1.52
2025-07-01 05:00:00,Z02,1,1,0,1,6.2,6.3,1.02
2025-07-02 04:00:00,Z02,1,1,0,1,6.4,5.9,1.0
2025-07-07 20:00:00,Z02,2,1,1,1,6.2,9.8,1.76
2025-07-11 18:00:00,Z02,6,5,1,2,6.1,6.9,1.14
2025-07-12 01:00:00,Z02,0,0,0,1,6.1,5.0,0.99
2025-07-17 08:00:00,Z02,8,7,1,2,6.3,7.9,1.16
2025-07-29 07:00:00,Z02,2,2,0,1,6.3,6.6,0.97
2025-08-04 01:00:00,Z02,1,1,0,1,6.4,7.2,1.03
2025-08-05 08:00:00,Z02,7,6,1,2,6.3,6.3,1.11
2025-08-10 04:00:00,Z02,1,1,0,1,6.1,6.1,0.98
2025-08-10 23:00:00,Z02,4,3,1,1,6.0,8.1,1.24
2025-08-12 10:00:00,Z02,1,1,0,1,6.3,6.5,1.0
2025-08-16 02:00:00,Z02,1,1,0,1,6.3,5.7,0.99
2025-08-17 09:00:00,Z02,4,4,0,1,6.6,5.3,1.03
2025-08-19 18:00:00,Z02,14,14,0,6,5.7,6.3,1.01
2025-08-21 04:00:00,Z02,0,0,0,1,6.2,5.8,1.01
2025-08-23 04:00:00,Z02,0,0,0,1,6.3,4.9,0.99
2025-08-24 01:00:00,Z02,0,0,0,1,5.8,5.2,0.98
2025-08-30 21:00:00,Z02,2,1,1,1,6.6,8.4,1.71
2025-09-03 06:00:00,Z02,5,4,1,1,6.1,7.3,1.17
2025-09-09 10:00:00,Z02,5,4,1,-2,6.2,7.4,1.19
2025-09-10 09:00:00,Z02,4,4,0,1,6.0,5.3,0.98
2025-09-14 20:00:00,Z02,4,4,0,1,6.1,6.6,0.99
2025-09-17 06:00:00,Z02,2,1,1,1,6.0,10.0,1.75
2025-09-17 23:00:00,Z02,2,2,0,1,6.3,6.8,0.99
2025-09-18 19:00:00,Z02,6,6,0,2,6.6,6.3,1.04
2025-09-21 18:00:00,Z02,3,3,0,1,6.0,5.7,1.02
2025-09-22 07:00:00,Z02,10,10,0,4,6.3,5.7,0.99
2025-09-22 08:00:00,Z02,6,6,0,2,5.9,5.8,0.99
2025-09-22 15:00:00,Z02,4,3,1,1,6.0,7.4,1.21
2025-09-23 12:00:00,Z02,5,4,1,1,5.8,6.6,1.2
2025-09-29 07:00:00,Z02,6,6,0,2,6.4,6.2,1.0
2025-09-30 16:00:00,Z02,5,5,0,2,6.3,5.9,1.04
2025-10-01 19:00:00,Z02,7,7,0,2,6.2,6.7,1.01
2025-10-02 19:00:00,Z02,2,1,1,1,6.1,8.5,1.73
2025-10-04 04:00:00,Z02,1,1,0,1,6.3,5.9,1.01
2025-10-04 18:00:00,Z02,6,6,0,2,6.3,6.2,0.99
2025-10-05 05:00:00,Z02,0,0,0,1,6.1,5.8,1.02
2025-10-06 13:00:00,Z02,4,3,1,1,6.3,8.1,1.25
2025-10-07 13:00:00,Z02,2,1,1,1,6.1,8.5,1.76
2025-10-07 15:00:00,Z02,1,1,0,1,6.6,6.0,1.0
2025-10-09 10:00:00,Z02,2,1,1,1,6.2,10.1,1.77
2025-10-09 18:00:00,Z02,6,5,1,2,6.5,6.0,1.13
2025-10-12 07:00:00,Z02,8,7,1,2,6.1,6.0,1.14
2025-10-19 11:00:00,Z02,5,4,1,1,6.3,7.8,1.21
2025-10-26 00:00:00,Z02,0,0,0,1,6.2,5.6,1.01
2025-11-05 01:00:00,Z02,0,0,0,1,6.1,4.7,0.99
2025-11-09 05:00:00,Z02,1,1,0,1,6.2,6.1,0.99
2025-11-09 20:00:00,Z02,4,4,0,1,6.1,6.0,1.04
2025-11-11 05:00:00,Z02,1,1,0,1,6.2,5.5,1.0
2025-11-12 04:00:00,Z02,0,0,0,1,6.1,4.8,0.98
2025-11-12 13:00:00,Z02,5,5,0,2,5.9,5.5,0.98
2025-11-12 15:00:00,Z02,2,1,1,1,6.1,9.1,1.73
2025-11-13 08:00:00,Z02,7,7,0,2,6.4,7.0,0.98
2025-11-13 15:00:00,Z02,4,4,0,1,6.2,5.8,1.01
2025-11-23 10:00:00,Z02,3,3,0,1,6.1,5.8,1.0
2025-11-26 15:00:00,Z02,1,1,0,1,6.0,5.7,1.01
2025-11-27 01:00:00,Z02,0,0,0,1,6.3,4.9,1.02
2025-11-27 03:00:00,Z02,0,0,0,1,6.2,6.0,1.0
2025-11-29 08:00:00,Z02,9,9,0,3,6.1,6.0,1.01
2025-12-02 15:00:00,Z02,4,4,0,1,6.4,5.7,1.0
2025-12-03 07:00:00,Z02,6,6,0,2,6.2,6.9,1.02
2025-12-05 11:00:00,Z02,6,6,0,2,6.0,5.9,1.0
2025-12-05 12:00:00,Z02,8,8,0,3,6.2,6.2,0.99
2025-12-05 18:00:00,Z02,11,11,0,4,6.4,6.3,0.97
2025-12-11 13:00:00,Z02,4,4,0,1,6.4,6.1,1.02
2025-12-13 01:00:00,Z02,0,0,0,1,5.9,4.8,0.99
2025-12-15 05:00:00,Z02,0,0,0,1,5.8,4.2,1.02
2025-12-15 21:00:00,Z02,2,2,0,1,6.2,6.0,1.0
2025-12-17 10:00:00,Z02,2,2,0,1,6.0,6.0,1.02
2025-12-18 01:00:00,Z02,1,1,0,1,6.2,6.6,1.02
2025-12-25 04:00:00,Z02,1,1,0,1,6.3,5.4,1.01
2025-12-27 20:00:00,Z02,3,3,0,1,6.1,7.0,0.98
2025-12-28 06:00:00,Z02,6,6,0,2,6.5,6.4,0.98
2025-12-29 23:00:00,Z02,0,0,0,1,6.3,5.9,0.99
2025-12-31 13:00:00,Z02,3,3,0,1,6.4,6.0,1.02
2026-01-01 00:00:00,Z02,1,1,0,1,6.1,6.1,1.01
2026-01-03 20:00:00,Z02,8,7,1,2,6.4,7.2,1.11
2026-01-05 10:00:00,Z02,1,1,0,1,6.6,5.8,1.01
2026-01-08 20:00:00,Z02,4,3,1,1,6.4,7.7,1.21
2026-01-09 12:00:00,Z02,4,3,1,1,6.1,7.4,1.25
2026-01-11 02:00:00,Z02,0,0,0,1,6.1,5.7,1.03
2026-01-12 11:00:00,Z02,0,0,0,1,6.1,5.6,1.02
2026-01-18 04:00:00,Z02,0,0,0,1,6.3,5.3,1.0
2026-01-19 06:00:00,Z02,6,6,0,2,6.0,7.2,1.01
2026-01-19 09:00:00,Z02,6,5,1,2,6.3,6.9,1.11
2026-01-19 17:00:00,Z02,16,13,3,5,6.3,6.6,1.09
2026-01-25 02:00:00,Z02,2,1,1,1,6.0,8.5,1.7
2026-01-26 08:00:00,Z02,13,12,1,5,6.4,6.4,1.09
2026-01-27 00:00:00,Z02,0,0,0,1,6.2,5.5,0.98
2026-01-27 16:00:00,Z02,1,1,0,1,5.8,5.2,1.02
2026-01-28 22:00:00,Z02,2,2,0,1,6.3,6.5,0.99
2026-02-02 01:00:00,Z02,0,0,0,1,6.3,5.6,1.0
2026-02-06 06:00:00,Z02,8,8,0,3,6.3,5.9,1.02
2026-02-08 02:00:00,Z02,1,1,0,1,6.1,5.8,1.01
2026-02-11 08:00:00,Z02,9,9,0,4,6.3,6.1,0.98
2026-02-13 00:00:00,Z02,5,4,1,1,6.3,6.5,1.15
2026-02-23 02:00:00,Z02,0,0,0,1,6.1,5.6,1.01
2026-02-23 12:00:00,Z02,7,7,0,2,6.2,6.1,0.98
2026-03-11 14:00:00,Z02,5,5,0,2,6.1,6.0,0.98
2026-03-12 03:00:00,Z02,0,0,0,1,6.0,5.7,1.01
2026-03-15 19:00:00,Z02,6,6,0,2,6.1,5.0,1.03
2026-03-16 17:00:00,Z02,9,8,1,3,6.2,5.6,1.08
2026-03-17 00:00:00,Z02,0,0,0,1,6.2,6.0,0.96
2026-03-17 13:00:00,Z02,4,4,0,1,6.4,5.5,1.0
2026-03-17 18:00:00,Z02,8,8,0,3,6.3,6.7,0.97
2026-03-20 00:00:00,Z02,1,1,0,1,6.2,5.2,1.0
2026-03-21 03:00:00,Z02,1,1,0,1,6.0,5.9,1.01
2026-03-21 23:00:00,Z02,4,4,0,1,6.3,6.9,0.99
2026-03-22 02:00:00,Z02,1,1,0,1,6.2,5.9,0.99
2026-03-27 17:00:00,Z02,12,12,0,5,6.2,6.3,1.0
2026-04-01 05:00:00,Z02,3,3,0,1,6.6,6.8,1.0
2026-04-01 11:00:00,Z02,3,3,0,1,6.0,5.8,0.97
2026-04-03 10:00:00,Z02,4,3,1,1,6.4,7.5,1.24
2026-04-05 20:00:00,Z02,2,1,1,1,6.0,9.6,1.74
2026-04-12 10:00:00,Z02,3,3,0,1,6.0,5.8,0.99
2026-04-12 15:00:00,Z02,9,9,0,3,6.1,6.3,1.01
2026-04-16 09:00:00,Z02,10,10,0,4,6.4,5.5,1.01
2026-04-18 08:00:00,Z02,10,9,1,3,6.2,6.9,1.09
2026-04-19 03:00:00,Z02,0,0,0,1,6.4,5.5,0.99
2026-04-24 17:00:00,Z02,13,13,0,5,6.2,5.8,1.0
2026-04-25 01:00:00,Z02,1,1,0,1,6.1,6.1,1.0
2026-04-28 03:00:00,Z02,0,0,0,1,6.2,4.9,1.02
2026-05-07 20:00:00,Z02,4,4,0,1,6.3,5.4,0.99
2026-05-08 07:00:00,Z02,13,11,2,4,5.9,7.5,1.11
2026-05-11 09:00:00,Z02,10,10,0,4,6.1,6.2,0.96
2026-05-15 05:00:00,Z02,1,1,0,1,6.2,5.9,0.99
2026-05-16 13:00:00,Z02,5,5,0,2,6.1,6.4,1.0
2026-05-17 03:00:00,Z02,2,2,0,1,5.8,6.9,1.0
2026-05-31 10:00:00,Z02,5,5,0,2,6.0,5.9,1.01
2026-05-31 23:00:00,Z02,0,0,0,1,6.3,5.7,1.0
2026-06-05 02:00:00,Z02,1,1,0,1,6.4,6.6,1.0
2026-06-07 13:00:00,Z02,3,3,0,1,6.2,6.1,1.02
2026-06-22 18:00:00,Z02,14,13,1,5,5.9,6.8,1.03
2026-06-23 23:00:00,Z02,4,4,0,1,6.5,6.4,1.04
2026-06-26 02:00:00,Z02,2,1,1,1,6.5,8.7,1.71
2025-07-01 20:00:00,Z03,6,5,1,2,6.7,7.4,1.16
2025-07-04 13:00:00,Z03,3,3,0,1,6.9,7.6,0.99
2025-07-07 20:00:00,Z03,5,4,1,1,7.0,7.7,1.22
2025-07-08 00:00:00,Z03,1,1,0,1,7.0,7.2,1.02
2025-07-09 14:00:00,Z03,4,3,1,1,6.9,7.4,1.26
2025-07-12 23:00:00,Z03,1,1,0,1,6.8,7.3,0.98
2025-07-16 00:00:00,Z03,1,1,0,1,6.7,6.3,0.98
2025-07-16 04:00:00,Z03,0,0,0,1,7.0,5.2,1.02
2025-07-26 16:00:00,Z03,9,9,0,3,6.8,7.5,1.01
2025-07-28 11:00:00,Z03,2,2,0,1,7.0,6.4,1.02
2025-07-30 05:00:00,Z03,2,2,0,1,6.7,6.1,0.99
2025-07-31 03:00:00,Z03,0,0,0,1,6.9,5.6,0.99
2025-08-06 13:00:00,Z03,7,7,0,2,6.5,7.9,1.02
2025-08-06 19:00:00,Z03,3,3,0,1,6.7,6.6,0.99
2025-08-09 09:00:00,Z03,5,5,0,2,6.7,6.9,1.0
2025-08-10 04:00:00,Z03,1,1,0,1,6.6,6.9,0.99
2025-08-13 18:00:00,Z03,13,13,0,5,6.9,7.3,1.01
2025-08-14 17:00:00,Z03,10,10,0,4,6.9,6.5,0.99
2025-08-18 23:00:00,Z03,4,4,0,1,6.9,6.9,1.02
2025-08-26 03:00:00,Z03,0,0,0,-3,6.6,5.8,0.96
2025-08-28 08:00:00,Z03,1,1,0,1,6.7,6.4,0.96
2025-08-29 01:00:00,Z03,0,0,0,1,6.6,5.8,0.98
2025-09-03 06:00:00,Z03,1,1,0,1,6.6,7.5,1.03
2025-09-05 21:00:00,Z03,6,5,1,2,7.0,7.6,1.16
2025-09-12 14:00:00,Z03,3,2,1,1,7.1,8.2,1.36
2025-09-15 10:00:00,Z03,2,2,0,1,6.7,5.9,0.95
2025-09-21 10:00:00,Z03,4,4,0,1,6.8,7.0,1.0
2025-09-24 09:00:00,Z03,4,4,0,1,6.9,6.3,0.98
2025-09-29 18:00:00,Z03,7,7,0,3,7.0,6.0,0.99
2025-09-30 14:00:00,Z03,4,3,1,1,7.4,8.1,1.23
2025-10-04 06:00:00,Z03,2,2,0,1,6.7,7.2,0.96
2025-10-04 15:00:00,Z03,2,2,0,1,6.8,6.3,0.99
2025-10-04 20:00:00,Z03,5,5,0,2,6.8,6.3,1.03
2025-10-05 17:00:00,Z03,4,4,0,1,6.9,6.3,1.0
2025-10-12 09:00:00,Z03,3,3,0,1,6.8,6.9,1.04
2025-10-14 02:00:00,Z03,0,0,0,1,6.9,5.2,1.02
2025-10-14 04:00:00,Z03,0,0,0,1,6.9,5.5,1.01
2025-10-16 18:00:00,Z03,11,10,1,4,6.9,8.1,1.08
2025-10-22 04:00:00,Z03,0,0,0,1,6.8,5.8,1.0
2025-10-23 08:00:00,Z03,1,1,0,1,7.1,6.5,1.02
2025-10-25 09:00:00,Z03,2,2,0,1,6.9,6.9,1.01
2025-10-25 19:00:00,Z03,6,6,0,2,7.2,7.1,1.0
2025-10-26 08:00:00,Z03,4,3,1,1,6.8,7.2,1.25
2025-10-27 16:00:00,Z03,8,8,0,3,6.7,7.3,0.99
2025-10-29 20:00:00,Z03,8,7,1,2,6.7,6.3,1.09
2025-10-31 22:00:00,Z03,2,2,0,1,7.2,7.1,1.0
2025-11-02 13:00:00,Z03,5,5,0,2,6.9,7.1,1.03
2025-11-03 06:00:00,Z03,1,1,0,1,6.6,6.9,0.99
2025-11-03 07:00:00,Z03,5,4,1,1,7.1,7.6,1.23
2025-11-04 01:00:00,Z03,1,1,0,1,6.6,8.0,1.01
2025-11-09 19:00:00,Z03,8,8,0,3,6.6,6.5,0.98
2025-11-11 04:00:00,Z03,0,0,0,1,6.7,5.6,1.02
2025-11-14 04:00:00,Z03,0,0,0,1,7.0,5.2,0.98
2025-11-23 00:00:00,Z03,0,0,0,1,6.7,5.7,0.99
2025-11-25 08:00:00,Z03,3,3,0,1,6.7,7.3,1.0
2025-11-25 10:00:00,Z03,3,3,0,1,6.4,7.3,1.02
2025-11-26 10:00:00,Z03,5,5,0,2,6.3,7.3,1.0
2025-11-27 11:00:00,Z03,2,2,0,1,7.1,6.5,0.99
2025-12-01 16:00:00,Z03,4,3,1,1,6.9,7.5,1.23
2025-12-03 00:00:00,Z03,2,1,1,1,7.2,9.4,1.73
2025-12-07 13:00:00,Z03,1,1,0,1,7.1,6.9,0.94
2025-12-09 18:00:00,Z03,10,9,1,3,6.9,7.0,1.13
2025-12-17 03:00:00,Z03,0,0,0,1,7.0,5.5,0.98
2025-12-18 01:00:00,Z03,0,0,0,1,6.7,5.4,1.0
2025-12-20 07:00:00,Z03,8,8,0,3,6.8,7.5,0.97
2025-12-20 17:00:00,Z03,7,7,0,2,6.5,6.5,1.01
2025-12-24 03:00:00,Z03,0,0,0,1,6.9,6.1,0.98
2025-12-30 14:00:00,Z03,2,2,0,1,6.9,7.2,0.99
2026-01-02 08:00:00,Z03,6,6,0,2,6.6,6.1,1.0
2026-01-03 21:00:00,Z03,5,4,1,1,6.8,7.4,1.18
2026-01-11 22:00:00,Z03,4,3,1,1,6.5,8.8,1.18
2026-01-15 03:00:00,Z03,0,0,0,1,6.9,5.4,0.99
2026-01-15 15:00:00,Z03,3,3,0,1,6.9,6.3,1.03
2026-01-18 06:00:00,Z03,5,5,0,2,6.9,7.5,0.99
2026-01-22 14:00:00,Z03,2,2,0,1,7.1,6.8,0.99
2026-01-23 21:00:00,Z03,1,1,0,1,7.0,5.7,1.04
2026-01-26 21:00:00,Z03,7,7,0,2,6.7,6.7,0.99
2026-02-02 14:00:00,Z03,6,5,1,2,6.8,8.2,1.18
2026-02-14 09:00:00,Z03,4,3,1,1,6.6,7.6,1.22
2026-02-19 06:00:00,Z03,5,5,0,2,6.9,6.9,1.01
2026-02-21 09:00:00,Z03,8,8,0,3,6.5,7.1,1.02
2026-02-22 23:00:00,Z03,1,1,0,1,6.7,6.7,1.01
2026-02-23 00:00:00,Z03,2,2,0,1,6.6,7.6,1.0
2026-03-01 21:00:00,Z03,3,3,0,1,6.9,6.6,1.01
2026-03-03 04:00:00,Z03,3,3,0,1,7.0,6.5,1.03
2026-03-04 21:00:00,Z03,5,4,1,1,6.7,7.4,1.2
2026-03-11 11:00:00,Z03,3,2,1,1,6.6,8.6,1.34
2026-03-14 01:00:00,Z03,2,2,0,1,6.7,7.2,0.99
2026-03-15 07:00:00,Z03,8,8,0,3,6.2,6.2,1.01
2026-03-17 19:00:00,Z03,6,6,0,2,7.1,5.6,0.98
2026-03-23 21:00:00,Z03,7,7,0,2,7.1,6.6,1.03
2026-04-09 12:00:00,Z03,5,4,1,1,7.0,7.8,1.2
2026-04-13 07:00:00,Z03,8,7,1,2,6.6,7.5,1.08
2026-04-14 08:00:00,Z03,4,3,1,1,6.7,7.2,1.21
2026-04-22 15:00:00,Z03,3,3,0,1,6.8,6.3,0.97
2026-04-23 07:00:00,Z03,8,8,0,3,6.9,6.4,1.02
2026-04-27 10:00:00,Z03,5,5,0,2,6.7,7.4,1.0
2026-04-27 13:00:00,Z03,5,5,0,2,6.9,7.3,0.95
2026-04-27 17:00:00,Z03,12,9,3,3,7.5,8.3,1.23
2026-05-03 19:00:00,Z03,11,11,0,5,6.5,6.0,1.01
2026-05-06 02:00:00,Z03,0,0,0,1,6.6,5.5,1.04
2026-05-07 02:00:00,Z03,1,1,0,1,6.7,6.7,0.97
2026-05-08 15:00:00,Z03,4,3,1,1,6.7,7.3,1.22
