captain_id,week_start,trips,earnings_aed,avg_distance_km,online_hours,earnings_per_hour_aed,acceptance_rate,weeks_tenure,is_first_week,churned
CPT00109,2026-01-06,1,41.61,11.11,3.5,11.89,0.793,12,0,0
CPT00110,2025-07-22,3,92.17,9.14,5.8,15.89,0.765,0,1,1
CPT00110,2026-05-12,2,63.45,8.555,4.2,15.11,0.774,17,0,1
CPT00110,2026-05-26,5,174.18,8.018,7.2,24.19,0.796,19,0,1
CPT00112,2025-12-23,2,71.24000000000001,5.26,2.3,30.97,0.694,18,0,0
CPT00114,2025-09-09,4,171.57,8.192499999999999,6.2,27.67,0.701,0,1,0
CPT00116,2025-08-12,4,143.46,7.6675,6.5,22.07,0.886,0,1,0
CPT00116,2026-03-03,1,88.12,14.25,4.0,22.03,0.793,8,0,0
CPT00119,2026-02-24,2,53.44,5.07,4.2,12.72,0.912,25,0,0
CPT00119,2026-03-17,2,119.47,16.41,2.4,49.78,0.835,28,0,0
CPT00120,2026-05-19,4,143.42,11.1375,5.7,25.16,0.73,16,0,1
CPT00122,2025-11-18,2,105.62,6.629999999999999,4.4,24.0,1.0,0,1,1
CPT00122,2025-12-30,1,19.32,4.93,3.8,5.08,0.923,0,1,1
CPT00122,2026-04-07,1,30.69,10.32,1.6,19.18,0.73,11,0,1
CPT00125,2025-07-08,2,52.69,2.235,4.0,13.17,0.737,0,1,0
CPT00127,2025-09-23,1,61.66,6.48,3.0,20.55,0.894,4,0,0
CPT00131,2025-12-23,3,109.34,11.160000000000002,5.0,21.87,0.793,0,1,0
CPT00131,2026-05-19,5,190.35,10.77,4.9,38.85,0.968,20,0,0
CPT00133,2025-09-09,4,145.42,7.6275,6.0,24.24,0.714,0,1,0
CPT00136,2025-10-28,3,133.67,10.67,5.7,23.45,0.887,0,1,0
CPT00137,2026-02-10,2,68.62,8.065,3.9,17.59,0.794,13,0,0
CPT00139,2026-05-12,2,67.87,10.355,3.7,18.34,0.755,32,0,0
CPT00139,2026-05-26,5,169.01,8.930000000000001,5.8,29.14,0.746,34,0,0
CPT00144,2025-12-16,3,85.78,4.14,5.1,16.82,0.828,4,0,0
CPT00145,2026-03-03,2,82.42,12.515,3.0,27.47,0.838,13,0,0
CPT00146,2025-12-30,4,101.65,6.105,6.4,15.88,0.761,3,0,0
CPT00147,2025-11-04,1,48.88,4.33,2.9,16.86,0.856,1,0,0
CPT00149,2025-10-07,2,53.57,3.26,4.9,10.93,0.825,5,0,0
CPT00149,2026-01-06,4,98.15,5.4975000000000005,3.4,28.87,0.962,18,0,0
CPT00151,2025-11-11,1,23.23,6.74,2.9,8.01,0.888,10,0,0
CPT00151,2026-03-03,3,135.29,10.013333333333334,5.4,25.05,0.856,26,0,0
CPT00152,2026-03-24,3,74.72,5.12,4.5,16.6,0.876,34,0,1
CPT00153,2025-12-23,2,105.77,12.165,5.8,18.24,0.853,6,0,0
CPT00153,2026-03-03,3,67.4,6.243333333333332,4.4,15.32,0.922,16,0,0
CPT00156,2025-07-08,2,70.97999999999999,3.995,3.0,23.66,0.727,0,1,0
CPT00156,2026-03-03,3,93.77,10.996666666666668,5.1,18.39,0.935,33,0,0
CPT00161,2026-01-13,2,52.77,6.345,4.7,11.23,0.846,11,0,0
CPT00162,2025-09-02,2,111.43,9.37,5.1,21.85,0.921,0,1,0
CPT00162,2026-02-10,4,175.92,8.5375,5.3,33.19,0.864,9,0,0
CPT00166,2025-07-22,2,35.0,3.215,4.1,8.54,0.758,0,1,1
CPT00167,2026-05-26,5,205.93,9.662,6.3,32.69,0.821,38,0,1
CPT00169,2025-09-16,1,49.87,6.63,5.0,9.97,0.866,3,0,0
CPT00169,2025-11-11,2,88.36,5.2250000000000005,4.2,21.04,0.817,11,0,0
CPT00171,2025-12-23,3,79.53999999999999,6.623333333333332,4.2,18.94,0.788,17,0,0
CPT00174,2025-12-16,3,115.91,4.53,3.6,32.2,0.751,18,0,1
CPT00174,2026-02-24,1,41.84,4.4,6.0,6.97,0.819,28,0,1
CPT00174,2026-04-28,2,112.93,7.76,5.2,21.72,0.921,37,0,1
CPT00180,2026-03-24,4,146.35,6.5525,5.8,25.23,0.699,10,0,0
CPT00182,2025-08-05,1,32.98,11.53,3.6,9.16,0.996,0,1,0
CPT00184,2025-10-28,2,52.34,6.005,6.0,8.72,0.973,0,1,0
CPT00185,2026-05-05,1,25.01,6.93,2.1,11.91,0.814,26,0,0
CPT00186,2025-11-11,2,47.16,4.125,4.6,10.25,0.722,9,0,0
CPT00186,2025-11-18,1,24.89,7.78,5.1,4.88,0.755,10,0,0
CPT00187,2026-02-10,3,133.04,7.793333333333333,4.5,29.56,0.718,27,0,1
CPT00188,2025-12-16,1,34.08,5.59,4.4,7.75,0.72,0,1,0
CPT00188,2026-03-24,2,61.22,5.385,4.9,12.49,0.906,2,0,0
CPT00190,2025-10-21,4,196.29,11.8175,7.1,27.65,0.701,0,1,0
CPT00191,2026-06-16,4,95.99,4.2675,3.6,26.66,0.926,28,0,0
CPT00193,2025-12-02,5,148.14,6.928,5.1,29.05,0.827,0,1,0
CPT00193,2025-12-23,1,26.56,4.82,4.8,5.53,0.871,0,1,0
CPT00196,2025-12-23,1,34.28,7.99,5.0,6.86,0.857,22,0,0
CPT00197,2025-10-07,4,169.37,8.842500000000001,5.0,33.87,0.794,0,1,0
CPT00197,2025-11-11,3,89.09,4.346666666666667,4.9,18.18,0.807,0,1,0
CPT00200,2025-10-21,2,49.82,7.475,4.2,11.86,0.9,5,0,0
CPT00200,2026-06-16,3,69.66,5.386666666666667,4.7,14.82,0.881,39,0,0
CPT00201,2025-09-30,2,75.25999999999999,11.555,3.6,20.91,0.956,0,1,1
CPT00203,2026-06-16,4,180.95,9.46,4.7,38.5,0.889,46,0,0
CPT00205,2026-02-17,6,289.8,6.963333333333334,7.3,39.7,0.827,16,0,0
CPT00205,2026-05-12,4,143.42000000000002,8.58,6.7,21.41,0.735,28,0,0
CPT00205,2026-05-26,2,54.87,7.895,3.4,16.14,0.756,30,0,0
CPT00209,2025-07-15,3,104.77,4.833333333333333,4.9,21.38,0.883,0,1,0
CPT00210,2026-03-31,1,24.01,7.3,3.4,7.06,0.777,23,0,1
CPT00211,2025-08-12,3,62.64,3.486666666666667,5.3,11.82,0.83,3,0,1
CPT00212,2026-05-05,3,84.71000000000001,5.796666666666667,4.1,20.66,0.95,27,0,1
CPT00213,2026-02-10,3,80.26,5.016666666666667,4.1,19.58,0.939,2,0,0
CPT00216,2025-11-18,3,117.04,4.343333333333333,5.0,23.41,0.845,0,1,0
CPT00216,2025-11-25,3,155.61,17.099999999999998,4.3,36.19,0.813,0,1,0
CPT00216,2026-03-31,3,116.4,7.156666666666666,3.6,32.33,0.795,18,0,0
CPT00217,2026-06-23,6,223.15,6.141666666666667,6.4,34.87,0.71,29,0,0
CPT00219,2025-09-16,3,86.72999999999999,8.87,3.1,27.98,0.72,0,1,0
CPT00223,2025-10-28,2,30.64,1.64,2.2,13.93,0.671,7,0,0
CPT00224,2026-06-02,3,76.54,8.040000000000001,4.9,15.62,0.919,27,0,0
CPT00225,2025-09-02,1,37.48,3.51,4.3,8.72,0.705,0,1,0
CPT00226,2025-07-08,1,33.42,11.94,4.5,7.43,0.889,0,1,1
CPT00227,2026-03-17,6,230.66,11.235,8.1,28.48,0.706,16,0,0
CPT00228,2026-02-10,1,43.71,17.68,2.6,16.81,0.87,19,0,1
CPT00229,2025-12-16,2,93.59,11.97,3.2,29.25,0.871,4,0,0
CPT00231,2025-10-07,1,24.72,6.9,1.3,19.02,0.967,11,0,0
CPT00232,2025-08-19,3,122.56,7.13,4.7,26.08,0.841,0,1,0
CPT00232,2025-09-16,3,121.88,9.303333333333333,4.5,27.08,0.849,0,1,0
CPT00233,2025-07-22,1,23.49,6.5,3.6,6.52,0.751,0,1,0
CPT00233,2026-04-21,1,21.92,3.02,1.6,13.7,0.905,30,0,0
CPT00234,2025-09-02,4,184.65,10.1225,4.9,37.68,1.0,4,0,0
CPT00235,2025-12-02,3,125.48,9.796666666666669,4.9,25.61,0.853,0,1,0
CPT00235,2026-03-31,2,92.22,7.75,4.0,23.06,0.877,7,0,0
CPT00236,2026-05-19,3,187.67,20.133333333333336,6.2,30.27,0.87,26,0,0
CPT00237,2026-05-26,3,150.85000000000002,10.976666666666668,3.7,40.77,0.873,36,0,0
CPT00239,2026-02-17,1,21.87,2.62,5.2,4.21,0.769,0,1,0
CPT00239,2026-04-14,2,108.53,12.555,2.2,49.33,0.912,0,1,0
CPT00239,2026-06-23,3,150.17000000000002,17.243333333333332,4.6,32.65,0.925,10,0,0
CPT00241,2026-02-17,1,35.69,10.83,3.5,10.2,0.795,6,0,0
CPT00242,2025-08-12,7,236.86,8.01,8.9,26.61,0.799,0,1,0
CPT00242,2026-05-19,1,22.3,6.11,3.0,7.43,0.868,40,0,0
CPT00244,2026-05-19,3,91.16,3.106666666666667,4.7,19.4,0.92,9,0,0
CPT00245,2026-04-14,2,60.07000000000001,10.13,3.8,15.81,0.69,17,0,0
CPT00246,2025-12-16,5,176.2,7.002000000000001,8.0,22.02,0.641,12,0,0
CPT00247,2025-09-30,4,150.58,10.4275,4.0,37.65,0.616,0,1,0
CPT00248,2026-04-14,3,123.64,8.216666666666667,6.9,17.92,0.842,6,0,0
CPT00249,2026-01-20,5,201.43,7.372,6.3,31.97,1.0,25,0,0
CPT00249,2026-04-07,1,23.76,5.73,2.3,10.33,0.788,36,0,0
CPT00252,2026-03-31,3,72.72,4.386666666666667,5.6,12.99,0.901,25,0,0
CPT00253,2026-06-23,2,45.14,3.66,5.2,8.68,0.916,46,0,0
CPT00255,2026-04-28,2,74.28999999999999,14.49,3.5,21.23,0.66,25,0,0
CPT00256,2026-06-23,5,176.97,7.688,6.5,27.23,0.751,40,0,0
CPT00258,2025-09-30,3,116.08,10.513333333333334,4.8,24.18,0.783,0,1,0
CPT00260,2025-07-15,2,48.89,5.615,4.6,10.63,0.879,0,1,0
CPT00262,2026-01-20,1,55.17,10.35,2.3,23.99,1.0,0,1,0
CPT00263,2025-09-09,3,136.45,10.253333333333332,5.7,23.94,0.848,0,1,0
CPT00265,2026-02-10,1,20.46,1.54,2.7,7.58,0.741,13,0,0
CPT00266,2026-05-19,1,47.56,8.4,3.8,12.52,0.783,25,0,0
CPT00267,2025-07-15,3,80.62,7.076666666666667,7.1,11.35,0.891,0,1,0
CPT00268,2025-09-09,2,62.870000000000005,3.325,4.8,13.1,0.764,0,1,1
CPT00269,2025-08-12,1,33.76,10.06,2.9,11.64,1.0,0,1,1
CPT00269,2026-04-14,4,157.61,7.3375,7.0,22.52,0.824,10,0,1
CPT00270,2025-09-09,1,29.79,6.08,2.1,14.19,0.977,0,1,0
CPT00271,2025-08-19,5,192.21,8.662,5.2,36.96,0.601,0,1,1
CPT00274,2026-04-21,2,109.17,13.285,2.5,43.67,0.821,20,0,0
CPT00275,2026-03-31,4,153.51,10.9775,5.9,26.02,0.861,33,0,1
CPT00276,2026-06-09,1,25.95,8.37,2.7,9.61,0.882,26,0,0
CPT00277,2026-03-03,1,36.73,13.52,5.4,6.8,0.82,20,0,0
CPT00278,2025-12-09,2,78.63,11.01,4.3,18.29,0.888,20,0,0
CPT00279,2025-12-23,1,34.4,6.36,2.4,14.33,0.757,17,0,1
CPT00281,2025-10-14,1,65.25,14.8,3.2,20.39,0.847,0,1,1
CPT00282,2025-12-23,3,132.1,8.656666666666666,5.5,24.02,0.793,0,1,0
CPT00283,2025-09-09,1,53.57,7.51,2.9,18.47,0.814,0,1,0
CPT00284,2025-10-07,2,66.59,10.335,3.2,20.81,0.797,0,1,0
CPT00287,2025-09-09,2,48.7,6.32,5.2,9.37,0.971,0,1,0
CPT00288,2025-08-26,2,62.56,5.51,3.7,16.91,0.708,0,1,0
CPT00288,2026-01-13,3,158.66,8.276666666666666,4.8,33.05,0.967,0,1,0
CPT00289,2026-06-09,3,68.87,6.396666666666667,4.8,14.35,0.87,24,0,0
CPT00293,2025-12-23,1,19.92,4.93,4.2,4.74,0.947,2,0,0
CPT00296,2025-07-01,2,68.3,5.965,3.1,22.03,0.814,0,1,0
CPT00296,2025-08-12,1,47.18,6.43,5.0,9.44,0.747,0,1,0
CPT00296,2026-05-26,1,30.66,10.3,2.4,12.78,0.806,15,0,0
CPT00297,2025-07-01,3,94.79,5.493333333333333,3.6,26.33,0.722,0,1,0
CPT00297,2026-03-31,4,179.9,7.445,5.7,31.56,0.862,36,0,0
CPT00298,2025-09-23,1,94.75,11.85,5.1,18.58,0.813,0,1,0
CPT00301,2025-11-25,3,132.01,9.723333333333333,5.7,23.16,0.84,0,1,0
CPT00303,2025-09-02,3,115.77,4.426666666666666,4.4,26.31,0.809,0,1,0
CPT00305,2025-11-25,2,56.92,5.77,4.4,12.94,0.798,14,0,0
CPT00305,2026-04-28,4,106.16,6.484999999999999,6.6,16.08,0.739,36,0,0
CPT00306,2026-02-24,2,76.19,11.6,4.8,15.87,0.94,15,0,0
CPT00311,2025-09-02,8,275.63,4.32375,5.8,47.52,0.854,2,0,0
CPT00312,2026-02-10,3,158.99,10.136666666666668,2.8,56.78,0.647,8,0,0
CPT00313,2026-03-03,2,60.22,4.52,3.7,16.28,0.824,30,0,0
CPT00315,2025-09-30,2,116.08,19.27,5.4,21.5,0.884,0,1,0
CPT00317,2025-07-01,3,105.1,7.836666666666667,5.2,20.21,0.848,0,1,0
CPT00317,2025-12-16,3,91.39,6.5200000000000005,5.2,17.58,0.835,0,1,0
CPT00319,2026-01-06,5,161.93,8.858,4.8,33.74,0.98,12,0,0
CPT00323,2025-08-12,3,108.44,10.503333333333332,5.3,20.46,0.854,0,1,1
CPT00323,2026-04-28,4,161.39,10.1425,7.4,21.81,0.84,31,0,1
CPT00324,2025-08-05,1,39.26,7.21,4.9,8.01,0.867,0,1,0
CPT00324,2025-09-09,1,28.92,7.3,3.3,8.76,0.938,0,1,0
CPT00326,2026-01-13,2,47.86,5.145,5.6,8.55,1.0,11,0,0
CPT00330,2025-07-29,4,133.20000000000002,7.4925,4.8,27.75,0.808,0,1,0
CPT00330,2026-02-10,3,119.33,7.59,2.7,44.2,0.816,27,0,0
CPT00331,2025-09-02,3,123.0,6.986666666666667,3.8,32.37,0.739,1,0,0
CPT00331,2026-02-17,4,144.20999999999998,7.8225,5.8,24.86,1.0,25,0,0
CPT00332,2025-07-15,2,83.81,6.385,4.2,19.95,0.887,0,1,1
CPT00333,2025-10-21,9,342.06,7.821111111111112,9.2,37.18,0.63,0,1,1
CPT00335,2026-01-27,3,123.02,9.103333333333332,3.7,33.25,0.62,12,0,0
CPT00335,2026-03-03,2,51.91,6.54,3.3,15.73,0.635,17,0,0
CPT00336,2025-09-02,1,17.27,3.58,4.6,3.75,0.773,0,1,0
CPT00336,2026-02-03,3,96.82,4.953333333333333,5.1,18.98,0.841,0,1,0
CPT00336,2026-03-31,2,46.6,1.325,2.9,16.07,0.806,0,1,0
CPT00337,2025-10-07,1,37.95,12.05,3.2,11.86,0.77,1,0,0
CPT00337,2025-12-02,3,108.27,8.333333333333334,5.6,19.33,0.772,9,0,0
CPT00345,2025-09-02,1,40.99,6.23,3.8,10.79,0.872,0,1,0
CPT00345,2026-01-20,1,26.57,1.65,2.8,9.49,0.911,0,1,0
CPT00347,2025-12-16,2,40.12,2.76,2.4,16.72,0.79,19,0,0
CPT00347,2026-02-03,5,150.9,4.482,6.6,22.86,0.764,26,0,0
CPT00349,2025-08-12,3,88.64,5.196666666666666,5.5,16.12,0.696,0,1,0
CPT00349,2025-12-02,3,96.8,10.116666666666664,4.0,24.2,0.757,0,1,0
CPT00349,2026-04-07,2,101.7,11.825,4.6,22.11,0.848,8,0,0
CPT00350,2025-09-09,3,155.74,6.753333333333334,5.5,28.32,0.812,0,1,0
CPT00359,2025-08-26,2,91.13,8.36,5.5,16.57,0.871,0,1,1
CPT00359,2026-03-17,5,215.31,7.022,4.9,43.94,0.901,7,0,1
CPT00362,2025-12-09,3,89.50999999999999,6.046666666666667,6.2,14.44,0.847,15,0,0
CPT00363,2026-05-26,3,121.06,6.346666666666667,5.8,20.87,0.814,32,0,0
CPT00365,2025-10-28,1,21.73,5.57,4.4,4.94,0.849,12,0,0
CPT00366,2026-03-24,7,227.18,7.795714285714285,6.8,33.41,0.871,18,0,1
CPT00367,2026-06-16,1,42.99,6.77,4.4,9.77,0.873,35,0,0
CPT00368,2026-06-23,1,28.61,3.55,2.7,10.6,1.0,28,0,0
CPT00371,2025-09-16,2,75.85,9.47,4.2,18.06,0.835,0,1,0
CPT00373,2026-03-10,3,85.66,7.863333333333333,4.7,18.23,0.914,6,0,0
CPT00374,2026-02-10,1,37.7,13.46,3.5,10.77,0.73,13,0,0
CPT00374,2026-06-30,1,19.62,2.82,2.2,8.92,0.915,33,0,0
CPT00376,2026-01-13,1,12.23,0.8,3.3,3.71,0.764,16,0,0
CPT00376,2026-04-21,2,74.71,6.175,4.3,17.37,0.827,30,0,0
CPT00379,2026-04-21,2,51.8,6.905,3.7,14.0,0.816,39,0,0
CPT00380,2025-08-05,2,56.57,7.324999999999999,4.9,11.54,0.718,0,1,0
CPT00381,2026-05-26,3,100.47,6.536666666666666,3.8,26.44,0.908,40,0,0
CPT00383,2026-03-10,1,30.91,1.63,3.2,9.66,0.768,10,0,0
CPT00384,2025-12-30,1,43.07,11.73,3.8,11.33,0.715,0,1,0
CPT00386,2026-03-24,6,214.05,7.0,7.6,28.16,0.848,18,0,0
CPT00388,2025-12-02,2,100.35,11.75,5.2,19.3,0.77,3,0,0
CPT00390,2026-01-20,2,69.03,4.46,4.8,14.38,0.757,0,1,0
CPT00390,2026-04-14,3,144.87,10.386666666666668,4.2,34.49,0.756,12,0,0
CPT00392,2025-11-11,4,105.99,7.430000000000001,5.7,18.59,0.673,1,0,0
CPT00392,2026-06-02,6,275.36,10.556666666666668,8.2,33.58,0.917,30,0,0
CPT00394,2025-07-15,6,260.39,8.908333333333333,6.2,42.0,0.89,0,1,0
CPT00394,2026-06-30,1,37.56,9.55,5.5,6.83,0.833,23,0,0
CPT00396,2025-11-25,1,51.02,12.79,3.8,13.43,0.836,0,1,1
CPT00396,2026-01-06,3,95.41,6.859999999999999,6.2,15.39,0.997,0,1,1
CPT00400,2026-01-27,3,87.63,8.166666666666666,4.5,19.47,0.814,17,0,0
CPT00401,2025-11-04,3,177.08,11.546666666666669,4.7,37.68,0.657,0,1,0
CPT00404,2026-05-05,2,44.12,4.945,4.3,10.26,0.77,37,0,0
CPT00406,2026-01-27,2,97.21,6.960000000000001,3.0,32.4,0.912,0,1,0
CPT00406,2026-02-24,2,81.97999999999999,9.66,4.2,19.52,0.711,1,0,0
CPT00408,2026-01-27,1,23.57,4.85,4.6,5.12,0.787,27,0,0
CPT00408,2026-04-28,1,14.88,2.02,3.7,4.02,0.732,40,0,0
CPT00411,2025-07-08,2,79.92,11.96,5.1,15.67,0.885,0,1,0
CPT00416,2025-10-21,6,259.43,8.878333333333332,6.1,42.53,0.863,0,1,0
CPT00417,2026-03-24,1,21.06,5.67,3.9,5.4,0.909,20,0,0
CPT00419,2026-01-27,1,22.8,5.06,4.1,5.56,0.657,2,0,0
CPT00420,2025-11-25,1,65.64,10.83,4.0,16.41,0.865,0,1,1
CPT00422,2025-08-19,2,51.72,5.91,3.7,13.98,0.74,0,1,0
CPT00422,2026-04-14,3,109.2,7.22,4.1,26.63,0.986,28,0,0
CPT00424,2025-09-09,2,71.34,8.165000000000001,3.6,19.82,0.862,0,1,0
CPT00426,2026-04-21,4,124.53,9.3775,3.5,35.58,0.705,6,0,0
CPT00428,2025-11-25,3,91.41,7.323333333333333,4.5,20.31,0.869,9,0,0
CPT00429,2025-09-09,4,112.12,5.1075,5.8,19.33,0.79,0,1,1
CPT00429,2025-11-25,2,83.5,3.895,2.7,30.93,0.958,0,1,1
CPT00429,2026-06-09,3,102.98,6.666666666666667,6.4,16.09,0.823,18,0,1
CPT00431,2026-06-30,1,61.34,8.99,2.7,22.72,0.724,40,0,0
CPT00433,2025-09-02,4,119.77,6.385,6.4,18.71,0.932,0,1,0
CPT00433,2025-09-30,5,180.76,5.2780000000000005,6.1,29.63,0.922,2,0,0
CPT00434,2025-08-26,1,25.08,5.26,3.1,8.09,0.913,0,1,0
CPT00435,2026-01-06,3,147.91,9.27,4.8,30.81,0.958,14,0,0
CPT00435,2026-06-16,2,66.50999999999999,6.64,3.4,19.56,0.797,37,0,0
CPT00437,2025-12-23,2,79.64999999999999,6.625,3.9,20.42,0.848,17,0,0
CPT00439,2025-08-26,2,62.19,6.984999999999999,5.8,10.72,0.886,0,1,0
CPT00439,2026-04-14,3,153.93,13.706666666666663,4.7,32.75,0.788,10,0,0
