trip_id,requested_at,city_id,pickup_zone,dropoff_zone,captain_id,vehicle_class,status,fare_aed,distance_km,duration_min,eta_promised_min,eta_actual_min,surge_multiplier,rider_rating
TRP0009471,2025-09-26 07:00:00,DXB,Z01,Z08,CPT01511,Go,completed,67.33,16.52,44.0,6.5,10.9,1.62,4.8
TRP0009746,2025-09-28 10:00:00,DXB,Z01,Z11,CPT00611,Go,completed,18.03,3.61,12.9,6.6,5.8,1.02,4.6
TRP0009843,2025-09-29 07:00:00,DXB,Z01,Z15,CPT00861,Go,completed,32.47,2.18,9.6,8.8,14.1,2.16,4.9
TRP0010018,2025-09-30 22:00:00,DXB,Z01,Z09,CPT00322,Go Plus,completed,30.23,6.27,13.6,8.1,7.1,1.0,4.7
TRP0010034,2025-10-01 05:00:00,DXB,Z01,Z07,CPT02470,Business,completed,59.86,9.08,25.6,6.5,8.8,1.02,4.1
TRP0010199,2025-10-02 17:00:00,DXB,Z01,Z06,CPT02274,Go,completed,20.29,5.13,20.2,6.9,5.7,0.99,4.7
TRP0010268,2025-10-03 09:00:00,DXB,Z01,Z10,CPT02595,Go Plus,completed,21.09,2.38,9.6,7.2,8.0,1.0,4.7
TRP0010358,2025-10-03 23:00:00,DXB,Z01,Z14,CPT00860,Go,completed,34.67,12.61,40.3,8.6,8.2,1.01,4.7
TRP0010368,2025-10-04 00:00:00,DXB,Z01,Z11,CPT00960,Max,completed,40.97,5.99,19.2,8.3,7.2,1.01,4.9
TRP0010565,2025-10-05 20:00:00,DXB,Z01,Z14,CPT00695,Go Plus,completed,27.6,5.15,13.8,8.2,7.5,1.0,4.9
TRP0011015,2025-10-10 09:00:00,DXB,Z01,Z15,CPT00882,Business,completed,68.34,10.52,26.1,7.3,8.2,1.07,4.6
TRP0011622,2025-10-16 10:00:00,DXB,Z01,Z11,CPT01176,Go,completed,28.33,9.84,29.5,7.6,8.6,0.97,5.0
TRP0011759,2025-10-17 17:00:00,DXB,Z01,Z09,CPT01614,Go,completed,29.85,10.35,26.5,6.9,7.3,0.99,5.0
TRP0011901,2025-10-18 16:00:00,DXB,Z01,Z02,CPT02114,Go,completed,33.06,11.75,30.4,7.8,6.4,1.01,4.6
TRP0012405,2025-10-23 18:00:00,DXB,Z01,Z10,CPT00333,Go Plus,completed,29.02,5.88,19.4,7.7,7.3,0.99,4.1
TRP0012504,2025-10-24 17:00:00,DXB,Z01,Z15,CPT02190,Business,completed,46.38,5.66,19.4,9.2,9.5,1.0,4.0
TRP0012656,2025-10-25 20:00:00,DXB,Z01,Z11,CPT00450,Go Plus,completed,40.71,10.06,25.4,8.8,8.4,1.04,4.8
TRP0012934,2025-10-28 17:00:00,DXB,Z01,Z10,CPT00797,Go Plus,completed,19.14,1.47,7.5,6.5,5.4,1.01,4.8
TRP0013055,2025-10-29 21:00:00,DXB,Z01,Z05,CPT02171,Business,completed,65.41,11.13,27.4,7.9,7.2,0.99,5.0
TRP0013179,2025-10-31 01:00:00,DXB,Z01,Z09,CPT01761,Business,completed,68.95,8.35,35.4,6.8,6.9,1.23,4.6
TRP0013242,2025-10-31 15:00:00,DXB,Z01,Z11,CPT00570,Go,completed,48.79,17.19,47.3,9.1,7.7,1.14,4.4
TRP0013494,2025-11-02 15:00:00,DXB,Z01,Z13,CPT01590,Go,completed,29.68,10.26,36.5,8.7,6.6,0.99,4.3
TRP0013594,2025-11-03 13:00:00,DXB,Z01,Z08,CPT00854,Business,completed,59.92,9.59,25.5,8.7,6.5,0.99,4.8
TRP0013642,2025-11-03 22:00:00,DXB,Z01,Z04,CPT00717,Go,completed,18.43,2.95,11.8,7.8,5.8,1.12,4.8
TRP0013735,2025-11-04 22:00:00,DXB,Z01,Z07,CPT00445,Max,completed,46.67,7.38,26.8,8.5,8.3,1.04,4.2
TRP0014331,2025-11-10 09:00:00,DXB,Z01,Z10,CPT01433,Go,completed,46.8,19.1,50.3,6.6,6.3,1.01,4.8
TRP0014614,2025-11-13 14:00:00,DXB,Z01,Z12,CPT02186,Go,completed,24.66,5.07,14.3,7.8,7.7,1.21,4.5
TRP0014923,2025-11-15 21:00:00,DXB,Z01,Z12,CPT01723,Go,completed,29.3,9.43,22.5,7.7,7.9,1.03,4.8
TRP0015055,2025-11-17 09:00:00,DXB,Z01,Z07,CPT00061,Go Plus,completed,61.76,14.6,32.0,8.3,8.3,1.24,3.9
TRP0015158,2025-11-18 09:00:00,DXB,Z01,Z07,CPT00290,Business,completed,62.87,10.07,30.6,6.8,6.9,1.01,4.0
TRP0015159,2025-11-18 09:00:00,DXB,Z01,Z14,CPT02190,Go,completed,35.05,12.81,30.8,6.3,7.8,1.01,5.0
TRP0015266,2025-11-19 12:00:00,DXB,Z01,Z12,CPT01593,Go Plus,completed,74.97,20.67,37.4,8.2,7.5,1.17,4.7
TRP0015320,2025-11-19 23:00:00,DXB,Z01,Z11,CPT02140,Go Plus,completed,19.45,1.68,9.7,8.9,8.9,1.0,4.5
TRP0015868,2025-11-25 09:00:00,DXB,Z01,Z11,CPT01245,Go,completed,41.05,13.52,36.6,6.7,7.0,1.14,4.7
TRP0015990,2025-11-26 19:00:00,DXB,Z01,Z01,CPT02483,Go,completed,30.52,6.55,21.4,8.1,10.3,1.32,4.3
TRP0016411,2025-11-30 17:00:00,DXB,Z01,Z10,CPT00167,Go Plus,completed,35.98,9.19,26.9,7.0,7.8,0.97,5.0
TRP0016514,2025-12-01 17:00:00,DXB,Z01,Z15,CPT00237,Business,completed,37.22,3.22,11.4,7.4,6.8,0.99,4.8
TRP0016661,2025-12-03 01:00:00,DXB,Z01,Z11,CPT01980,Go,cancelled_rider,0.0,0.0,0.0,5.9,8.2,1.34,
TRP0016704,2025-12-03 15:00:00,DXB,Z01,Z01,CPT01663,Go,completed,63.1,18.77,49.4,7.5,11.1,1.38,4.6
TRP0016857,2025-12-05 05:00:00,DXB,Z01,Z14,CPT01090,Go,completed,15.8,2.68,11.1,7.9,8.5,0.99,4.7
TRP0016890,2025-12-05 10:00:00,DXB,Z01,Z15,CPT01284,Go,completed,25.19,6.43,17.0,5.9,8.9,1.1,4.0
TRP0017586,2025-12-11 22:00:00,DXB,Z01,Z09,CPT00670,Go,completed,22.51,6.73,21.7,7.6,7.5,0.96,4.9
TRP0017616,2025-12-12 06:00:00,DXB,Z01,Z09,CPT01395,Go,completed,32.66,5.37,17.4,6.4,5.9,1.56,4.9
TRP0017732,2025-12-13 06:00:00,DXB,Z01,Z04,CPT00061,Go,completed,30.89,5.26,16.8,8.5,12.1,1.49,4.6
TRP0017832,2025-12-13 20:00:00,DXB,Z01,Z03,CPT00380,Go,completed,31.35,10.83,26.3,7.5,8.5,1.01,4.1
TRP0018051,2025-12-15 21:00:00,DXB,Z01,Z03,CPT01090,Go Plus,completed,35.09,7.23,24.9,8.9,8.5,1.08,5.0
TRP0018534,2025-12-20 05:00:00,DXB,Z01,Z05,CPT01247,Go,completed,34.1,11.61,29.8,8.9,7.9,1.05,4.9
TRP0018690,2025-12-21 05:00:00,DXB,Z01,Z06,CPT00011,Go,completed,59.13,12.53,41.0,7.4,13.3,1.73,4.2
TRP0018818,2025-12-22 13:00:00,DXB,Z01,Z05,CPT02303,Max,completed,55.2,7.62,19.7,8.2,8.0,1.21,4.8
TRP0019151,2025-12-25 18:00:00,DXB,Z01,Z01,CPT00062,Go Plus,completed,41.8,11.19,31.9,7.9,8.7,1.0,4.3
TRP0019416,2025-12-27 20:00:00,DXB,Z01,Z08,CPT01253,Business,completed,58.31,7.37,18.6,7.6,5.3,1.11,4.8
TRP0019577,2025-12-29 17:00:00,DXB,Z01,Z06,CPT01538,Business,completed,83.62,16.24,48.2,7.6,4.4,0.99,4.4
TRP0019780,2025-12-31 16:00:00,DXB,Z01,Z05,CPT00815,Go,completed,46.79,16.24,50.9,7.1,5.8,1.14,5.0
TRP0019856,2026-01-01 11:00:00,DXB,Z01,Z05,CPT01690,Go,completed,17.24,3.66,14.8,7.8,8.0,0.97,4.9
TRP0020076,2026-01-03 08:00:00,DXB,Z01,Z11,CPT00612,Go,completed,24.71,2.56,11.5,6.7,6.6,1.57,5.0
TRP0020087,2026-01-03 09:00:00,DXB,Z01,Z12,CPT00836,Go,cancelled_rider,0.0,0.0,0.0,6.5,9.5,1.15,
TRP0020117,2026-01-03 13:00:00,DXB,Z01,Z04,CPT02538,Go,completed,29.67,10.09,25.2,7.0,5.9,1.0,4.3
TRP0020224,2026-01-04 12:00:00,DXB,Z01,Z15,CPT00422,Go,completed,37.71,15.07,48.3,6.9,9.3,0.97,4.5
TRP0020281,2026-01-05 00:00:00,DXB,Z01,Z02,CPT01726,Max,completed,31.8,3.16,11.5,7.1,9.9,1.0,4.9
TRP0020444,2026-01-06 21:00:00,DXB,Z01,Z10,CPT00854,Go,completed,18.8,3.64,16.9,8.7,7.4,1.06,5.0
TRP0020665,2026-01-08 21:00:00,DXB,Z01,Z03,CPT01738,Business,completed,69.74,12.15,31.2,8.3,9.8,1.0,4.4
TRP0020795,2026-01-09 20:00:00,DXB,Z01,Z15,CPT02360,Business,completed,61.11,8.21,25.1,7.5,9.3,1.1,4.9
TRP0020805,2026-01-09 22:00:00,DXB,Z01,Z03,CPT01217,Go,completed,26.35,8.59,31.9,6.7,8.2,0.98,5.0
TRP0020922,2026-01-10 19:00:00,DXB,Z01,Z08,CPT01023,Business,completed,57.72,8.81,21.9,7.9,8.8,1.0,4.6
TRP0021103,2026-01-12 12:00:00,DXB,Z01,Z10,CPT02090,Go,completed,17.18,3.16,10.5,8.7,7.2,1.02,4.5
TRP0021116,2026-01-12 16:00:00,DXB,Z01,Z13,CPT01726,Go,completed,28.26,9.64,25.8,7.8,7.8,0.98,4.6
TRP0021220,2026-01-13 13:00:00,DXB,Z01,Z11,CPT02492,Go Plus,completed,34.87,4.56,18.8,7.3,11.2,1.33,4.5
TRP0021602,2026-01-17 00:00:00,DXB,Z01,Z09,CPT01877,Go,completed,27.48,5.57,17.9,6.4,6.5,1.29,4.7
TRP0021612,2026-01-17 03:00:00,DXB,Z01,Z15,CPT00688,Go,completed,26.88,9.19,23.2,7.9,,0.96,4.6
TRP0021637,2026-01-17 09:00:00,DXB,Z01,Z07,CPT02555,Go,completed,23.71,5.2,17.4,6.9,6.5,1.15,5.0
TRP0022184,2026-01-21 22:00:00,DXB,Z01,Z09,CPT00663,Business,completed,56.64,8.51,25.9,8.4,7.6,1.0,4.7
TRP0022594,2026-01-24 20:00:00,DXB,Z01,Z06,CPT02315,Go,completed,25.66,7.39,22.3,7.9,5.1,1.04,4.6
TRP0023204,2026-01-30 09:00:00,DXB,Z01,Z13,CPT00428,Go,completed,31.22,10.44,30.2,7.2,7.2,1.03,4.9
TRP0023429,2026-02-01 07:00:00,DXB,Z01,Z11,CPT01419,Go,cancelled_rider,0.0,0.0,0.0,7.0,14.9,2.03,
TRP0024085,2026-02-06 15:00:00,DXB,Z01,Z02,CPT00742,Max,completed,28.54,1.93,6.1,7.2,6.0,1.02,5.0
TRP0024111,2026-02-06 18:00:00,DXB,Z01,Z08,CPT01613,Go,completed,29.36,10.25,36.4,7.6,5.3,0.98,4.5
TRP0024163,2026-02-07 06:00:00,DXB,Z01,Z10,CPT00445,Go,completed,33.11,4.34,13.9,7.6,12.6,1.74,4.8
TRP0024312,2026-02-08 04:00:00,DXB,Z01,Z06,CPT02450,Business,completed,67.01,10.85,33.2,9.7,6.2,1.03,4.5
TRP0024452,2026-02-09 09:00:00,DXB,Z01,Z12,CPT00961,Go,completed,15.08,1.27,8.1,8.5,7.6,1.13,4.6
TRP0025127,2026-02-14 23:00:00,DXB,Z01,Z06,CPT00498,Go,completed,13.09,1.2,5.6,7.6,7.8,0.99,4.9
TRP0025424,2026-02-17 13:00:00,DXB,Z01,Z01,CPT01887,Max,completed,86.75,9.56,31.4,8.0,8.0,1.68,4.2
TRP0025463,2026-02-17 20:00:00,DXB,Z01,Z09,CPT01657,Max,completed,71.72,16.04,45.8,8.6,9.6,1.0,4.8
TRP0025557,2026-02-18 15:00:00,DXB,Z01,Z13,CPT01999,Go,completed,27.54,9.09,22.3,7.3,6.3,0.99,5.0
TRP0025598,2026-02-18 20:00:00,DXB,Z01,Z05,CPT00513,Business,completed,90.4,18.4,46.6,8.6,5.9,0.98,4.3
TRP0025690,2026-02-19 13:00:00,DXB,Z01,Z14,CPT00102,Go,completed,44.43,18.07,49.0,8.0,6.1,1.0,4.4
TRP0025795,2026-02-20 09:00:00,DXB,Z01,Z12,CPT00214,Go,completed,27.83,9.25,28.3,5.0,5.8,0.99,4.4
TRP0026187,2026-02-23 00:00:00,DXB,Z01,Z15,CPT02040,Business,completed,47.56,5.73,21.9,8.1,7.4,1.02,4.8
TRP0026689,2026-02-27 09:00:00,DXB,Z01,Z08,CPT02090,Business,completed,43.8,5.32,16.6,8.4,7.3,0.97,4.4
TRP0026855,2026-02-28 16:00:00,DXB,Z01,Z10,CPT02252,Go Plus,completed,32.75,6.43,16.8,6.5,8.6,1.07,4.8
TRP0026964,2026-03-01 11:00:00,DXB,Z01,Z03,CPT00578,Go,completed,34.2,12.18,44.2,7.5,7.0,1.02,4.9
TRP0027154,2026-03-02 19:00:00,DXB,Z01,Z09,CPT00500,Max,completed,57.26,11.19,23.7,7.6,6.6,1.01,4.8
TRP0027163,2026-03-02 20:00:00,DXB,Z01,Z01,CPT01700,Go Plus,completed,18.8,1.65,7.4,7.8,8.9,0.97,5.0
TRP0027475,2026-03-05 13:00:00,DXB,Z01,Z10,CPT00770,Go,completed,28.72,7.67,27.0,8.7,7.1,1.14,4.7
TRP0027530,2026-03-05 22:00:00,DXB,Z01,Z11,CPT00254,Go,completed,26.53,6.86,23.7,7.3,6.6,1.12,4.7
TRP0027536,2026-03-06 00:00:00,DXB,Z01,Z15,CPT01583,Go,completed,22.5,5.86,19.9,6.3,6.7,1.03,4.4
TRP0027589,2026-03-06 10:00:00,DXB,Z01,Z13,CPT00465,Go,completed,61.97,22.44,62.3,7.0,6.5,1.18,5.0
TRP0027607,2026-03-06 14:00:00,DXB,Z01,Z11,CPT02083,Go Plus,completed,36.53,5.94,16.4,7.4,9.6,1.24,4.3
TRP0027614,2026-03-06 16:00:00,DXB,Z01,Z02,CPT00504,Go,completed,24.03,5.97,16.9,7.5,9.1,1.09,4.8
TRP0027653,2026-03-06 20:00:00,DXB,Z01,Z07,CPT01836,Business,completed,42.15,3.62,16.0,8.7,9.5,1.08,4.5
TRP0027827,2026-03-07 22:00:00,DXB,Z01,Z15,CPT01638,Go,completed,17.39,3.55,14.1,6.6,5.9,0.99,5.0
TRP0028126,2026-03-10 10:00:00,DXB,Z01,Z15,CPT00290,Go Plus,completed,33.31,7.58,29.3,8.5,6.1,1.0,4.3
TRP0028461,2026-03-13 07:00:00,DXB,Z01,Z11,CPT00256,Go,completed,41.88,7.53,27.2,8.0,10.3,1.68,5.0
TRP0028531,2026-03-13 17:00:00,DXB,Z01,Z14,CPT00259,Go Plus,completed,33.32,5.22,17.4,7.5,11.4,1.2,5.0
TRP0028581,2026-03-13 21:00:00,DXB,Z01,Z03,CPT01020,Business,completed,35.11,2.63,13.1,6.9,6.7,0.99,4.3
TRP0028792,2026-03-15 12:00:00,DXB,Z01,Z03,CPT02381,Go Plus,completed,23.02,3.3,12.3,6.9,7.2,0.99,5.0
TRP0028963,2026-03-16 21:00:00,DXB,Z01,Z05,CPT00650,Go Plus,completed,58.98,18.5,45.9,8.9,8.5,1.0,4.4
TRP0028973,2026-03-16 23:00:00,DXB,Z01,Z08,CPT02260,Go,completed,16.37,2.73,11.0,7.4,8.9,1.02,4.8
TRP0028979,2026-03-17 05:00:00,DXB,Z01,Z04,CPT01470,Go Plus,completed,33.13,7.94,29.8,6.1,7.7,0.97,4.7
TRP0029026,2026-03-17 13:00:00,DXB,Z01,Z14,CPT00078,Go,completed,22.53,6.61,21.9,8.5,5.9,0.97,5.0
TRP0029176,2026-03-18 16:00:00,DXB,Z01,Z07,CPT00157,Go,completed,46.74,19.32,60.3,6.1,9.3,1.0,4.1
TRP0029296,2026-03-19 15:00:00,DXB,Z01,Z15,CPT02402,Go Plus,completed,51.85,15.25,52.4,6.7,4.5,1.01,4.5
TRP0029573,2026-03-21 10:00:00,DXB,Z01,Z14,CPT02171,Go,completed,23.31,6.91,23.6,7.2,9.0,0.98,4.2
TRP0030342,2026-03-27 10:00:00,DXB,Z01,Z06,CPT00957,Go Plus,completed,39.7,6.92,25.3,8.2,8.3,1.25,4.9
TRP0030444,2026-03-27 21:00:00,DXB,Z01,Z01,CPT01223,Max,completed,47.24,7.28,17.3,9.0,6.9,1.06,5.0
TRP0031299,2026-04-03 09:00:00,DXB,Z01,Z14,CPT02553,Go,completed,24.97,5.79,18.0,8.3,8.7,1.15,4.3
TRP0031603,2026-04-05 06:00:00,DXB,Z01,Z14,CPT00227,Business,completed,62.24,4.62,15.9,6.0,11.6,1.46,4.7
TRP0031615,2026-04-05 08:00:00,DXB,Z01,Z07,CPT01976,Go,completed,19.43,1.4,5.2,6.5,8.8,1.43,4.3
TRP0031636,2026-04-05 11:00:00,DXB,Z01,Z05,CPT02157,Go Plus,completed,31.37,6.62,24.3,8.0,7.6,1.01,4.8
TRP0031672,2026-04-05 17:00:00,DXB,Z01,Z11,CPT01666,Go,completed,34.81,11.16,29.4,6.1,6.2,1.1,5.0
TRP0031912,2026-04-07 13:00:00,DXB,Z01,Z15,CPT01729,Go,completed,39.14,15.64,46.8,7.6,6.3,0.98,4.8
TRP0032307,2026-04-10 09:00:00,DXB,Z01,Z04,CPT00217,Business,completed,57.16,8.98,30.7,7.0,8.8,0.98,4.9
TRP0032339,2026-04-10 16:00:00,DXB,Z01,Z08,CPT00465,Go,completed,22.9,3.88,12.5,7.3,10.5,1.26,4.3
TRP0032345,2026-04-10 17:00:00,DXB,Z01,Z02,CPT01891,Go,completed,19.75,3.76,10.7,5.4,4.5,1.1,4.4
TRP0032381,2026-04-10 21:00:00,DXB,Z01,Z01,CPT01186,Go Plus,completed,29.42,5.56,18.5,8.2,7.6,1.03,4.1
TRP0032447,2026-04-11 08:00:00,DXB,Z01,Z14,CPT02506,Go,completed,31.35,3.02,10.5,7.3,12.5,1.89,4.7
TRP0032508,2026-04-11 16:00:00,DXB,Z01,Z09,CPT01539,Go,completed,38.79,12.61,35.2,8.1,6.0,1.13,4.3
TRP0032589,2026-04-12 05:00:00,DXB,Z01,Z05,CPT01118,Max,completed,41.21,3.98,11.2,4.9,8.4,1.2,4.8
TRP0032751,2026-04-13 09:00:00,DXB,Z01,Z02,CPT01976,Go Plus,completed,36.66,9.16,29.0,8.5,7.3,0.99,4.3
TRP0033157,2026-04-16 14:00:00,DXB,Z01,Z13,CPT01005,Go Plus,completed,34.75,6.97,25.2,7.1,7.6,1.09,4.1
TRP0033312,2026-04-17 15:00:00,DXB,Z01,Z06,CPT01849,Go,completed,43.79,18.21,51.4,7.8,8.0,0.98,4.7
TRP0033460,2026-04-18 14:00:00,DXB,Z01,Z14,CPT00292,Go,completed,34.21,13.52,42.7,7.1,4.6,0.95,4.7
TRP0033600,2026-04-19 13:00:00,DXB,Z01,Z10,CPT01031,Business,completed,42.08,4.35,20.7,8.6,8.8,1.01,4.8
TRP0033645,2026-04-19 20:00:00,DXB,Z01,Z05,CPT02262,Go,completed,23.32,6.66,14.2,8.3,4.1,1.0,5.0
TRP0033765,2026-04-20 20:00:00,DXB,Z01,Z07,CPT00755,Go,completed,23.55,5.32,18.8,8.1,9.6,1.13,4.4
